name,team,HR
Bobby Witt Jr.,Kansas City Royals,8
Maikel Garcia,Kansas City Royals,7
Salvador Perez,Kansas City Royals,5
Kyle Isbel,Kansas City Royals,3
Freddy Fermin,Kansas City Royals,2
Jonathan India,Kansas City Royals,2
Michael Massey,Kansas City Royals,2
Cavan Biggio,Kansas City Royals,1
Nick Loftin,Kansas City Royals,1
Luke Maile,Kansas City Royals,1
MJ Melendez,Kansas City Royals,1
Drew Waters,Kansas City Royals,1
Matt Olson,Atlanta Braves,14
Austin Riley,Atlanta Braves,11
Marcell Ozuna,Atlanta Braves,10
Sean Murphy,Atlanta Braves,9
Drake Baldwin,Atlanta Braves,7
Ozzie Albies,Atlanta Braves,6
Ronald Acuña Jr.,Atlanta Braves,5
Michael Harris II,Atlanta Braves,4
Eli White,Atlanta Braves,3
Jarred Kelenic,Atlanta Braves,2
Christian Yelich,Milwaukee Brewers,13
Jackson Chourio,Milwaukee Brewers,10
Rhys Hoskins,Milwaukee Brewers,9
William Contreras,Milwaukee Brewers,5
Jake Bauers,Milwaukee Brewers,4
Sal Frelick,Milwaukee Brewers,4
Brice Turang,Milwaukee Brewers,4
Isaac Collins,Milwaukee Brewers,2
Caleb Durbin,Milwaukee Brewers,2
Eric Haase,Milwaukee Brewers,2
Joey Ortiz,Milwaukee Brewers,2
George Springer,Toronto Blue Jays,10
Bo Bichette,Toronto Blue Jays,8
Vladimir Guerrero Jr.,Toronto Blue Jays,8
Daulton Varsho,Toronto Blue Jays,8
Addison Barger,Toronto Blue Jays,7
Anthony Santander,Toronto Blue Jays,6
Alejandro Kirk,Toronto Blue Jays,4
Nathan Lukes,Toronto Blue Jays,4
Ernie Clement,Toronto Blue Jays,3
Andrés Giménez,Toronto Blue Jays,3
Lars Nootbaar,St. Louis Cardinals,8
Nolan Arenado,St. Louis Cardinals,7
Willson Contreras,St. Louis Cardinals,7
Iván Herrera,St. Louis Cardinals,7
Masyn Winn,St. Louis Cardinals,6
Alec Burleson,St. Louis Cardinals,5
Pedro Pagés,St. Louis Cardinals,5
Brendan Donovan,St. Louis Cardinals,4
Jordan Walker,St. Louis Cardinals,3
Nolan Gorman,St. Louis Cardinals,2
Victor Scott II,St. Louis Cardinals,2
Miguel Vargas,Chicago White Sox,9
Andrew Benintendi,Chicago White Sox,6
Luis Robert Jr.,Chicago White Sox,5
Andrew Vaughn,Chicago White Sox,5
Tim Elko,Chicago White Sox,4
Lenyn Sosa,Chicago White Sox,4
Brooks Baldwin,Chicago White Sox,3
Joshua Palacios,Chicago White Sox,3
Mike Tauchman,Chicago White Sox,3
Michael A. Taylor,Chicago White Sox,3
Isaac Paredes,Houston Astros,14
Jose Altuve,Houston Astros,9
Jeremy Peña,Houston Astros,9
Yainer Diaz,Houston Astros,8
Christian Walker,Houston Astros,8
Yordan Alvarez,Houston Astros,3
Victor Caratini,Houston Astros,3
Jake Meyers,Houston Astros,3
Cam Smith,Houston Astros,3
Zach Dezenzo,Houston Astros,2
Brendan Rodgers,Houston Astros,2
Matt Chapman,San Francisco Giants,12
Wilmer Flores,San Francisco Giants,11
Heliot Ramos,San Francisco Giants,11
Jung Hoo Lee,San Francisco Giants,6
