Player,Games,At Bats,Runs,Hits,HR,RBI,BB,K,BA,OBA,Slug%,Last Game Date
J.P. Crawford,14,56,10,21,3,13,9,10,.375,.462,.554,2025-05-06
Freddie Freeman,11,42,10,19,4,14,7,6,.452,.531,.810,2025-05-06
Zach Neto,11,45,7,16,3,5,2,12,.356,.383,.644,2025-05-06
Dansby Swanson,8,30,10,14,3,5,2,7,.467,.500,.833,2025-05-06
Victor Robles,8,37,3,12,0,2,0,6,.324,.342,.405,2025-04-06
Harrison Bader,8,28,6,12,0,2,3,5,.429,.484,.536,2025-05-04
Ryan Jeffers,8,31,5,11,2,10,4,5,.355,.429,.645,2025-05-06
Vladimir Guerrero Jr.,8,31,6,9,2,6,3,9,.290,.343,.484,2025-05-06
Riley Greene,7,28,7,13,4,8,1,3,.464,.500,.893,2025-05-04
Santiago Espinal,7,27,2,12,0,6,1,5,.444,.464,.519,2025-05-06
Javier Baez,7,28,9,12,3,10,1,6,.429,.467,.893,2025-05-04
Manny Machado,7,27,6,11,1,5,3,8,.407,.467,.593,2025-05-06
Jake Meyers,7,24,4,11,2,8,3,1,.458,.519,.833,2025-05-06
Victor Scott,7,23,3,9,1,5,3,8,.391,.462,.565,2025-05-06
Hunter Goodman,7,27,2,9,1,6,0,6,.333,.333,.444,2025-05-04
Brendan Donovan,7,25,4,8,0,3,3,1,.320,.414,.360,2025-05-06
Mauricio Dubon,7,25,2,7,0,5,0,1,.280,.280,.280,2025-05-06
Byron Buxton,6,26,3,10,2,5,1,8,.385,.407,.654,2025-05-06
James Wood,6,24,3,9,1,2,4,6,.375,.464,.583,2025-05-06
Travis D'Arnaud,6,20,2,8,0,0,2,6,.400,.455,.600,2025-05-03
Player,Games,At Bats,Runs,Hits,HR,RBI,BB,K,BA,OBA,Slug%,Last Game Date
Jackson Holliday,6,19,4,8,2,3,0,3,.421,.421,.737,2025-05-06
Luke Keaschall,6,19,4,7,0,2,5,2,.368,.538,.526,2025-04-25
Ryan Bliss,6,20,1,6,1,3,1,6,.300,.333,.500,2025-04-08
Steven Kwan,5,22,3,10,0,2,2,1,.455,.500,.545,2025-05-06
Jonny Deluca,5,18,4,9,0,1,0,3,.500,.500,.611,2025-04-06
Alejandro Kirk,5,21,1,9,1,4,0,1,.429,.429,.571,2025-05-06
Trea Turner,5,23,4,9,0,0,1,3,.391,.417,.435,2025-05-06
Trey Sweeney,5,20,3,8,2,7,0,6,.400,.400,.700,2025-05-04
Yainer Diaz,5,20,4,8,1,2,0,3,.400,.429,.600,2025-05-06
Austin Riley,5,20,3,7,2,5,1,6,.350,.409,.700,2025-05-06
Mark Vientos,5,19,2,6,0,0,2,4,.316,.381,.316,2025-05-06
Wilmer Flores,5,20,3,6,0,4,2,3,.300,.364,.400,2025-05-06
Riley Adams,5,17,3,5,2,6,0,7,.294,.294,.706,2025-05-06
Brendan Rodgers,5,19,3,5,1,3,1,7,.263,.300,.421,2025-05-06
Wyatt Langford,5,19,2,5,0,2,2,4,.263,.318,.263,2025-05-06
Alec Burleson,5,19,3,5,2,5,1,2,.263,.300,.632,2025-05-06
