Player,Games,At Bats,Runs,Hits,HR,RBI,BB,K,BA,OBA,Slug%,Last Game Date
Cody Bellinger,13,53,11,20,4,12,7,10,.377,.450,.679,2025-05-18
Jose Ramirez,12,45,10,17,4,8,6,4,.378,.462,.733,2025-05-18
Ryan Mountcastle,12,51,3,15,0,6,2,9,.294,.315,.392,2025-05-18
Ivan Herrera,8,28,6,13,1,7,2,5,.464,.515,.714,2025-05-18
Victor Robles,8,37,3,12,0,2,0,6,.324,.342,.405,2025-04-06
Xavier Edwards,8,32,3,10,0,1,4,7,.312,.389,.312,2025-05-14
Jake Burger,8,27,1,9,1,4,2,5,.333,.379,.519,2025-05-18
Luis Urias,7,25,5,8,1,1,1,3,.320,.370,.520,2025-05-18
Spencer Steer,7,24,2,8,1,1,0,6,.333,.333,.625,2025-05-18
Josh Bell,7,26,2,7,1,1,3,7,.269,.345,.423,2025-05-18
Drake Baldwin,6,21,5,12,2,6,0,2,.571,.571,.952,2025-05-18
Chandler Simpson,6,24,6,11,0,4,0,2,.458,.458,.583,2025-05-17
Will Benson,6,19,5,10,5,10,3,4,.526,.591,1.368,2025-05-18
Chase Meidroth,6,24,4,10,1,2,2,4,.417,.462,.625,2025-05-18
Corey Seager,6,27,9,9,2,6,0,3,.333,.333,.630,2025-05-10
Kyle Stowers,6,22,4,9,3,4,1,8,.409,.480,.955,2025-05-18
Luis Arraez,6,23,2,8,0,0,1,0,.348,.375,.391,2025-05-18
Miguel Andujar,6,24,2,8,1,4,0,4,.333,.333,.542,2025-05-17
Ozzie Albies,6,23,3,8,0,2,2,5,.348,.423,.391,2025-05-18
Geraldo Perdomo,6,20,4,7,0,4,3,2,.350,.417,.550,2025-05-18
Player,Games,At Bats,Runs,Hits,HR,RBI,BB,K,BA,OBA,Slug%,Last Game Date
Julio Rodriguez,6,25,3,7,1,4,0,6,.280,.280,.440,2025-05-18
Luke Keaschall,6,19,4,7,0,2,5,2,.368,.538,.526,2025-04-25
Ryan Bliss,6,20,1,6,1,3,1,6,.300,.333,.500,2025-04-08
Pete Crow-Armstrong,5,21,5,11,2,10,0,6,.524,.500,1.048,2025-05-18
Jackson Holliday,5,23,3,9,2,5,0,2,.391,.417,.739,2025-05-18
Jonny Deluca,5,18,4,9,0,1,0,3,.500,.500,.611,2025-04-06
Jarren Duran,5,22,3,8,1,6,2,6,.364,.417,.636,2025-05-18
Amed Rosario,5,18,2,8,0,4,1,5,.444,.524,.500,2025-05-15
Andres Gimenez,5,19,2,7,0,2,0,0,.368,.368,.421,2025-05-07
Liam Hicks,5,16,3,7,3,5,1,0,.438,.471,1.062,2025-05-18
Matthew Lugo,5,16,4,7,2,4,0,4,.438,.471,.938,2025-05-18
Tomas Nido,5,19,3,7,0,0,0,5,.368,.368,.368,2025-05-17
Jose Caballero,5,19,4,7,0,1,1,3,.368,.400,.526,2025-05-17
Daulton Varsho,5,21,6,6,3,6,0,5,.286,.286,.810,2025-05-18
Austin Hays,5,18,1,6,1,4,1,5,.333,.350,.611,2025-05-18
Daniel Schneemann,5,18,2,5,1,1,1,3,.278,.316,.444,2025-05-18
