Player,Games,At Bats,Runs,Hits,HR,RBI,BB,K,BA,OBA,Slug%,Last Game Date
Carlos Santana,11,38,10,17,3,8,9,7,.447,.553,.737,2025-06-01
Christian Yelich,8,36,10,17,5,13,3,8,.472,.525,.917,2025-06-01
Jeremy Pena,8,31,6,13,3,5,3,4,.419,.471,.742,2025-06-01
Lourdes Gurriel,8,32,2,13,0,4,1,4,.406,.429,.469,2025-06-01
Victor Robles,8,37,3,12,0,2,0,6,.324,.342,.405,2025-04-06
Amed Rosario,8,26,3,11,0,5,1,7,.423,.483,.538,2025-05-25
Jonatan Clase,8,23,4,10,0,3,5,4,.435,.536,.522,2025-06-01
Colt Keith,8,32,5,10,0,3,0,9,.312,.312,.500,2025-06-01
Pete Alonso,8,31,3,9,3,8,1,6,.290,.333,.645,2025-06-01
Jesus Sanchez,7,25,5,10,2,3,1,7,.400,.423,.680,2025-06-01
Cal Raleigh,7,27,6,9,6,10,4,9,.333,.438,1.000,2025-06-01
Ernie Clement,6,26,6,13,2,6,0,3,.500,.500,.885,2025-06-01
Josh Lowe,6,24,8,10,1,2,3,7,.417,.481,.542,2025-06-01
Andy Pages,6,24,4,9,2,8,3,1,.375,.444,.667,2025-06-01
Bo Bichette,6,23,4,8,3,7,2,3,.348,.400,.826,2025-06-01
Luke Keaschall,6,19,4,7,0,2,5,2,.368,.538,.526,2025-04-25
Ryan Bliss,6,20,1,6,1,3,1,6,.300,.333,.500,2025-04-08
Bryan Reynolds,5,20,2,11,1,7,3,1,.550,.609,.900,2025-06-01
Mike Tauchman,5,20,5,10,1,4,4,5,.500,.583,.950,2025-06-01
Jonny Deluca,5,18,4,9,0,1,0,3,.500,.500,.611,2025-04-06
Player,Games,At Bats,Runs,Hits,HR,RBI,BB,K,BA,OBA,Slug%,Last Game Date
Trevor Larnach,5,24,2,9,1,5,0,7,.375,.375,.583,2025-06-01
Josh Bell,5,21,5,9,3,7,2,2,.429,.500,.857,2025-06-01
Robert Hassell III,5,24,3,9,1,5,0,6,.375,.375,.542,2025-06-01
Heliot Ramos,5,21,4,9,1,2,2,7,.429,.500,.667,2025-06-01
Brent Rooker,5,20,3,9,1,5,1,3,.450,.476,.750,2025-06-01
Ceddanne Rafaela,5,20,3,8,1,1,0,5,.400,.400,.600,2025-06-01
Isiah Kiner-Falefa,5,19,5,8,0,5,0,3,.421,.450,.632,2025-06-01
Kyle Schwarber,5,20,3,8,1,4,1,7,.400,.429,.750,2025-06-01
Andres Gimenez,5,19,2,7,0,2,0,0,.368,.368,.421,2025-05-07
Tomas Nido,5,19,3,7,0,0,0,5,.368,.368,.368,2025-05-19
Mike Trout,5,16,1,7,0,2,0,4,.438,.438,.500,2025-06-01
Gabriel Moreno,5,19,3,7,0,1,1,2,.368,.400,.579,2025-05-31
Vladimir Guerrero Jr.,5,18,4,7,1,5,4,2,.389,.522,.667,2025-06-01
Addison Barger,5,17,6,7,3,6,2,1,.412,.474,1.000,2025-06-01
Matt Olson,5,21,2,6,0,2,1,3,.286,.318,.429,2025-06-01
Matt Wallner,5,15,1,6,1,3,1,4,.400,.500,.800,2025-06-01
Freddy Fermin,5,19,2,5,0,1,1,3,.263,.300,.368,2025-06-01
Spencer Horwitz,5,20,2,5,0,2,2,6,.250,.318,.300,2025-06-01
Trea Turner,5,21,2,5,0,2,1,3,.238,.304,.286,2025-06-01
