Player,Games,At Bats,Runs,Hits,HR,RBI,BB,K,BA,OBA,Slug%,Last Game Date
Jeremy Pena,13,54,10,23,3,7,3,7,.426,.456,.667,2025-06-07
Brooks Lee,9,38,4,11,0,5,0,9,.289,.308,.316,2025-06-06
Jacob Wilson,8,36,6,18,1,7,1,4,.500,.500,.639,2025-06-07
Vinnie Pasquantino,8,30,4,14,2,8,4,3,.467,.543,.700,2025-06-07
Victor Robles,8,37,3,12,0,2,0,6,.324,.342,.405,2025-04-06
Michael Busch,8,26,5,11,3,10,5,4,.423,.516,.923,2025-06-07
Jose Ramirez,7,27,6,12,3,4,4,4,.444,.516,.815,2025-06-07
Tyler Freeman,7,22,3,10,1,3,1,0,.455,.478,.682,2025-06-07
Lawrence Butler,6,24,10,11,1,4,5,9,.458,.552,.833,2025-06-07
Ketel Marte,6,21,7,9,4,8,5,3,.429,.538,1.000,2025-06-07
Zach Neto,6,27,6,8,1,5,1,4,.296,.321,.519,2025-06-07
Bobby Witt Jr.,6,24,4,8,1,4,3,9,.333,.407,.500,2025-06-07
Cody Bellinger,6,24,5,8,1,3,2,2,.333,.407,.542,2025-06-07
Javier Baez,6,24,2,7,0,1,0,4,.292,.292,.292,2025-06-07
Luke Keaschall,6,19,4,7,0,2,5,2,.368,.538,.526,2025-04-25
Matt Chapman,6,24,3,7,2,4,1,7,.292,.320,.625,2025-06-07
Freddy Fermin,6,22,3,7,1,2,2,3,.318,.375,.545,2025-06-05
Ryan Bliss,6,20,1,6,1,3,1,6,.300,.333,.500,2025-04-08
Rafael Devers,6,23,5,6,1,4,5,4,.261,.414,.522,2025-06-07
Manny Machado,5,21,3,10,2,5,2,3,.476,.522,.762,2025-06-07
Player,Games,At Bats,Runs,Hits,HR,RBI,BB,K,BA,OBA,Slug%,Last Game Date
Hunter Goodman,5,20,5,9,3,5,1,5,.450,.476,1.150,2025-06-07
Jonny Deluca,5,18,4,9,0,1,0,3,.500,.500,.611,2025-04-06
Pete Alonso,5,21,6,9,3,11,2,5,.429,.500,.952,2025-06-07
Jarren Duran,5,20,5,8,0,1,3,6,.400,.520,.700,2025-06-07
Tomas Nido,5,19,3,7,0,0,0,5,.368,.368,.368,2025-05-19
Zach McKinstry,5,15,2,6,0,0,1,2,.400,.438,.533,2025-06-07
Ronald Acuna,5,19,3,6,1,1,3,8,.316,.409,.474,2025-06-07
Adolis Garcia,5,17,1,5,0,1,0,5,.294,.294,.294,2025-06-07
