Player,Games,At Bats,Runs,Hits,HR,RBI,BB,K,BA,OBA,Slug%,Last Game Date
Aaron Judge,14,57,12,27,4,11,6,14,.474,.524,.825,2025-05-04
J.P. Crawford,12,48,9,18,3,13,6,9,.375,.444,.583,2025-05-04
CJ Abrams,10,43,7,15,0,6,1,8,.349,.404,.512,2025-05-04
Zach Neto,10,42,5,15,3,5,1,11,.357,.372,.667,2025-05-04
Freddie Freeman,9,33,8,15,2,10,6,5,.455,.538,.727,2025-05-04
Gunnar Henderson,9,35,4,13,1,2,2,6,.371,.405,.543,2025-05-04
Jeremy Pena,8,34,4,13,1,4,2,4,.382,.432,.529,2025-05-04
Harrison Bader,8,28,6,12,0,2,3,5,.429,.484,.536,2025-05-04
Victor Robles,8,37,3,12,0,2,0,6,.324,.342,.405,2025-04-06
Alek Thomas,8,30,3,11,0,3,0,4,.367,.367,.467,2025-05-04
Riley Greene,7,28,7,13,4,8,1,3,.464,.500,.893,2025-05-04
Javier Baez,7,28,9,12,3,10,1,6,.429,.467,.893,2025-05-04
Ryan Jeffers,7,27,4,10,2,8,4,4,.370,.452,.704,2025-05-04
Hunter Goodman,7,27,2,9,1,6,0,6,.333,.333,.444,2025-05-04
Vladimir Guerrero Jr.,7,28,5,8,2,6,2,8,.286,.323,.500,2025-05-04
Gabriel Moreno,7,26,6,8,0,3,2,6,.308,.379,.385,2025-05-04
Ian Happ,6,24,6,10,0,2,3,4,.417,.481,.500,2025-05-04
Dansby Swanson,6,22,6,9,3,3,1,6,.409,.435,.818,2025-05-04
Travis D'Arnaud,6,20,2,8,0,0,2,6,.400,.455,.600,2025-05-03
Luke Keaschall,6,19,4,7,0,2,5,2,.368,.538,.526,2025-04-25
Player,Games,At Bats,Runs,Hits,HR,RBI,BB,K,BA,OBA,Slug%,Last Game Date
Ryan Bliss,6,20,1,6,1,3,1,6,.300,.333,.500,2025-04-08
Brooks Lee,6,23,1,6,1,1,1,3,.261,.292,.478,2025-05-04
Mauricio Dubon,6,21,2,6,0,5,0,0,.286,.286,.286,2025-05-04
Santiago Espinal,5,19,2,10,0,5,1,4,.526,.550,.632,2025-05-04
Jake Meyers,5,16,3,9,2,8,3,1,.562,.632,1.125,2025-05-04
Jonny Deluca,5,18,4,9,0,1,0,3,.500,.500,.611,2025-04-06
Trey Sweeney,5,20,3,8,2,7,0,6,.400,.400,.700,2025-05-04
Carson Kelly,5,19,3,8,1,4,3,2,.421,.500,.632,2025-05-03
Salvador Perez,5,20,1,8,0,2,0,1,.400,.400,.550,2025-05-04
Byron Buxton,5,22,1,8,1,1,1,6,.364,.391,.500,2025-05-04
Manny Machado,5,19,4,8,1,3,3,6,.421,.500,.632,2025-05-04
Spencer Steer,5,19,3,7,1,3,2,4,.368,.429,.579,2025-05-04
Jackson Holliday,5,15,4,7,2,3,0,1,.467,.467,.867,2025-05-04
Victor Scott,5,16,3,7,1,5,3,5,.438,.526,.688,2025-05-04
Brendan Donovan,5,17,4,6,0,3,3,1,.353,.476,.353,2025-05-04
Isaac Paredes,5,18,3,5,0,1,4,2,.278,.409,.389,2025-05-03
