Player,Games,At Bats,Runs,Hits,HR,RBI,BB,K,BA,OBA,Slug%,Last Game Date
Jose Ramirez,19,75,17,29,4,11,7,7,.387,.446,.667,2025-05-26
Miguel Andujar,12,50,6,17,1,5,2,9,.340,.365,.480,2025-05-25
Chandler Simpson,11,43,7,16,0,6,1,3,.372,.386,.442,2025-05-26
Maikel Garcia,11,42,4,16,1,8,3,9,.381,.426,.548,2025-05-26
Ozzie Albies,11,41,6,15,0,4,4,7,.366,.435,.463,2025-05-25
Vinnie Pasquantino,10,40,6,17,2,5,1,6,.425,.452,.600,2025-05-26
Connor Norby,9,37,3,14,1,9,2,8,.378,.410,.541,2025-05-26
Ketel Marte,9,37,8,13,3,5,4,5,.351,.442,.649,2025-05-26
Dillon Dingler,9,34,1,13,0,3,1,7,.382,.400,.441,2025-05-26
Brandon Lowe,9,31,8,12,3,5,3,3,.387,.441,.742,2025-05-26
Ramon Urias,9,35,3,10,0,6,1,7,.286,.297,.371,2025-05-26
Carlos Narvaez,8,29,4,12,1,3,4,5,.414,.485,.655,2025-05-26
Victor Robles,8,37,3,12,0,2,0,6,.324,.342,.405,2025-04-06
Amed Rosario,8,26,3,11,0,5,1,7,.423,.483,.538,2025-05-25
Lawrence Butler,8,33,5,11,1,6,3,6,.333,.389,.667,2025-05-25
Xavier Edwards,8,32,3,10,0,1,4,7,.312,.389,.312,2025-05-14
Curtis Mead,8,23,5,9,3,4,1,5,.391,.440,.826,2025-05-26
Seiya Suzuki,7,28,9,13,3,10,5,5,.464,.545,.964,2025-05-26
Alec Bohm,7,31,4,11,2,6,0,5,.355,.355,.613,2025-05-25
Kody Clemens,7,25,4,11,2,5,2,9,.440,.481,.880,2025-05-26
Player,Games,At Bats,Runs,Hits,HR,RBI,BB,K,BA,OBA,Slug%,Last Game Date
Jung Hoo Lee,7,26,2,9,0,2,3,4,.346,.414,.423,2025-05-26
Ryan O'Hearn,6,25,4,15,1,4,2,1,.600,.643,.800,2025-05-26
Kyle Tucker,6,25,6,11,2,6,2,5,.440,.464,.680,2025-05-26
Jordan Beck,6,26,2,10,0,0,1,9,.385,.407,.462,2025-05-26
Ezequiel Tovar,6,21,3,9,0,1,2,7,.429,.478,.524,2025-05-26
Corey Seager,6,27,9,9,2,6,0,3,.333,.333,.630,2025-05-10
Paul Goldschmidt,6,24,8,9,0,3,4,3,.375,.464,.458,2025-05-26
Carlos Santana,6,21,6,8,2,6,5,5,.381,.500,.762,2025-05-24
Oneil Cruz,6,23,6,8,3,5,4,8,.348,.444,.913,2025-05-26
Andrew McCutchen,6,20,3,8,0,0,6,4,.400,.556,.450,2025-05-26
Luke Keaschall,6,19,4,7,0,2,5,2,.368,.538,.526,2025-04-25
Ryan Bliss,6,20,1,6,1,3,1,6,.300,.333,.500,2025-04-08
Jonny Deluca,5,18,4,9,0,1,0,3,.500,.500,.611,2025-04-06
Eugenio Suarez,5,20,4,8,1,3,1,4,.400,.429,.600,2025-05-26
Andres Gimenez,5,19,2,7,0,2,0,0,.368,.368,.421,2025-05-07
Austin Hays,5,21,5,7,0,6,0,3,.333,.348,.619,2025-05-26
Tomas Nido,5,19,3,7,0,0,0,5,.368,.368,.368,2025-05-19
Mauricio Dubon,5,17,3,7,1,2,1,1,.412,.444,.647,2025-05-25
Jonatan Clase,5,12,2,6,0,3,4,3,.500,.625,.667,2025-05-25
Teoscar Hernandez,5,21,3,6,1,7,1,8,.286,.348,.571,2025-05-26
Player,Games,At Bats,Runs,Hits,HR,RBI,BB,K,BA,OBA,Slug%,Last Game Date
Jose Tena,5,18,5,6,0,1,0,4,.333,.316,.444,2025-05-23
Ty France,5,20,2,5,1,6,0,2,.250,.318,.400,2025-05-26
Nathaniel Lowe,5,20,1,5,0,1,0,5,.250,.238,.300,2025-05-25
Josh Naylor,5,20,3,5,1,4,0,4,.250,.250,.550,2025-05-26
