team_id
AB2
AB3
ABC
AC
AG
ALT
ANA
ARI
ATH
ATL
BAL
BBB
BBS
BCA
BE
BEG
BLA
BLN
BLU
BOS
BRA
BRG
BRO
BSN
BTT
BUF
BWW
CAG
CAL
CBB
CBE
CBN
CBR
CC
CCB
CCU
CEG
CEL
CEN
CG
CHC
CHI
CHT
CHW
CIN
CKK
CLE
CLS
CLV
COB
COG
COL
COR
CPI
CRS
CS
CSE
CSW
CT
CTG
CTS
CUP
DET
DM
DS
DTN
DTS
DW
ECK
FLA
HAR
HBG
HG
HIL
HOU
IA
IAB
IC
ID
IND
JRC
KCA
KCC
KCM
KCN
KCP
KCR
KEK
LAA
LAD
LOU
LOW
LRG
LVB
MAN
MAR
MB
MGS
MIA
MIL
MIN
MLA
MLG
MLN
MON
MRM
MRS
NAT
NBY
ND
NE
NEG
NEW
NHV
NLG
NS
NWB
NYC
NYG
NYI
NYM
NYP
NYU
NYY
OAK
OLY
PBB
PBG
PBS
PC
PHA
PHI
PHK
PHQ
PIT
PK
PRO
PS
PTG
RES
RIC
ROC
ROK
SDP
SEA
SEN
SEP
SFG
SL2
SL3
SLB
SLG
SLM
SLR
SLS
SNS
STL
STP
SYR
TBD
TBR
TC
TC2
TEX
TOL
TOR
TRO
TT
WAP
WAS
WEG
WES
WHS
WIL
WMP
WOR
WP
WSA
WSH
WSN
