Player,Games,At Bats,Runs,Hits,HR,RBI,BB,K,BA,OBA,Slug%,Last Game Date
Cody Bellinger,11,47,9,16,2,5,4,9,.340,.392,.532,2025-05-16
Ryan Mountcastle,11,46,3,14,0,6,2,8,.304,.327,.413,2025-05-16
Jose Ramirez,10,36,10,14,4,8,6,4,.389,.488,.806,2025-05-16
Lars Nootbaar,8,35,6,13,2,6,3,6,.371,.410,.600,2025-05-16
Victor Robles,8,37,3,12,0,2,0,6,.324,.342,.405,2025-04-06
Josh Naylor,8,34,5,11,1,4,1,4,.324,.343,.471,2025-05-16
Xavier Edwards,8,32,3,10,0,1,4,7,.312,.389,.312,2025-05-14
Brandon Nimmo,8,30,3,10,1,4,1,7,.333,.375,.567,2025-05-16
Aaron Judge,7,29,8,14,3,7,5,9,.483,.543,.897,2025-05-16
Alexander Canario,7,24,4,10,2,4,3,7,.417,.481,.750,2025-05-16
Myles Straw,7,22,3,9,0,5,0,2,.409,.409,.455,2025-05-16
Riley Greene,6,23,5,10,3,9,2,4,.435,.480,.957,2025-05-16
Ivan Herrera,6,22,6,10,1,7,2,4,.455,.500,.773,2025-05-16
Corey Seager,6,27,9,9,2,6,0,3,.333,.333,.630,2025-05-10
Mark Vientos,6,23,3,9,1,2,0,4,.391,.391,.565,2025-05-16
Luke Keaschall,6,19,4,7,0,2,5,2,.368,.538,.526,2025-04-25
Jake Burger,6,19,1,7,1,3,2,4,.368,.429,.579,2025-05-16
Ryan Bliss,6,20,1,6,1,3,1,6,.300,.333,.500,2025-04-08
Chandler Simpson,5,20,5,9,0,3,0,2,.450,.450,.600,2025-05-16
Jonny Deluca,5,18,4,9,0,1,0,3,.500,.500,.611,2025-04-06
Player,Games,At Bats,Runs,Hits,HR,RBI,BB,K,BA,OBA,Slug%,Last Game Date
Amed Rosario,5,18,2,8,0,4,1,5,.444,.524,.500,2025-05-15
Miguel Andujar,5,20,2,7,1,4,0,4,.350,.350,.600,2025-05-16
Andres Gimenez,5,19,2,7,0,2,0,0,.368,.368,.421,2025-05-07
Willson Contreras,5,20,5,7,1,4,1,7,.350,.364,.650,2025-05-16
Jung Hoo Lee,5,23,3,7,2,6,0,1,.304,.292,.609,2025-05-16
Willy Adames,5,22,5,7,1,3,2,8,.318,.375,.591,2025-05-16
Vladimir Guerrero Jr.,5,18,5,6,1,2,4,2,.333,.455,.556,2025-05-16
Luis Urias,5,17,4,6,1,1,1,1,.353,.421,.588,2025-05-16
Harrison Bader,5,15,1,6,0,2,1,1,.400,.438,.533,2025-05-14
Spencer Steer,5,19,2,6,1,1,0,3,.316,.316,.684,2025-05-16
Josh Bell,5,18,0,5,0,0,3,6,.278,.381,.333,2025-05-15
Kameron Misner,5,19,3,5,1,2,0,9,.263,.263,.421,2025-05-16
Joshua Palacios,5,16,3,5,0,0,2,3,.312,.389,.438,2025-05-16
