Player,Games,At Bats,Runs,Hits,HR,RBI,BB,K,BA,OBA,Slug%,Last Game Date
Manny Machado,14,50,15,24,1,9,9,10,.480,.559,.620,2025-05-14
Cody Bellinger,10,42,7,13,2,5,4,9,.310,.370,.500,2025-05-14
Jose Ramirez,9,32,9,13,3,7,6,4,.406,.513,.781,2025-05-14
Ryan Mountcastle,9,37,2,12,0,6,2,6,.324,.350,.432,2025-05-14
Ernie Clement,8,31,5,13,1,3,1,7,.419,.424,.613,2025-05-14
Victor Robles,8,37,3,12,0,2,0,6,.324,.342,.405,2025-04-06
Xavier Edwards,8,32,3,10,0,1,4,7,.312,.389,.312,2025-05-14
Jeremy Pena,7,31,5,15,2,11,1,3,.484,.485,.774,2025-05-14
Lars Nootbaar,7,30,5,11,2,6,3,5,.367,.412,.633,2025-05-14
Gunnar Henderson,7,31,5,11,3,7,2,8,.355,.394,.742,2025-05-14
Josh Naylor,7,30,4,9,1,4,1,4,.300,.323,.467,2025-05-14
Brandon Nimmo,7,26,3,8,1,3,1,5,.308,.357,.538,2025-05-14
Aaron Judge,6,25,6,12,3,7,4,8,.480,.533,.960,2025-05-14
Trevor Larnach,6,26,5,10,3,7,1,8,.385,.407,.846,2025-05-14
Corey Seager,6,27,9,9,2,6,0,3,.333,.333,.630,2025-05-10
Alexander Canario,6,21,2,8,1,1,2,6,.381,.435,.619,2025-05-14
Luke Keaschall,6,19,4,7,0,2,5,2,.368,.538,.526,2025-04-25
Ryan Bliss,6,20,1,6,1,3,1,6,.300,.333,.500,2025-04-08
Andrew Vaughn,6,23,2,6,2,4,0,5,.261,.261,.652,2025-05-14
Shea Langeliers,5,20,4,9,1,5,2,4,.450,.500,.650,2025-05-14
Player,Games,At Bats,Runs,Hits,HR,RBI,BB,K,BA,OBA,Slug%,Last Game Date
Josh Jung,5,18,4,9,3,7,1,4,.500,.526,1.000,2025-05-14
Jonny Deluca,5,18,4,9,0,1,0,3,.500,.500,.611,2025-04-06
Mark Vientos,5,19,3,8,1,2,0,3,.421,.421,.632,2025-05-14
Riley Greene,5,19,4,8,2,6,1,3,.421,.450,.842,2025-05-14
Andres Gimenez,5,19,2,7,0,2,0,0,.368,.368,.421,2025-05-07
Ivan Herrera,5,18,4,7,1,3,2,4,.389,.455,.667,2025-05-14
Harrison Bader,5,15,1,6,0,2,1,1,.400,.438,.533,2025-05-14
Michael Harris II,5,19,1,6,0,2,2,2,.316,.381,.474,2025-05-14
Myles Straw,5,17,3,6,0,4,0,2,.353,.353,.412,2025-05-14
J.T. Realmuto,5,17,3,6,1,3,3,5,.353,.450,.647,2025-05-14
