LAD,BRO,Brooklyn Dodgers,1884,1957
LAD,LAD,Los Angeles Dodgers,1958,Present
LGR,LOU,Louisville Grays,1876,1877
LOU,LOU,Louisville Colonels,1882,1899
LRG,LRG,Little Rock Grays,1932,1932
LVB,LOW,Louisville White Sox,1931,1931
LVB,LVB,Louisville Black Caps,1930,1932
MAN,MAN,Middletown Mansfields,1872,1872
MAR,MAR,Baltimore Marylands,1873,1873
MB,MB,Milwaukee Bears,1923,1923
MGS,MGS,Montgomery Grey Sox,1932,1932
MIL,MIL,Milwaukee Brewers,1970,Present
MIL,SEP,Seattle Pilots,1969,1969
MIN,MIN,Minnesota Twins,1961,Present
MIN,WSH,Washington Senators,1901,1960
MLA,MIL,Milwaukee Brewers,1891,1891
MLG,MLG,Milwaukee Grays,1878,1878
MLU,MIL,Milwaukee Brewers,1884,1884
MRM,MRM,Monroe Monarchs,1932,1932
MRS,MRS,Memphis Red Sox,1924,1948
NAT,NAT,Washington Nationals,1872,1872
NBY,NBY,New York Black Yankees,1936,1948
ND,ND,Newark Dodgers,1934,1935
NE,BE,Brooklyn Eagles,1935,1935
NE,NE,Newark Eagles,1936,1948
NEW,IND,Indianapolis Hoosiers,1914,1914
NEW,NEW,Newark Pepper,1915,1915
NHV,NHV,New Haven Elm Citys,1875,1875
NLG,NLG,New York Lincoln Giants,1923,1929
NNA,NYU,New York Mutuals,1871,1875
NS,NS,Newark Stars,1926,1926
NWB,NWB,Newark Browns,1932,1932
NYC,NYC,New York Cubans,1935,1948
NYI,NYI,New York Giants,1890,1890
NYM,NYM,New York Mets,1962,Present
NYP,NYP,New York Metropolitans,1883,1887
NYU,NYU,New York Mutuals,1876,1876
NYY,NYY,New York Yankees,1903,Present
OAK,ATH,Athletics,2025,Present
OAK,KCA,Kansas City Athletics,1955,1967
OAK,OAK,Oakland Athletics,1968,2024
OAK,PHA,Philadelphia Athletics,1901,1954
OLY,OLY,Washington Olympics,1871,1872
PBB,PBB,Pittsburgh Burghers,1890,1890
PBG,PBG,Atlantic City Bacharach Giants,1934,1934
PBK,PK,Pittsburgh Keystones,1922,1922
PBS,PBS,Pittsburgh Rebels,1914,1915
PC,PC,Pittsburgh Crawfords,1933,1938
PC,TC,Toledo Crawfords,1939,1940
PC,TC2,Toledo Crawfords,1939,1939
PHA,PHA,Philadelphia Athletics,1882,1890
PHI,PHI,Philadelphia Phillies,1883,Present
PHK,PHK,Philadelphia Keystones,1884,1884
PHQ,PHA,Philadelphia Athletics,1891,1891
PHQ,PHQ,Philadelphia Athletics,1890,1890
PIT,PIT,Pittsburgh Pirates,1882,Present
PNA,ATH,Philadelphia Athletics,1871,1875
PRO,PRO,Providence Grays,1878,1885
PS,PS,Philadelphia Stars,1934,1948
PTG,PTG,Philadelphia Hilldale Giants,1928,1928
PWS,PHI,Philadelphia Whites,1873,1875
RES,RES,Elizabeth Resolutes,1873,1873
RIC,RIC,Richmond Virginians,1884,1884
ROC,ROC,Rochester Broncos,1890,1890
ROK,ROK,Rockford Forest Citys,1871,1871
SBS,STL,St. Louis Brown Stockings,1876,1877
SDP,SDP,San Diego Padres,1969,Present
SEA,SEA,Seattle Mariners,1977,Present
SEN,SEN,Washington Black Senators,1938,1938
SFG,NYG,New York Giants,1883,1957
SFG,SFG,San Francisco Giants,1958,Present
SL2,SL2,St. Louis Stars,1937,1937
SLI,SLM,St. Louis Terriers,1914,1915
SLM,SLM,St. Louis Maroons,1884,1886
SLR,SLR,St. Louis Red Stockings,1875,1875
SLS,SLG,St. Louis Giants,1920,1921
SLS,SLS,St. Louis Stars,1922,1931
SNA,STL,St. Louis Brown Stockings,1875,1875
SNH,AB3,Indianapolis ABCs,1938,1938
SNH,HAR,Harrisburg Stars,1943,1943
SNH,SL3,St. Louis Stars,1939,1939
SNH,SNS,St. Louis/New Orleans Stars,1940,1941
STL,STL,St. Louis Cardinals,1882,Present
STP,STP,St. Paul White Caps,1884,1884
SYR,SYR,Syracuse Stars,1879,1879
SYS,SYR,Syracuse Stars,1890,1890
TBD,TBD,Tampa Bay Devil Rays,1998,2007
TBD,TBR,Tampa Bay Rays,2008,Present
TEX,TEX,Texas Rangers,1972,Present
TEX,WSA,Washington Senators,1961,1971
TLM,TOL,Toledo Maumees,1890,1890
TOL,TOL,Toledo Blue Stockings,1884,1884
TOR,TOR,Toronto Blue Jays,1977,Present
TRO,TRO,Troy Haymakers,1871,1872
TRT,TRO,Troy Trojans,1879,1882
TT,TT,Toledo Tigers,1923,1923
WAP,WAP,Washington Pilots,1932,1932
WAS,WAS,Washington Statesmen,1891,1891
WAS,WHS,Washington Senators,1892,1899
WBL,WAS,Washington Blue Legs,1873,1873
WES,WES,Keokuk Westerns,1875,1875
WIL,WIL,Wilmington Quicksteps,1884,1884
WNA,WHS,Washington Nationals,1884,1884
WNL,WHS,Washington Nationals,1886,1889
WNT,WAS,Washington Nationals,1875,1875
WOR,WOR,Worcester Ruby Legs,1880,1882
WP,WMP,Wilmington Potomacs,1925,1925
WP,WP,Washington Potomacs,1924,1924
WSN,MON,Montreal Expos,1969,2004
WSN,WSN,Washington Nationals,2005,Present
WST,WAS,Washington Nationals,1884,1884
