Player,Games,At Bats,Runs,Hits,HR,RBI,BB,K,BA,OBA,Slug%,Last Game Date
Manny Machado,11,42,11,19,1,9,5,10,.452,.511,.619,2025-05-11
Victor Scott,11,35,7,13,1,8,5,11,.371,.439,.486,2025-05-11
Jordan Beck,10,43,8,12,1,3,0,9,.279,.295,.488,2025-05-11
Shohei Ohtani,9,37,12,15,5,11,7,10,.405,.500,.973,2025-05-11
Yainer Diaz,9,38,5,14,2,9,1,5,.368,.400,.579,2025-05-11
Victor Robles,8,37,3,12,0,2,0,6,.324,.342,.405,2025-04-06
Andy Pages,8,36,5,12,0,6,0,7,.333,.333,.444,2025-05-11
Josh Smith,7,29,4,12,1,3,3,3,.414,.485,.586,2025-05-11
Christian Walker,7,26,4,10,0,6,3,5,.385,.452,.500,2025-05-11
Alec Bohm,7,25,4,10,1,3,3,6,.400,.483,.560,2025-05-11
Cody Bellinger,7,29,5,9,2,4,3,4,.310,.375,.517,2025-05-11
Ryan Mountcastle,7,28,0,9,0,5,1,5,.321,.333,.429,2025-05-11
Ernie Clement,6,24,4,10,0,2,1,6,.417,.423,.500,2025-05-11
Corey Seager,6,27,9,9,2,6,0,3,.333,.333,.630,2025-05-10
Jose Ramirez,6,23,3,9,1,3,3,4,.391,.481,.652,2025-05-11
Rhys Hoskins,6,23,1,8,0,5,1,8,.348,.375,.522,2025-05-11
Kyle Isbel,6,18,4,7,2,2,0,2,.389,.389,.833,2025-05-11
Luke Keaschall,6,19,4,7,0,2,5,2,.368,.538,.526,2025-04-25
Connor Norby,6,23,2,7,0,2,2,5,.304,.360,.391,2025-05-11
Nico Hoerner,6,24,4,7,0,1,0,3,.292,.292,.417,2025-05-11
Player,Games,At Bats,Runs,Hits,HR,RBI,BB,K,BA,OBA,Slug%,Last Game Date
Ryan Bliss,6,20,1,6,1,3,1,6,.300,.333,.500,2025-04-08
Jackson Merrill,5,24,7,13,2,8,1,5,.542,.577,.875,2025-05-10
Jonny Deluca,5,18,4,9,0,1,0,3,.500,.500,.611,2025-04-06
Addison Barger,5,18,4,8,1,6,2,3,.444,.500,.778,2025-05-11
Elias Diaz,5,18,5,8,1,1,1,3,.444,.474,.722,2025-05-11
Carlos Narvaez,5,16,3,7,1,5,2,6,.438,.500,.750,2025-05-11
Gunnar Henderson,5,22,4,7,2,4,1,7,.318,.348,.727,2025-05-11
Andres Gimenez,5,19,2,7,0,2,0,0,.368,.368,.421,2025-05-07
Fernando Tatis Jr.,5,21,7,7,1,5,2,3,.333,.391,.524,2025-05-11
Xavier Edwards,5,19,3,6,0,1,4,3,.316,.435,.316,2025-05-11
