Name,Team,Hrs,Hits,RBI,HRpg,fHRpg,Hpg,fHpg,RBIpg,fRBIpg,HR24,HR24pg,fHR24pg
Carlos Santana,Cleveland Guardians,8,59,36,0.113,1/7,0.831,5/6,0.507,1/2,23,0.15,1/7
Daniel Schneemann,Cleveland Guardians,8,39,21,0.136,1/7,0.661,2/3,0.356,1/3,5,0.07,0
Steven Kwan,Cleveland Guardians,6,87,24,0.082,1/7,1.192,6/5,0.329,1/3,14,0.11,1/7
Gabriel Arias,Cleveland Guardians,5,55,27,0.07,0,0.775,3/4,0.38,2/5,3,0.06,0
Angel Martínez,Cleveland Guardians,5,50,25,0.083,1/7,0.833,5/6,0.417,3/7,3,0.07,0
Austin Hedges,Cleveland Guardians,3,7,4,0.107,1/7,0.25,1/4,0.143,1/7,2,0.03,0
Nolan Jones,Cleveland Guardians,3,38,19,0.044,0,0.559,4/7,0.279,2/7,3,0.04,0
Matt Olson,Atlanta Braves,15,72,49,0.195,1/5,0.935,1,0.636,2/3,29,0.18,1/6
Austin Riley,Atlanta Braves,12,87,40,0.156,1/6,1.13,8/7,0.519,1/2,19,0.17,1/6
Marcell Ozuna,Atlanta Braves,11,66,40,0.149,1/7,0.892,6/7,0.541,4/7,39,0.24,1/4
Ronald Acuña Jr.,Atlanta Braves,9,40,16,0.321,1/3,1.429,10/7,0.571,4/7,4,0.08,1/7
Sean Murphy,Atlanta Braves,9,34,22,0.191,1/5,0.723,5/7,0.468,1/2,10,0.14,1/7
Drake Baldwin,Atlanta Braves,8,44,25,0.157,1/6,0.863,6/7,0.49,1/2,0,0,0
Ozzie Albies,Atlanta Braves,6,67,27,0.078,1/7,0.87,6/7,0.351,1/3,10,0.1,1/7
Michael Harris II,Atlanta Braves,6,65,43,0.078,1/7,0.844,5/6,0.558,4/7,16,0.15,1/7
Eli White,Atlanta Braves,3,39,15,0.05,0,0.65,2/3,0.25,1/4,1,0.03,0
Jarred Kelenic,Atlanta Braves,2,10,2,0.087,1/7,0.435,3/7,0.087,1/7,15,0.11,1/7
Pete Alonso,New York Mets,18,85,64,0.228,1/4,1.076,8/7,0.81,4/5,34,0.21,1/5
Juan Soto,New York Mets,17,71,43,0.218,1/5,0.91,6/7,0.551,4/7,41,0.26,1/4
Francisco Lindor,New York Mets,16,84,42,0.208,1/5,1.091,8/7,0.545,4/7,33,0.22,1/5
Brandon Nimmo,New York Mets,15,71,41,0.2,1/5,0.947,1,0.547,4/7,23,0.15,1/7
Brett Baty,New York Mets,8,37,24,0.14,1/7,0.649,2/3,0.421,3/7,4,0.08,1/7
Jeff McNeil,New York Mets,8,36,23,0.17,1/6,0.766,3/4,0.489,1/2,12,0.09,1/7
Mark Vientos,New York Mets,6,43,21,0.113,1/7,0.811,4/5,0.396,2/5,27,0.24,1/4
Starling Marte,New York Mets,4,35,18,0.078,1/7,0.686,2/3,0.353,1/3,7,0.07,0
Francisco Alvarez,New York Mets,3,29,11,0.086,1/7,0.829,5/6,0.314,1/3,11,0.11,1/7
Jared Young,New York Mets,3,6,4,0.176,1/6,0.353,1/3,0.235,1/4,0,0,0
Aaron Judge,New York Yankees,28,106,62,0.359,1/3,1.359,4/3,0.795,4/5,58,0.37,2/5
Trent Grisham,New York Yankees,15,55,31,0.224,1/5,0.821,5/6,0.463,3/7,9,0.12,1/7
Ben Rice,New York Yankees,13,54,28,0.197,1/5,0.818,5/6,0.424,3/7,7,0.14,1/7
Austin Wells,New York Yankees,11,48,44,0.167,1/6,0.727,5/7,0.667,2/3,13,0.11,1/7
Cody Bellinger,New York Yankees,10,70,38,0.141,1/7,0.986,1,0.535,4/7,18,0.14,1/7
Jazz Chisholm Jr.,New York Yankees,10,40,28,0.208,1/5,0.833,5/6,0.583,4/7,24,0.16,1/6,13,0.13,1/7,11,0.24,1/4
Anthony Volpe,New York Yankees,9,64,41,0.117,1/7,0.831,5/6,0.532,1/2,12,0.07,0
Paul Goldschmidt,New York Yankees,8,82,32,0.104,1/7,1.065,1,0.416,3/7,22,0.14,1/7
Jasson Domínguez,New York Yankees,6,51,27,0.092,1/7,0.785,4/5,0.415,3/7,2,0.11,1/7
Oswald Peraza,New York Yankees,3,18,13,0.06,0,0.36,1/3,0.26,1/4,1,0.25,1/4
Elly De La Cruz,Cincinnati Reds,18,82,55,0.228,1/4,1.038,1,0.696,5/7,25,0.16,1/6
Matt McLain,Cincinnati Reds,9,50,27,0.13,1/7,0.725,5/7,0.391,2/5,0,0,0
TJ Friedl,Cincinnati Reds,8,84,30,0.107,1/7,1.12,8/7,0.4,2/5,13,0.15,1/7
Will Benson,Cincinnati Reds,6,23,21,0.162,1/6,0.622,3/5,0.568,4/7,14,0.11,1/7
