Troy Herriage,KCA
John Kerner,ID
Cameron Rupp,PHI
Dick Aylward,CLE
Johnny Temple,CIN
Cole Hamels,TEX
Chris Heston,SEA
Kurt Bevacqua,MIL
Neil Ramírez,CLE
Hal Bevan,CIN
Kevin Maas,MIN
David Phelps,TOR
Roscoe Miller,PIT
Vinnie Pestano,CLE
Jim Lewis,PC
Tom Asmussen,BSN
Hansel Robles,NYM
Barry Manuel,TEX
John Dopson,CAL
Garnett Norman,MRS
Tom Robson,TEX
Wally Ritchie,PHI
Marty Perez,ATL
Jerry Reuss,CIN
Bob Hendley,SFG
Ben Chapman,BOS
Tom Harrison,KCA
Frank Kitson,BRO
Garrett Richards,LAA
Ed McGhee,PHA
Matt Stairs,CHC
Black,MRS
Howie Clark,TOR
Jerry Connors,PHI
Chris Green,PIT
Joe Cobb,DET
Eric Erickson,DET
Jim Johnson,ATL
Vinny Rottino,CLE
Trench Davis,ATL
Danny Tartabull,PHI
Earl Harrist,CHW
Jay Porter,CLE
Mike Ivie,DET
José De Paula,NYY
Fred Williams,HBG
Samuel Thompson,CEG
Rocky Biddle,MON
Wade Johnston,KCM
Albert Zachary,BRO
Jim Busby,HOU
Tom Murphy,MIL
Stan Jefferson,CLE
Sid Fernandez,PHI
John Richmond,PIT
Dave Baldwin,CHW
Ed Carfrey,PHA
Óliver Pérez,NYM
Xavier Cedeño,HOU
Grant Bowler,CHW
Dave Gallagher,NYM
Powell,BBB
Nerio Rodríguez,CLE
Dan Shannon,PHQ
Tony Bernazard,OAK
Joe Hornung,BSN
George Williams,NBY
Gregorio Petit,HOU
Collin Cowgill,LAA
Bubbles Hargrave,CHC
Broadway Jones,PHI
Terry Burrows,MIL
Bruce Brubaker,MIL
Gabe Kapler,TEX
Xavier Nady,NYY
Ed Winceniak,CHC
Gerónimo Berroa,TOR
Joe Connolly,CLE
Ed Hahn,CHW
Ricky Karcher,CIN
Collin Cowgill,NYM
Al Cypert,CLE
Frank Pastore,CIN
Norm Glockson,CIN
Tom Gilles,TOR
Al DeVormer,NYG
Butch Henline,PHI
Jack Baker,BOS
Wally Goldsmith,MAR
Sam Nahem,STL
Oscar González,SDP
Luis de los Santos,TBD
Rivington Bisland,PIT
Doug Slaten,WSN
Danny Murtaugh,PHI
Bert Inks,WHS
John Patterson,ARI
Harry Camnitz,STL
Jeimer Candelario,WSN
Chris Bassitt,NYM
Aaron Cunningham,OAK
Chris Latham,TOR
Roxy Walters,NYY
Keith Hughes,NYY
John Vukovich,MIL
Neil Chrisley,WSH
