Player,Games,At Bats,Runs,Hits,HR,RBI,BB,K,BA,OBA,Slug%,Last Game Date
J.P. Crawford,15,61,10,22,3,13,9,10,.361,.443,.525,2025-05-07
Freddie Freeman,12,46,11,22,4,18,7,6,.478,.547,.848,2025-05-07
Zach Neto,12,48,8,17,3,5,3,14,.354,.404,.625,2025-05-07
Harrison Bader,9,29,7,13,1,4,3,5,.448,.500,.655,2025-05-07
Vladimir Guerrero Jr.,9,35,7,11,2,6,4,10,.314,.375,.514,2025-05-07
Javier Baez,8,33,10,14,3,14,1,8,.424,.457,.818,2025-05-07
Manny Machado,8,31,7,13,1,5,4,9,.419,.486,.581,2025-05-07
Jake Meyers,8,28,6,12,2,8,4,2,.429,.500,.750,2025-05-07
Victor Robles,8,37,3,12,0,2,0,6,.324,.342,.405,2025-04-06
Victor Scott,8,25,5,10,1,5,4,8,.400,.483,.560,2025-05-07
Hunter Goodman,8,32,2,10,1,6,0,8,.312,.312,.406,2025-05-07
Brendan Donovan,8,29,5,9,0,3,3,1,.310,.394,.345,2025-05-07
Byron Buxton,7,30,4,12,3,8,1,9,.400,.419,.733,2025-05-07
James Wood,7,30,3,12,1,2,4,8,.400,.471,.600,2025-05-07
Trea Turner,6,27,6,11,1,2,1,3,.407,.429,.556,2025-05-07
Trey Sweeney,6,24,5,11,2,7,1,6,.458,.480,.750,2025-05-07
Steven Kwan,6,25,5,11,0,2,4,1,.440,.517,.520,2025-05-07
Alejandro Kirk,6,25,1,10,1,4,0,1,.400,.400,.520,2025-05-07
Wilmer Flores,6,24,4,9,0,5,2,3,.375,.423,.458,2025-05-07
Yainer Diaz,6,25,4,9,1,4,0,3,.360,.385,.560,2025-05-07
Player,Games,At Bats,Runs,Hits,HR,RBI,BB,K,BA,OBA,Slug%,Last Game Date
Austin Riley,6,24,4,8,2,5,1,7,.333,.385,.625,2025-05-07
Luke Keaschall,6,19,4,7,0,2,5,2,.368,.538,.526,2025-04-25
Ryan Bliss,6,20,1,6,1,3,1,6,.300,.333,.500,2025-04-08
Jacob Wilson,5,21,4,12,0,4,2,1,.571,.609,.667,2025-05-07
Jonny Deluca,5,18,4,9,0,1,0,3,.500,.500,.611,2025-04-06
Shohei Ohtani,5,18,8,8,3,5,6,6,.444,.583,1.167,2025-05-07
Andres Gimenez,5,19,2,7,0,2,0,0,.368,.368,.421,2025-05-07
Tyler Soderstrom,5,20,2,7,0,1,0,5,.350,.381,.400,2025-05-07
Jonah Heim,5,16,3,7,0,2,2,2,.438,.526,.438,2025-05-07
Mark Vientos,5,19,2,6,0,0,2,4,.316,.381,.316,2025-05-06
Eli White,5,18,1,6,0,1,0,6,.333,.333,.500,2025-05-07
Cody Bellinger,5,19,4,6,2,4,2,2,.316,.381,.632,2025-05-07
Corey Seager,5,23,6,6,0,3,0,3,.261,.261,.304,2025-05-07
Jordan Beck,5,22,4,6,0,2,0,5,.273,.273,.409,2025-05-07
Riley Adams,5,17,3,5,2,6,0,7,.294,.294,.706,2025-05-06
