Column2,Column1,Column3
I_F_shifts,individual_for_shifts,Number of shifts a player had
I_F_shotAttempts,individual_for_shotAttempts,"Shot attempts. Includes shots on goal, missed shots, and blocked shot attempts"
I_F_shotsOnGoal,individual_for_shotsOnGoal,Shots on goal. Does not include shots that miss the net or blocked shots
I_F_takeaways,individual_for_takeaways,Number of takeaways the player has taken from opponents
I_F_unblockedShotAttempts,individual_for_unblockedShotAttempts,All shot attempts that weren't blocked
I_F_xFreeze,individual_for_xFreeze,Expected puck freezes after shots. The expected number of puck freezes by the goalie after the player's unblocked shot attempts.
I_F_xGoals,individual_for_xGoals,Expected Goals. See 'General Concepts' tab for more info.
I_F_xGoals_with_earned_rebounds,individual_for_xGoals_with_earned_rebounds,"xGoals With Earned Rebounds. Also known as 'Created Expected Goals': Expected Goals of non-rebound shots + xGoals of xRebounds of all shots. This metric gives credit to the player that created the original shot, opposed to the player getting the rebound. See http://moneypuck.com/about.htm#xRebounds for more info"
I_F_xGoals_with_earned_rebounds_scoreAdjusted,individual_for_xGoals_with_earned_rebounds_scoreAdjusted,Score adjusted xGoals With Earned Rebounds
I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,individual_for_xGoals_with_earned_rebounds_scoreFlurryAdjusted,Score and flurry adjusted xGoals With Earned Rebounds
I_F_xGoalsFromActualReboundsOfShots,individual_for_xGoalsFromActualReboundsOfShots,Expected Goals from actual rebounds shots of player's shots. 
I_F_xGoalsFromxReboundsOfShots,individual_for_xGoalsFromxReboundsOfShots,"Expected Goals from Expected Rebounds of player's shots. Even if a shot does not actually generate a rebound, if it's a shot that is likely to generate a rebound the player is credited with xGoalsFromxRebounds"
I_F_xOnGoal,individual_for_xOnGoal,"Expected number of unblocked shot attempts that are expected to be a shot on goal (not miss the net) given the context (distance, situation, etc) they were taken from. This assumes the player has average shooting talent."
I_F_xPlayContinuedInZone,individual_for_xPlayContinuedInZone,"Expected number of times the play continues in the offensive zone after the player's shot besides an immediate rebound shot. This is proxied by another event happening in the zone after the shot (such as a hit, takeaway, etc) without any events outside of the zone happening inbetween and all the same players for both teams are still on the ice as they were for the original shot"
I_F_xPlayContinuedOutsideZone,individual_for_xPlayContinuedOutsideZone,Expected number of times the play goes outside the offensive zone after the player's shot. 
I_F_xPlayStopped,individual_for_xPlayStopped,"Expected number of times the play is stopped after shots for reasons other than the goalie freezing the puck, such as the puck going over the glass or a dislodged net."
I_F_xRebounds,individual_for_xRebounds,Expected Rebounds. The expected number of rebound shots generated from the player's unblocked shot attempts.
icetime,icetime,Ice time in seconds
iceTimeRank,iceTimeRank,Rank of the player's ice time in a given game. Forwards and Defensemen are ranked seperately. 1 means the player got more icetime in the game than any other forward/D.
Low Danger Shots,Low Danger Shots,Unblocked Shot attempts with a < 8% probability of being a goal. Low danger shots accounts for ~75% of shots and ~33% of goals
Medium Danger Shots,Medium Danger Shots,Unblocked Shot attempts with between >=8% but less than 20% probability of being a goal. Medium danger shots account for ~20% of shots and ~33% of goals
,,
OffIce_A,off_ice_against_,"""Off-ice Against"". Every player on the opposing team's bench of  the team doing the event receives ""credit"". OffIce_A_goals is the number of goals the player's team has given up while that player is on the bench."
