playerId,season,name,team,position,situation,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties
8478048,2025,Igor Shesterkin,NYR,G,other,34,1845.0,6.08,5.0,88.0,4.19,4.0,9.28,1.0,48.91,39.0,0.75,0.0,30.67,35.0,14.84,22.0,5.57,38.0,25.0,4.0,1.68,3.06,1.34,2.0,2.0,1.0,21.0,0.0,0.0
8478048,2025,Igor Shesterkin,NYR,G,all,34,120360.0,97.55,82.0,2008.0,73.24,118.0,256.9,180.0,1060.67,946.0,32.71,1.0,575.94,498.0,409.59,568.0,91.92,1095.0,258.0,96.0,34.14,31.68,31.73,34.0,25.0,23.0,559.0,4.0,2.0
8478048,2025,Igor Shesterkin,NYR,G,5on5,34,101011.0,65.56,51.0,1596.0,53.3,90.0,209.33,146.0,825.51,738.0,26.03,1.0,447.03,383.0,330.95,461.0,63.19,902.0,171.0,61.0,27.28,21.15,17.13,26.0,18.0,7.0,462.0,4.0,2.0
8478048,2025,Igor Shesterkin,NYR,G,4on5,34,9453.0,21.97,20.0,276.0,13.51,20.0,32.92,27.0,151.84,136.0,0.77,0.0,85.49,75.0,44.25,61.0,19.56,125.0,52.0,26.0,4.13,6.1,11.74,3.0,4.0,13.0,73.0,0.0,0.0
8478048,2025,Igor Shesterkin,NYR,G,5on4,34,8051.0,3.51,5.0,35.0,1.53,4.0,3.55,4.0,25.87,26.0,5.07,0.0,7.69,1.0,15.88,19.0,3.15,19.0,9.0,5.0,0.78,1.2,1.52,2.0,1.0,2.0,2.0,0.0,0.0
8481020,2025,Justus Annunen,NSH,G,other,13,1686.0,3.91,5.0,46.0,2.18,4.0,5.74,5.0,27.15,24.0,0.42,0.0,15.19,13.0,8.03,9.0,3.34,25.0,5.0,6.0,0.97,0.75,2.19,2.0,1.0,2.0,10.0,0.0,0.0
8481020,2025,Justus Annunen,NSH,G,all,13,39725.0,32.05,35.0,596.0,25.51,34.0,81.26,71.0,337.94,296.0,10.96,0.0,183.56,165.0,126.82,156.0,30.19,334.0,92.0,35.0,9.39,11.12,11.54,13.0,12.0,10.0,135.0,0.0,0.0
8481020,2025,Justus Annunen,NSH,G,5on5,13,31372.0,20.34,22.0,448.0,16.95,20.0,62.29,57.0,246.42,214.0,8.56,0.0,134.16,119.0,96.85,121.0,19.57,255.0,64.0,20.0,7.13,7.38,5.83,9.0,9.0,4.0,109.0,0.0,0.0
8481020,2025,Justus Annunen,NSH,G,4on5,13,3502.0,7.13,8.0,90.0,5.93,10.0,12.01,9.0,56.05,48.0,0.17,0.0,31.52,32.0,16.22,16.0,6.62,45.0,22.0,8.0,1.09,2.79,3.24,2.0,2.0,4.0,15.0,0.0,0.0
8481020,2025,Justus Annunen,NSH,G,5on4,13,3165.0,0.67,0.0,12.0,0.44,0.0,1.22,0.0,8.32,10.0,1.81,0.0,2.68,1.0,5.71,10.0,0.67,9.0,1.0,1.0,0.2,0.2,0.27,0.0,0.0,0.0,1.0,0.0,0.0
8478971,2025,Connor Ingram,EDM,G,other,7,743.0,0.85,0.0,20.0,0.71,1.0,2.21,3.0,10.22,11.0,0.4,0.0,6.14,6.0,3.77,4.0,0.83,10.0,4.0,0.0,0.35,0.5,0.0,0.0,0.0,0.0,6.0,0.0,0.0
8478971,2025,Connor Ingram,EDM,G,all,7,25375.0,19.21,19.0,421.0,15.04,21.0,49.58,53.0,213.13,197.0,8.37,0.0,116.73,102.0,84.22,97.0,18.25,225.0,46.0,21.0,6.56,5.55,7.1,10.0,2.0,7.0,129.0,2.0,1.0
8478971,2025,Connor Ingram,EDM,G,5on5,7,20687.0,13.43,15.0,333.0,11.17,16.0,40.77,44.0,166.18,153.0,6.61,0.0,90.88,75.0,66.96,79.0,12.8,180.0,34.0,15.0,5.44,4.06,3.93,9.0,2.0,4.0,104.0,0.0,0.0
8478971,2025,Connor Ingram,EDM,G,4on5,7,1831.0,4.5,4.0,59.0,2.94,4.0,5.83,4.0,31.2,26.0,0.3,0.0,18.0,20.0,9.74,10.0,4.21,29.0,7.0,6.0,0.48,0.86,3.17,1.0,0.0,3.0,17.0,2.0,1.0
8478971,2025,Connor Ingram,EDM,G,5on4,7,2114.0,0.42,0.0,9.0,0.21,0.0,0.78,2.0,5.54,7.0,1.06,0.0,1.71,1.0,3.75,4.0,0.4,6.0,1.0,0.0,0.29,0.13,0.0,0.0,0.0,0.0,2.0,0.0,0.0
8480193,2025,Daniil Tarasov,FLA,G,other,14,1446.0,3.39,4.0,37.0,1.52,1.0,3.54,4.0,19.96,20.0,0.51,0.0,12.47,11.0,5.43,6.0,3.3,17.0,5.0,5.0,0.49,0.5,2.39,0.0,1.0,3.0,10.0,0.0,0.0
8480193,2025,Daniil Tarasov,FLA,G,all,14,48636.0,38.29,38.0,820.0,30.29,48.0,108.3,83.0,439.46,396.0,14.22,0.0,239.55,221.0,171.47,211.0,36.92,454.0,110.0,39.0,12.86,13.42,12.01,16.0,14.0,8.0,217.0,0.0,0.0
8480193,2025,Daniil Tarasov,FLA,G,5on5,14,38305.0,28.7,29.0,651.0,23.07,41.0,89.11,65.0,350.01,314.0,10.58,0.0,188.08,176.0,140.12,169.0,27.79,370.0,83.0,28.0,10.58,10.48,7.63,15.0,11.0,3.0,170.0,0.0,0.0
8480193,2025,Daniil Tarasov,FLA,G,4on5,14,4041.0,4.97,4.0,113.0,4.97,4.0,13.86,13.0,57.66,50.0,0.38,0.0,34.9,33.0,18.23,25.0,4.63,57.0,18.0,4.0,1.49,1.95,1.54,1.0,1.0,2.0,34.0,0.0,0.0
8480193,2025,Daniil Tarasov,FLA,G,5on4,14,4844.0,1.23,1.0,19.0,0.74,2.0,1.8,1.0,11.83,12.0,2.76,0.0,4.08,1.0,7.69,11.0,1.2,10.0,4.0,2.0,0.3,0.49,0.45,0.0,1.0,0.0,3.0,0.0,0.0
8477424,2025,Juuse Saros,NSH,G,other,36,3562.0,8.54,11.0,125.0,5.52,4.0,14.53,10.0,73.64,73.0,1.34,0.0,41.03,31.0,26.9,43.0,8.2,61.0,32.0,6.0,2.49,3.77,2.27,1.0,9.0,1.0,26.0,0.0,0.0
8477424,2025,Juuse Saros,NSH,G,all,36,126395.0,99.96,103.0,1922.0,75.12,99.0,254.7,213.0,1076.65,1001.0,35.42,2.0,569.07,494.0,417.48,542.0,95.65,1076.0,276.0,100.0,32.26,34.72,32.97,38.0,44.0,21.0,470.0,2.0,1.0
8477424,2025,Juuse Saros,NSH,G,5on5,36,102309.0,70.29,75.0,1529.0,54.64,80.0,208.8,180.0,834.37,763.0,28.37,2.0,444.47,391.0,327.81,407.0,67.72,875.0,188.0,71.0,26.15,23.76,20.37,37.0,27.0,11.0,395.0,2.0,1.0
8477424,2025,Juuse Saros,NSH,G,4on5,36,10174.0,17.87,17.0,214.0,13.26,12.0,25.89,22.0,130.97,126.0,0.82,0.0,72.33,62.0,36.58,57.0,16.49,104.0,47.0,19.0,2.4,6.19,9.27,0.0,8.0,9.0,44.0,0.0,0.0
8477424,2025,Juuse Saros,NSH,G,5on4,36,10350.0,3.12,0.0,51.0,1.6,3.0,5.17,1.0,36.12,38.0,4.62,0.0,10.47,9.0,25.56,34.0,3.1,35.0,8.0,4.0,1.19,0.86,1.07,0.0,0.0,0.0,4.0,0.0,0.0
8483548,2025,Brandon Bussi,CAR,G,other,20,2716.0,5.67,6.0,70.0,3.13,7.0,8.16,4.0,39.36,35.0,1.3,0.0,22.08,21.0,12.47,15.0,5.31,29.0,15.0,9.0,1.2,1.84,2.62,2.0,3.0,1.0,17.0,0.0,0.0
8483548,2025,Brandon Bussi,CAR,G,all,20,73121.0,52.32,47.0,952.0,38.17,61.0,127.8,92.0,534.47,480.0,26.18,1.0,277.34,235.0,201.31,278.0,49.77,500.0,155.0,60.0,15.44,18.35,18.52,15.0,18.0,14.0,237.0,2.0,1.0
8483548,2025,Brandon Bussi,CAR,G,5on5,20,59838.0,34.66,28.0,742.0,27.4,38.0,101.78,75.0,410.11,362.0,20.96,0.0,214.02,188.0,160.48,221.0,33.52,401.0,121.0,30.0,12.38,14.17,8.11,9.0,14.0,5.0,190.0,2.0,1.0
8483548,2025,Brandon Bussi,CAR,G,4on5,20,4775.0,9.99,12.0,117.0,6.83,15.0,15.79,12.0,69.84,63.0,0.71,0.0,36.14,24.0,18.82,27.0,9.02,60.0,12.0,18.0,1.59,1.5,6.91,3.0,1.0,8.0,27.0,0.0,0.0
8483548,2025,Brandon Bussi,CAR,G,5on4,20,5792.0,1.43,1.0,20.0,0.68,1.0,1.72,1.0,12.73,17.0,3.21,1.0,4.21,2.0,8.54,12.0,1.35,10.0,5.0,2.0,0.27,0.63,0.53,1.0,0.0,0.0,3.0,0.0,0.0
8478872,2025,Karel Vejmelka,UTA,G,other,34,3238.0,6.65,6.0,103.0,4.96,7.0,12.74,12.0,57.13,53.0,0.7,0.0,33.95,34.0,17.37,19.0,6.12,44.0,29.0,5.0,1.36,3.59,1.7,0.0,4.0,2.0,25.0,0.0,0.0
8478872,2025,Karel Vejmelka,UTA,G,all,34,119247.0,90.24,87.0,1862.0,67.98,114.0,237.29,194.0,975.7,857.0,35.16,2.0,515.63,470.0,375.46,453.0,86.11,959.0,285.0,76.0,28.9,35.62,25.72,30.0,38.0,19.0,542.0,2.0,1.0
8478872,2025,Karel Vejmelka,UTA,G,5on5,34,96993.0,62.7,66.0,1428.0,46.7,79.0,186.43,150.0,737.07,645.0,27.9,1.0,384.55,344.0,292.8,357.0,60.11,738.0,211.0,49.0,22.53,26.42,13.75,28.0,30.0,8.0,430.0,2.0,1.0
8478872,2025,Karel Vejmelka,UTA,G,4on5,34,9661.0,19.31,15.0,294.0,15.32,26.0,34.34,30.0,157.98,141.0,0.74,0.0,89.53,86.0,49.0,56.0,18.32,152.0,39.0,22.0,4.12,4.92,10.28,2.0,4.0,9.0,81.0,0.0,0.0
8478872,2025,Karel Vejmelka,UTA,G,5on4,34,9355.0,1.52,0.0,36.0,0.94,2.0,3.67,2.0,22.81,17.0,5.75,1.0,7.23,6.0,15.93,20.0,1.5,24.0,6.0,0.0,0.83,0.69,0.0,0.0,0.0,0.0,6.0,0.0,0.0
8479979,2025,Jake Oettinger,DAL,G,other,29,2555.0,5.04,4.0,86.0,3.2,4.0,8.39,7.0,43.49,42.0,1.55,1.0,25.45,25.0,14.49,18.0,4.75,43.0,10.0,5.0,1.73,1.15,2.16,1.0,2.0,1.0,28.0,0.0,0.0
8479979,2025,Jake Oettinger,DAL,G,all,29,102812.0,81.01,77.0,1656.0,59.34,110.0,215.61,134.0,873.57,787.0,25.02,3.0,464.68,412.0,333.31,450.0,76.24,884.0,214.0,86.0,27.33,25.79,27.88,30.0,26.0,21.0,472.0,0.0,0.0
8479979,2025,Jake Oettinger,DAL,G,5on5,29,84772.0,54.78,52.0,1298.0,42.54,79.0,174.29,103.0,676.01,604.0,19.48,1.0,356.89,318.0,267.27,366.0,53.05,708.0,162.0,49.0,21.74,19.43,13.61,25.0,18.0,9.0,379.0,0.0,0.0
8479979,2025,Jake Oettinger,DAL,G,4on5,29,8774.0,18.22,17.0,231.0,12.05,25.0,28.8,22.0,129.25,113.0,0.47,0.0,73.31,64.0,36.12,45.0,15.53,111.0,33.0,29.0,3.08,3.96,11.18,3.0,4.0,10.0,58.0,0.0,0.0
8479979,2025,Jake Oettinger,DAL,G,5on4,29,6711.0,2.47,4.0,33.0,1.26,2.0,3.48,1.0,20.76,25.0,3.38,1.0,7.34,4.0,13.64,18.0,2.43,20.0,6.0,3.0,0.66,0.87,0.94,1.0,2.0,1.0,4.0,0.0,0.0
8482123,2025,Drew Commesso,CHI,G,other,2,264.0,0.51,0.0,10.0,0.48,1.0,0.96,1.0,5.91,5.0,0.13,0.0,4.08,2.0,1.77,4.0,0.48,6.0,2.0,0.0,0.21,0.29,0.0,0.0,0.0,0.0,2.0,0.0,0.0
8482123,2025,Drew Commesso,CHI,G,all,2,7200.0,6.47,5.0,107.0,4.96,9.0,16.18,18.0,66.83,60.0,1.78,0.0,34.31,30.0,23.91,26.0,6.08,63.0,17.0,8.0,1.92,2.08,2.46,0.0,3.0,2.0,19.0,0.0,0.0
8482123,2025,Drew Commesso,CHI,G,5on5,2,5588.0,4.88,5.0,83.0,3.49,7.0,13.5,14.0,51.47,47.0,1.36,0.0,25.62,25.0,18.84,17.0,4.57,50.0,13.0,5.0,1.57,1.58,1.73,0.0,3.0,2.0,15.0,0.0,0.0
8482123,2025,Drew Commesso,CHI,G,4on5,2,685.0,0.99,0.0,12.0,0.94,1.0,1.53,3.0,7.92,7.0,0.03,0.0,4.2,2.0,2.11,4.0,0.94,5.0,2.0,3.0,0.05,0.2,0.73,0.0,0.0,0.0,2.0,0.0,0.0
8482123,2025,Drew Commesso,CHI,G,5on4,2,663.0,0.09,0.0,2.0,0.07,0.0,0.2,0.0,1.53,1.0,0.27,0.0,0.41,1.0,1.19,1.0,0.09,2.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8471734,2025,Jonathan Quick,NYR,G,other,14,1154.0,3.97,4.0,29.0,1.36,5.0,3.63,0.0,18.75,18.0,0.52,0.0,9.93,10.0,5.41,6.0,2.66,11.0,8.0,6.0,0.29,1.0,2.69,0.0,1.0,3.0,4.0,0.0,0.0
8471734,2025,Jonathan Quick,NYR,G,all,14,47552.0,37.76,37.0,761.0,28.21,47.0,98.25,53.0,410.77,364.0,13.01,0.0,220.77,215.0,159.27,206.0,35.29,420.0,100.0,38.0,12.18,12.72,12.85,10.0,15.0,12.0,203.0,4.0,2.0
8471734,2025,Jonathan Quick,NYR,G,5on5,14,40110.0,27.39,28.0,625.0,21.07,31.0,81.23,43.0,328.55,283.0,10.53,0.0,175.53,171.0,130.94,174.0,26.54,341.0,80.0,26.0,10.2,10.19,7.0,9.0,13.0,6.0,178.0,4.0,2.0
8471734,2025,Jonathan Quick,NYR,G,4on5,14,3330.0,5.96,4.0,96.0,5.41,10.0,12.24,9.0,56.28,54.0,0.2,0.0,32.79,34.0,17.63,19.0,5.67,59.0,11.0,6.0,1.39,1.41,3.16,0.0,1.0,3.0,20.0,0.0,0.0
8471734,2025,Jonathan Quick,NYR,G,5on4,14,2958.0,0.42,1.0,11.0,0.37,1.0,1.15,1.0,7.2,9.0,1.76,0.0,2.51,0.0,5.29,7.0,0.42,9.0,1.0,0.0,0.3,0.12,0.0,1.0,0.0,0.0,1.0,0.0,0.0
