playerId,season,name,team,position,situation,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties
8478048,2025,Igor Shesterkin,NYR,G,other,6,173.0,0.27,1.0,3.0,0.1,0.0,0.24,1.0,1.17,2.0,0.07,0.0,0.79,0.0,0.53,0.0,0.27,0.0,2.0,0.0,0.0,0.27,0.0,0.0,1.0,0.0,1.0,0.0,0.0
8478048,2025,Igor Shesterkin,NYR,G,all,6,21462.0,15.92,7.0,335.0,12.32,17.0,44.03,38.0,180.86,161.0,6.35,0.0,96.49,78.0,69.57,104.0,14.95,189.0,37.0,18.0,5.71,4.78,5.42,2.0,2.0,3.0,91.0,0.0,0.0
8478048,2025,Igor Shesterkin,NYR,G,5on5,6,17971.0,11.56,5.0,282.0,9.69,14.0,37.96,31.0,152.38,137.0,4.99,0.0,81.14,64.0,60.9,92.0,11.15,168.0,26.0,12.0,5.02,3.36,3.18,2.0,1.0,2.0,76.0,0.0,0.0
8478048,2025,Igor Shesterkin,NYR,G,4on5,6,1571.0,3.98,1.0,47.0,2.48,3.0,5.61,6.0,25.77,21.0,0.1,0.0,14.09,14.0,7.06,10.0,3.41,19.0,9.0,6.0,0.57,1.16,2.25,0.0,0.0,1.0,13.0,0.0,0.0
8478048,2025,Igor Shesterkin,NYR,G,5on4,6,1747.0,0.11,0.0,3.0,0.06,0.0,0.22,0.0,1.53,1.0,1.19,0.0,0.47,0.0,1.08,2.0,0.11,2.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8479973,2025,Stuart Skinner,EDM,G,other,4,219.0,0.66,0.0,10.0,0.38,1.0,0.95,0.0,5.39,7.0,0.16,0.0,2.83,3.0,2.01,3.0,0.65,6.0,0.0,1.0,0.26,0.0,0.41,0.0,0.0,0.0,3.0,0.0,0.0
8479973,2025,Stuart Skinner,EDM,G,all,4,14540.0,11.56,9.0,247.0,8.37,11.0,27.96,27.0,118.55,99.0,3.6,0.0,66.06,55.0,46.08,62.0,11.26,118.0,33.0,13.0,3.28,4.13,4.16,3.0,2.0,4.0,83.0,0.0,0.0
8479973,2025,Stuart Skinner,EDM,G,5on5,4,12499.0,7.82,6.0,196.0,6.29,9.0,23.05,23.0,93.9,74.0,2.82,0.0,52.79,39.0,37.9,54.0,7.73,100.0,23.0,8.0,2.61,3.0,2.21,3.0,1.0,2.0,65.0,0.0,0.0
8479973,2025,Stuart Skinner,EDM,G,4on5,4,1117.0,2.86,2.0,38.0,1.63,1.0,3.71,3.0,17.63,16.0,0.08,0.0,10.01,13.0,5.19,5.0,2.67,11.0,10.0,3.0,0.4,1.12,1.34,0.0,1.0,1.0,14.0,0.0,0.0
8479973,2025,Stuart Skinner,EDM,G,5on4,4,705.0,0.22,1.0,3.0,0.07,0.0,0.25,1.0,1.63,2.0,0.54,0.0,0.43,0.0,0.99,0.0,0.22,1.0,0.0,1.0,0.01,0.0,0.2,0.0,0.0,1.0,1.0,0.0,0.0
8475311,2025,Darcy Kuemper,LAK,G,other,3,135.0,0.4,1.0,6.0,0.28,0.0,1.2,2.0,4.55,6.0,0.23,0.0,2.57,1.0,1.37,2.0,0.37,4.0,2.0,0.0,0.15,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8475311,2025,Darcy Kuemper,LAK,G,all,3,10741.0,8.02,10.0,154.0,5.99,4.0,21.57,24.0,84.37,76.0,3.04,0.0,45.73,38.0,30.91,39.0,7.66,82.0,26.0,7.0,2.42,3.25,2.35,3.0,5.0,2.0,39.0,0.0,0.0
8475311,2025,Darcy Kuemper,LAK,G,5on5,3,8063.0,3.99,5.0,106.0,3.42,2.0,14.14,14.0,53.04,46.0,2.09,0.0,29.4,25.0,21.26,28.0,3.95,56.0,16.0,2.0,1.49,2.02,0.47,1.0,3.0,1.0,32.0,0.0,0.0
8475311,2025,Darcy Kuemper,LAK,G,4on5,3,1513.0,3.5,4.0,39.0,2.22,2.0,5.73,7.0,24.51,23.0,0.12,0.0,13.11,12.0,6.68,7.0,3.22,19.0,8.0,5.0,0.65,0.98,1.88,1.0,2.0,1.0,7.0,0.0,0.0
8475311,2025,Darcy Kuemper,LAK,G,5on4,3,1030.0,0.13,0.0,3.0,0.07,0.0,0.5,1.0,2.27,1.0,0.6,0.0,0.66,0.0,1.59,2.0,0.13,3.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8480947,2025,Kevin Lankinen,VAN,G,other,2,274.0,0.31,0.0,7.0,0.24,0.0,0.97,1.0,4.59,5.0,0.17,0.0,2.13,2.0,2.21,3.0,0.31,4.0,2.0,0.0,0.1,0.21,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8480947,2025,Kevin Lankinen,VAN,G,all,2,7419.0,6.49,6.0,121.0,4.58,8.0,17.5,12.0,70.84,68.0,2.54,0.0,36.15,34.0,27.03,34.0,6.15,65.0,24.0,5.0,1.49,3.39,1.6,0.0,4.0,2.0,27.0,0.0,0.0
8480947,2025,Kevin Lankinen,VAN,G,5on5,2,6139.0,5.2,4.0,106.0,4.06,8.0,15.73,10.0,61.57,57.0,1.52,0.0,31.72,31.0,23.3,29.0,4.87,57.0,21.0,4.0,1.35,3.0,0.85,0.0,3.0,1.0,24.0,0.0,0.0
8480947,2025,Kevin Lankinen,VAN,G,4on5,2,407.0,0.97,2.0,7.0,0.25,0.0,0.65,0.0,3.92,5.0,0.16,0.0,2.06,1.0,0.97,2.0,0.96,3.0,1.0,1.0,0.03,0.18,0.75,0.0,1.0,1.0,2.0,0.0,0.0
8480947,2025,Kevin Lankinen,VAN,G,5on4,2,599.0,0.01,0.0,1.0,0.03,0.0,0.16,1.0,0.76,1.0,0.69,0.0,0.24,0.0,0.55,0.0,0.01,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
