playerId,season,name,team,position,situation,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties
8477424,2025,Juuse Saros,NSH,G,5on5,42,118601.0,81.28,93.0,1771.0,63.89,90.0,244.2,204.0,977.81,917.0,33.76,2.0,521.0,458.0,385.03,482.0,78.41,1027.0,221.0,80.0,30.56,27.89,22.81,45.0,34.0,14.0,443.0,2.0,1.0
8477424,2025,Juuse Saros,NSH,G,4on5,42,11356.0,21.15,18.0,244.0,14.87,17.0,30.37,23.0,150.48,143.0,0.97,0.0,83.26,71.0,42.57,68.0,19.16,119.0,55.0,23.0,2.69,7.14,11.32,0.0,8.0,10.0,47.0,0.0,0.0
8477424,2025,Juuse Saros,NSH,G,5on4,42,11508.0,3.17,0.0,53.0,1.66,3.0,5.37,1.0,37.55,39.0,5.22,0.0,10.92,10.0,26.77,35.0,3.15,37.0,8.0,4.0,1.24,0.86,1.07,0.0,0.0,0.0,4.0,0.0,0.0
8478872,2025,Karel Vejmelka,UTA,G,other,41,4147.0,8.1,8.0,128.0,6.03,9.0,15.64,16.0,69.31,66.0,0.84,0.0,41.76,39.0,20.67,23.0,7.45,56.0,32.0,7.0,1.88,3.92,2.31,1.0,4.0,3.0,33.0,0.0,0.0
8478872,2025,Karel Vejmelka,UTA,G,all,41,144482.0,113.85,105.0,2256.0,83.46,141.0,289.99,246.0,1195.47,1045.0,43.49,3.0,630.32,571.0,456.66,551.0,108.34,1168.0,344.0,103.0,35.7,42.76,35.4,37.0,39.0,29.0,641.0,2.0,1.0
8478872,2025,Karel Vejmelka,UTA,G,5on5,41,117540.0,78.06,75.0,1726.0,57.25,97.0,227.14,190.0,899.83,782.0,35.11,2.0,466.63,418.0,355.74,434.0,74.64,895.0,253.0,67.0,27.73,31.57,18.76,30.0,31.0,14.0,511.0,2.0,1.0
8478872,2025,Karel Vejmelka,UTA,G,4on5,41,11795.0,25.89,22.0,361.0,19.07,33.0,43.13,38.0,200.44,176.0,0.89,0.0,113.58,107.0,62.43,71.0,24.47,191.0,51.0,29.0,5.19,6.37,14.33,6.0,4.0,12.0,90.0,0.0,0.0
8478872,2025,Karel Vejmelka,UTA,G,5on4,41,11000.0,1.74,0.0,40.0,1.06,2.0,3.97,2.0,25.2,20.0,6.58,1.0,7.97,7.0,17.47,22.0,1.72,25.0,8.0,0.0,0.84,0.9,0.0,0.0,0.0,0.0,7.0,0.0,0.0
8479979,2025,Jake Oettinger,DAL,G,other,35,2977.0,5.45,5.0,96.0,3.48,4.0,9.16,7.0,47.55,44.0,1.74,1.0,28.33,28.0,16.02,20.0,5.14,47.0,12.0,5.0,1.93,1.36,2.16,2.0,2.0,1.0,32.0,0.0,0.0
8479979,2025,Jake Oettinger,DAL,G,all,35,124385.0,94.54,93.0,1976.0,70.27,122.0,252.74,162.0,1027.81,926.0,30.73,4.0,549.86,499.0,394.27,519.0,89.32,1048.0,248.0,101.0,32.34,30.11,32.09,38.0,31.0,24.0,579.0,0.0,0.0
