lineId,season,name,team,position,situation,games_played,icetime,iceTimeRank,xGoalsPercentage,corsiPercentage,fenwickPercentage,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
84820948483766,2025,Hunt-Spacek,MIN,pairing,5on5,2,884.0,6.0,0.25,0.17,0.24,4.58,0.27,0.27,1.35,0.36,2.24,1.5,0.27,0.25,0.25,5.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,5.0,1.0,2.0,9.0,6.0,1.0,4.0,5.0,1.0,0.0,0.14,0.14,0.0,0.0,1.0,0.0,5.4,6.0,5.51,3.0,0.06,0.0,0.0,0.33,0.3,0.3,13.21,0.8,0.76,4.11,0.48,7.73,5.11,0.77,0.8,0.77,12.0,7.0,11.0,30.0,2.0,1.0,1.0,4.0,0.0,11.0,1.0,10.0,17.0,1.0,2.0,12.0,11.0,1.0,7.0,17.0,1.0,1.0,0.43,0.09,0.28,1.0,0.0,1.0,30.57,19.0,19.37,2.0,0.16,0.28,0.28,0.68,0.7,0.69
847410284802088481528,2025,Perron-Cozens-Batherson,OTT,line,5on5,21,8347.0,80.0,0.65,0.54,0.54,79.04,6.88,5.67,19.43,2.54,42.96,29.52,6.61,6.91,6.64,60.0,47.0,39.0,146.0,5.0,11.0,0.0,15.0,1.0,40.0,35.0,55.0,102.0,0.0,0.0,76.0,71.0,12.0,31.0,80.0,22.0,5.0,2.67,2.89,1.33,3.0,2.0,0.0,145.77,107.0,107.56,12.0,1.19,1.88,1.88,6.19,6.24,6.07,65.05,3.71,3.84,16.75,2.24,37.17,28.29,3.56,3.69,3.53,61.0,31.0,32.0,124.0,7.0,5.0,0.0,18.0,0.0,27.0,35.0,54.0,85.0,8.0,16.0,67.0,58.0,10.0,26.0,79.0,12.0,1.0,2.19,1.28,0.24,5.0,2.0,0.0,123.93,92.0,91.68,17.0,0.78,0.55,0.55,3.93,3.9,3.76
847747684774928477501,2025,Lehkonen-Mackinnon-Nichushkin,COL,line,5on5,24,2835.0,269.0,0.59,0.52,0.48,29.92,3.14,2.22,7.09,0.98,15.45,11.11,2.96,3.18,3.0,28.0,12.0,17.0,57.0,7.0,5.0,2.0,5.0,0.0,10.0,13.0,21.0,33.0,0.0,0.0,18.0,9.0,5.0,14.0,25.0,13.0,2.0,0.94,1.7,0.5,2.0,3.0,2.0,58.18,40.0,40.61,3.0,0.46,0.98,0.98,2.63,2.67,2.63,31.21,2.19,1.81,8.8,1.05,16.88,12.26,2.03,2.23,2.06,29.0,14.0,10.0,53.0,1.0,4.0,0.0,9.0,0.0,11.0,18.0,28.0,42.0,0.0,0.0,18.0,9.0,3.0,16.0,37.0,3.0,3.0,0.92,0.44,0.84,0.0,0.0,1.0,52.52,43.0,42.96,9.0,0.38,0.5,0.84,1.73,1.75,1.7
84795768484806,2025,Dickinson-Desharnais,SJS,pairing,5on5,22,11573.0,73.0,0.55,0.47,0.48,82.64,7.88,5.73,20.71,2.89,44.52,32.27,7.51,7.93,7.58,83.0,31.0,53.0,167.0,8.0,10.0,1.0,21.0,0.0,34.0,41.0,75.0,106.0,16.0,32.0,82.0,112.0,10.0,51.0,83.0,22.0,9.0,2.43,2.81,2.65,3.0,5.0,0.0,172.07,114.0,116.29,25.0,1.19,2.61,2.61,6.47,6.63,6.5,91.04,6.42,6.03,23.39,2.99,49.7,35.46,6.06,6.34,5.99,87.0,37.0,61.0,185.0,9.0,9.0,1.0,16.0,0.0,49.0,41.0,78.0,115.0,11.0,22.0,89.0,94.0,13.0,53.0,99.0,20.0,5.0,2.56,2.25,1.6,3.0,4.0,2.0,182.16,124.0,121.84,28.0,1.25,1.61,1.61,6.06,5.97,5.89
847351284780208482092,2025,Greig-Giroux-Amadio,OTT,line,5on5,16,6889.0,76.0,0.55,0.54,0.54,55.78,4.38,3.7,13.18,1.73,27.86,22.15,4.06,4.36,4.07,45.0,28.0,33.0,106.0,5.0,8.0,1.0,10.0,0.0,28.0,22.0,40.0,68.0,7.0,17.0,88.0,34.0,4.0,23.0,57.0,12.0,4.0,1.48,1.61,1.29,1.0,2.0,2.0,105.84,73.0,72.93,13.0,0.78,1.41,1.41,3.75,3.8,3.72,43.17,3.59,3.26,10.88,1.5,24.35,17.42,3.23,3.6,3.24,43.0,18.0,30.0,91.0,2.0,8.0,1.0,11.0,0.0,23.0,17.0,41.0,59.0,3.0,9.0,61.0,55.0,9.0,35.0,48.0,10.0,3.0,1.51,1.3,0.78,1.0,0.0,1.0,91.65,61.0,61.33,19.0,0.68,1.04,1.04,3.23,3.21,3.06
847518484757988484153,2025,Kreider-Carlsson-Granlund,ANA,line,5on5,7,799.0,51.0,0.5,0.59,0.54,9.52,0.82,0.59,2.93,0.38,4.82,3.46,0.8,0.76,0.74,10.0,3.0,3.0,16.0,0.0,2.0,0.0,3.0,0.0,5.0,3.0,10.0,13.0,0.0,0.0,10.0,1.0,2.0,8.0,8.0,5.0,0.0,0.25,0.57,0.0,0.0,0.0,0.0,15.08,13.0,12.13,1.0,0.13,0.21,0.21,0.74,0.69,0.69,7.93,0.83,0.61,1.64,0.25,4.52,3.14,0.82,0.86,0.85,8.0,3.0,0.0,11.0,3.0,1.0,0.0,1.0,0.0,1.0,5.0,5.0,8.0,1.0,2.0,6.0,4.0,1.0,1.0,6.0,5.0,0.0,0.31,0.53,0.0,2.0,1.0,0.0,11.29,11.0,11.3,1.0,0.13,0.03,0.03,0.93,0.96,0.95
847794984808028482659,2025,Doan-Mcleod-Tuch,BUF,line,5on5,18,6459.0,91.0,0.64,0.59,0.61,82.23,7.36,5.45,21.34,2.73,44.66,31.46,6.9,7.21,6.76,70.0,43.0,30.0,143.0,10.0,13.0,2.0,13.0,0.0,44.0,33.0,60.0,103.0,8.0,19.0,58.0,20.0,12.0,35.0,84.0,21.0,8.0,2.35,2.65,2.36,4.0,4.0,2.0,139.49,113.0,110.68,20.0,1.14,2.45,2.45,6.05,5.92,5.74,53.57,4.07,3.16,14.01,1.93,27.93,21.92,3.9,4.15,3.98,44.0,29.0,28.0,101.0,6.0,7.0,1.0,10.0,0.0,23.0,27.0,38.0,67.0,5.0,13.0,59.0,37.0,7.0,32.0,58.0,11.0,4.0,1.67,1.33,1.07,4.0,1.0,1.0,102.58,73.0,74.12,17.0,0.66,1.43,1.43,3.29,3.35,3.24
84800498483510,2025,Samberg-Salomonsson,WPG,pairing,5on5,12,8144.0,35.0,0.5,0.51,0.51,60.04,4.67,4.08,15.54,2.0,33.31,24.4,3.96,4.53,3.87,49.0,35.0,28.0,112.0,3.0,7.0,0.0,16.0,0.0,31.0,27.0,46.0,81.0,4.0,8.0,73.0,51.0,6.0,42.0,64.0,17.0,3.0,1.53,2.02,1.12,2.0,1.0,0.0,110.98,84.0,83.13,17.0,0.84,1.73,1.73,3.78,3.75,3.67,60.01,4.7,4.1,15.93,2.06,31.53,22.69,4.5,4.63,4.44,63.0,18.0,28.0,109.0,7.0,5.0,0.0,18.0,0.0,25.0,26.0,56.0,74.0,9.0,18.0,68.0,48.0,6.0,40.0,64.0,10.0,7.0,1.95,1.13,1.61,4.0,3.0,0.0,109.32,81.0,81.06,25.0,0.86,0.79,0.79,4.77,4.71,4.56
847841384793598482896,2025,Greenway-Kozak-Malenstyn,BUF,line,5on5,11,1837.0,106.0,0.21,0.29,0.33,9.69,0.5,0.5,2.56,0.33,4.82,4.29,0.5,0.48,0.48,10.0,3.0,3.0,16.0,0.0,0.0,0.0,1.0,0.0,7.0,5.0,10.0,13.0,2.0,4.0,13.0,29.0,4.0,8.0,11.0,2.0,0.0,0.3,0.2,0.0,0.0,0.0,0.0,15.62,13.0,12.65,3.0,0.1,0.0,0.0,0.61,0.58,0.58,18.95,1.94,1.36,4.43,0.68,10.09,7.51,1.88,2.0,1.94,15.0,11.0,14.0,40.0,3.0,4.0,0.0,2.0,0.0,9.0,8.0,12.0,23.0,1.0,2.0,12.0,17.0,1.0,6.0,19.0,5.0,2.0,0.56,0.69,0.69,1.0,2.0,0.0,39.92,26.0,26.24,3.0,0.28,0.52,0.52,1.7,1.71,1.66
847579884834458484153,2025,Gauthier-Carlsson-Granlund,ANA,line,5on5,4,629.0,36.0,0.38,0.46,0.53,6.68,0.3,0.41,1.79,0.25,4.23,3.02,0.29,0.28,0.27,5.0,5.0,7.0,17.0,1.0,1.0,0.0,1.0,0.0,4.0,3.0,4.0,9.0,0.0,0.0,7.0,3.0,0.0,4.0,9.0,1.0,0.0,0.2,0.1,0.0,0.0,1.0,0.0,15.47,10.0,9.14,1.0,0.09,0.07,0.07,0.32,0.29,0.29,6.6,0.49,0.46,1.71,0.21,3.37,2.75,0.48,0.52,0.51,5.0,4.0,11.0,20.0,1.0,0.0,0.0,1.0,0.0,5.0,2.0,4.0,8.0,0.0,0.0,3.0,3.0,1.0,2.0,8.0,1.0,0.0,0.35,0.15,0.0,1.0,0.0,0.0,21.28,9.0,9.35,1.0,0.1,0.0,0.0,0.59,0.62,0.6
