Player,Games,At Bats,Runs,Hits,HR,RBI,BB,K,BA,OBA,Slug%,Last Game Date
Jose Ramirez,17,68,16,26,4,11,7,7,.382,.447,.662,2025-05-24
Spencer Steer,12,42,3,15,1,3,2,9,.357,.386,.548,2025-05-24
Chase Meidroth,11,44,7,18,1,3,5,6,.409,.469,.545,2025-05-24
Kyle Stowers,11,42,4,17,3,5,2,12,.405,.457,.738,2025-05-24
Miguel Andujar,11,46,5,16,1,5,2,7,.348,.375,.500,2025-05-24
Taylor Ward,10,39,13,16,6,16,5,12,.410,.457,1.051,2025-05-24
Jackson Holliday,10,48,6,15,2,10,0,10,.312,.327,.542,2025-05-24
Ozzie Albies,10,39,5,13,0,3,3,7,.333,.395,.385,2025-05-24
Maikel Garcia,9,34,3,14,1,7,2,8,.412,.447,.588,2025-05-24
Chandler Simpson,9,34,6,13,0,5,0,3,.382,.382,.471,2025-05-24
Jake Meyers,9,33,5,12,1,2,3,4,.364,.417,.485,2025-05-24
Nolan Schanuel,8,29,9,12,1,4,7,2,.414,.541,.621,2025-05-24
Victor Robles,8,37,3,12,0,2,0,6,.324,.342,.405,2025-04-06
Vinnie Pasquantino,8,32,4,12,2,5,1,6,.375,.412,.594,2025-05-24
Xavier Edwards,8,32,3,10,0,1,4,7,.312,.389,.312,2025-05-14
Dillon Dingler,7,26,1,11,0,2,1,5,.423,.444,.500,2025-05-23
Connor Norby,7,29,3,11,1,7,2,5,.379,.419,.552,2025-05-24
Amed Rosario,7,23,3,10,0,5,1,6,.435,.500,.522,2025-05-24
Lawrence Butler,7,29,4,10,1,5,3,5,.345,.406,.655,2025-05-24
Ketel Marte,7,28,7,10,3,4,3,5,.357,.455,.750,2025-05-24
Player,Games,At Bats,Runs,Hits,HR,RBI,BB,K,BA,OBA,Slug%,Last Game Date
Tyrone Taylor,7,25,1,9,0,2,1,4,.360,.407,.440,2025-05-24
Isiah Kiner-Falefa,7,23,3,9,0,0,1,3,.391,.440,.478,2025-05-24
Ramon Urias,7,28,3,8,0,5,1,6,.286,.310,.357,2025-05-24
Abraham Toro-Hernandez,7,25,6,8,3,3,0,3,.320,.320,.760,2025-05-24
Brandon Lowe,7,23,5,7,2,3,3,3,.304,.385,.652,2025-05-24
Logan O'Hoppe,6,26,6,10,4,7,1,9,.385,.407,.885,2025-05-24
Kody Clemens,6,23,4,10,2,5,1,8,.435,.458,.913,2025-05-24
Alec Bohm,6,27,3,9,2,6,0,5,.333,.333,.630,2025-05-24
Carlos Narvaez,6,22,4,9,1,3,3,4,.409,.480,.727,2025-05-24
Corey Seager,6,27,9,9,2,6,0,3,.333,.333,.630,2025-05-10
Ryan Jeffers,6,23,4,9,1,2,4,4,.391,.500,.609,2025-05-24
Carlos Santana,6,21,6,8,2,6,5,5,.381,.500,.762,2025-05-24
Josh Jung,6,23,1,7,0,1,3,7,.304,.385,.348,2025-05-24
Curtis Mead,6,18,3,7,2,2,1,4,.389,.450,.778,2025-05-23
Will Smith,6,17,4,7,1,6,6,2,.412,.583,.647,2025-05-23
Luke Keaschall,6,19,4,7,0,2,5,2,.368,.538,.526,2025-04-25
Ryan Bliss,6,20,1,6,1,3,1,6,.300,.333,.500,2025-04-08
Seiya Suzuki,5,21,7,9,2,7,3,4,.429,.500,.857,2025-05-24
Jonny Deluca,5,18,4,9,0,1,0,3,.500,.500,.611,2025-04-06
Steven Kwan,5,23,2,9,0,1,0,2,.391,.417,.522,2025-05-24
Player,Games,At Bats,Runs,Hits,HR,RBI,BB,K,BA,OBA,Slug%,Last Game Date
Jackson Chourio,5,21,3,8,0,2,3,4,.381,.458,.429,2025-05-24
Lenyn Sosa,5,16,2,8,1,5,1,3,.500,.529,.812,2025-05-24
Joshua Palacios,5,18,2,7,2,5,1,4,.389,.421,.833,2025-05-24
Andres Gimenez,5,19,2,7,0,2,0,0,.368,.368,.421,2025-05-07
Tomas Nido,5,19,3,7,0,0,0,5,.368,.368,.368,2025-05-19
Paul Goldschmidt,5,19,6,7,0,3,4,2,.368,.478,.474,2025-05-24
Jung Hoo Lee,5,18,2,6,0,2,3,4,.333,.429,.444,2025-05-24
Max Kepler,5,15,2,6,1,3,1,4,.400,.471,.800,2025-05-24
Jose Tena,5,18,5,6,0,1,0,4,.333,.316,.444,2025-05-23
Bobby Witt Jr.,5,21,1,6,0,3,0,6,.286,.273,.381,2025-05-24
