team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
NYI,2025,NYI,NYI,Team Level,other,53,0.53,0.55,0.56,9251.0,144.86,28.86,10.24,27.25,5.05,74.9,49.7,26.79,28.86,26.79,132.0,64.0,60.0,256.0,23.0,19.0,1.0,19.0,1.0,66.0,68.0,109.0,173.0,4.0,8.0,115.0,17.0,19.0,30.0,106.0,48.0,42.0,4.22,5.94,18.71,6.0,7.0,10.0,256.0,196.0,196.0,14.0,2.87,5.31,5.31,26.43,26.43,25.35,114.48,26.01,8.6,19.89,4.06,62.15,36.3,24.31,26.01,24.31,98.0,59.0,55.0,212.0,25.0,11.0,2.0,15.0,2.0,61.0,43.0,73.0,132.0,7.0,14.0,86.0,25.0,18.0,33.0,81.0,39.0,37.0,3.03,4.9,18.07,6.0,5.0,14.0,212.0,157.0,157.0,17.0,2.48,3.83,3.83,24.66,24.66,23.28
NYI,2025,NYI,NYI,Team Level,all,53,0.48,0.49,0.5,194230.0,1648.09,160.93,115.33,400.04,57.1,888.18,632.43,152.73,160.84,152.66,1476.0,778.0,791.0,3045.0,151.0,192.0,17.0,319.0,2.0,803.0,787.0,1325.0,2103.0,165.0,348.0,1506.0,973.0,239.0,785.0,1655.0,428.0,171.0,49.49,52.68,58.76,64.0,49.0,38.0,3045.63,2254.0,2250.2,391.0,25.86,39.8,40.08,146.71,146.55,142.7,1695.83,175.92,123.25,401.6,56.86,893.27,637.11,165.87,176.38,166.32,1472.0,816.0,879.0,3167.0,143.0,210.0,12.0,274.0,6.0,842.0,813.0,1329.0,2145.0,180.0,385.0,1403.0,1010.0,241.0,820.0,1606.0,468.0,214.0,48.89,57.97,69.06,49.0,56.0,38.0,3172.54,2288.0,2294.45,363.0,27.77,42.44,42.44,161.26,161.59,156.43
NYI,2025,NYI,NYI,Team Level,5on5,53,0.47,0.48,0.49,156440.0,1230.12,101.28,79.81,316.33,42.23,662.96,485.4,97.89,101.19,97.81,1092.0,596.0,613.0,2301.0,97.0,138.0,14.0,253.0,1.0,607.0,592.0,995.0,1591.0,144.0,307.0,1115.0,940.0,194.0,678.0,1298.0,298.0,92.0,37.73,36.98,26.57,50.0,33.0,14.0,2301.63,1688.0,1684.2,351.0,16.56,26.98,27.27,90.57,90.41,89.05,1294.67,114.62,87.75,322.07,43.44,685.7,506.42,109.42,115.08,109.87,1124.0,636.0,729.0,2489.0,92.0,152.0,6.0,225.0,3.0,643.0,645.0,1032.0,1668.0,155.0,332.0,1099.0,939.0,198.0,709.0,1290.0,349.0,121.0,39.61,43.1,31.91,41.0,42.0,9.0,2494.54,1760.0,1766.45,314.0,18.3,28.69,28.78,104.14,104.47,102.11
NYI,2025,NYI,NYI,Team Level,4on5,53,0.11,0.12,0.14,13675.0,39.17,3.81,2.22,6.41,1.48,13.29,26.8,3.79,3.81,3.79,43.0,11.0,4.0,58.0,6.0,2.0,0.0,4.0,0.0,11.0,31.0,37.0,48.0,4.0,8.0,126.0,13.0,19.0,28.0,39.0,12.0,3.0,1.37,1.63,0.81,2.0,2.0,2.0,58.0,54.0,54.0,24.0,0.5,0.25,0.25,4.06,4.06,4.04,249.26,31.36,25.13,54.3,8.33,134.95,69.93,28.25,31.36,28.25,217.0,107.0,88.0,412.0,21.0,43.0,3.0,34.0,1.0,125.0,100.0,196.0,303.0,14.0,28.0,108.0,17.0,6.0,46.0,209.0,64.0,51.0,5.63,7.9,17.84,2.0,5.0,14.0,412.0,324.0,324.0,4.0,6.58,9.18,9.1,28.85,28.85,27.45
NYI,2025,NYI,NYI,Team Level,5on4,53,0.87,0.89,0.87,14864.0,233.94,26.99,23.06,50.05,8.33,137.03,70.53,24.28,26.99,24.28,209.0,107.0,114.0,430.0,25.0,33.0,2.0,43.0,0.0,119.0,96.0,184.0,291.0,13.0,25.0,150.0,3.0,7.0,49.0,212.0,70.0,34.0,6.18,8.13,12.68,6.0,7.0,12.0,430.0,316.0,316.0,2.0,5.93,7.26,7.26,25.66,25.66,24.26,37.43,3.93,1.76,5.34,1.04,10.46,24.46,3.88,3.93,3.88,33.0,14.0,7.0,54.0,5.0,4.0,1.0,0.0,0.0,13.0,25.0,28.0,42.0,4.0,11.0,110.0,29.0,19.0,32.0,26.0,16.0,5.0,0.63,2.07,1.24,0.0,4.0,1.0,54.0,47.0,47.0,28.0,0.41,0.73,0.73,3.61,3.61,3.6
NYR,2025,NYR,NYR,Team Level,other,54,0.37,0.52,0.5,6105.0,104.87,18.44,8.69,20.24,3.96,63.35,33.32,16.9,18.44,16.9,88.0,60.0,59.0,207.0,19.0,10.0,2.0,19.0,0.0,64.0,36.0,69.0,129.0,5.0,10.0,79.0,9.0,7.0,23.0,87.0,32.0,29.0,3.14,3.85,11.45,4.0,7.0,8.0,207.0,148.0,148.0,12.0,2.66,1.84,1.84,19.26,19.26,17.7,106.15,30.76,7.47,17.42,3.79,56.19,33.37,28.41,30.76,28.41,90.0,59.0,41.0,190.0,28.0,9.0,1.0,4.0,0.0,59.0,49.0,62.0,121.0,2.0,4.0,62.0,10.0,4.0,19.0,69.0,38.0,42.0,2.62,4.67,23.47,3.0,3.0,22.0,190.0,149.0,149.0,7.0,2.12,2.7,2.04,30.84,30.84,29.46
NYR,2025,NYR,NYR,Team Level,all,54,0.46,0.49,0.49,196917.0,1626.75,153.01,115.61,392.56,56.16,892.18,623.49,146.33,154.02,147.29,1394.0,839.0,916.0,3149.0,143.0,164.0,18.0,290.0,4.0,853.0,779.0,1251.0,2090.0,181.0,392.0,1617.0,1414.0,243.0,800.0,1642.0,429.0,162.0,46.46,51.25,55.31,53.0,49.0,41.0,3142.61,2233.0,2233.96,388.0,26.22,31.55,31.63,147.61,148.38,143.81,1729.95,177.3,119.38,413.88,58.39,930.65,665.41,167.44,177.78,167.85,1543.0,822.0,895.0,3260.0,170.0,192.0,27.0,261.0,3.0,839.0,900.0,1373.0,2195.0,153.0,338.0,1357.0,1070.0,249.0,826.0,1748.0,429.0,188.0,53.64,53.0,70.67,59.0,51.0,60.0,3282.15,2365.0,2378.67,418.0,26.56,41.03,41.39,162.47,162.78,157.94
NYR,2025,NYR,NYR,Team Level,5on5,54,0.48,0.49,0.48,163254.0,1245.02,100.93,82.33,316.73,43.04,676.6,493.37,97.82,101.94,98.78,1066.0,647.0,762.0,2475.0,94.0,130.0,14.0,237.0,4.0,642.0,606.0,972.0,1619.0,170.0,367.0,1261.0,1349.0,201.0,688.0,1298.0,327.0,88.0,36.94,38.84,25.15,48.0,36.0,10.0,2468.61,1713.0,1713.96,344.0,17.13,25.02,25.1,92.96,93.73,92.48,1339.97,107.75,87.04,337.51,45.2,725.61,535.89,104.0,108.23,104.42,1190.0,649.0,748.0,2587.0,105.0,138.0,15.0,213.0,3.0,652.0,728.0,1085.0,1734.0,137.0,303.0,1059.0,1030.0,225.0,721.0,1441.0,300.0,98.0,43.59,37.28,26.88,49.0,39.0,17.0,2609.15,1839.0,1852.67,376.0,18.05,26.57,26.9,98.91,99.21,97.71
NYR,2025,NYR,NYR,Team Level,4on5,54,0.09,0.11,0.12,14832.0,36.02,3.53,1.92,5.2,1.1,10.96,23.29,3.38,3.53,3.38,37.0,9.0,5.0,51.0,2.0,1.0,0.0,2.0,0.0,9.0,32.0,35.0,44.0,6.0,15.0,131.0,47.0,18.0,40.0,27.0,15.0,4.0,0.64,1.84,1.06,1.0,1.0,0.0,51.0,46.0,46.0,28.0,0.44,0.25,0.25,3.72,3.72,3.61,245.75,34.01,22.69,53.48,8.17,137.42,72.22,30.61,34.01,30.61,224.0,104.0,102.0,430.0,30.0,39.0,10.0,39.0,0.0,127.0,93.0,194.0,298.0,8.0,17.0,145.0,12.0,6.0,51.0,208.0,79.0,41.0,6.29,9.39,18.33,4.0,7.0,19.0,430.0,328.0,328.0,4.0,5.9,10.53,11.23,28.68,28.68,26.75
NYR,2025,NYR,NYR,Team Level,5on4,54,0.86,0.89,0.87,12726.0,240.85,30.11,22.65,50.39,8.05,141.27,73.51,28.24,30.11,28.24,203.0,123.0,90.0,416.0,28.0,23.0,2.0,32.0,0.0,138.0,105.0,175.0,298.0,0.0,0.0,146.0,9.0,17.0,49.0,230.0,55.0,41.0,5.74,6.73,17.65,0.0,5.0,23.0,416.0,326.0,326.0,4.0,6.0,4.43,4.43,31.68,31.68,30.02,38.08,4.78,2.18,5.46,1.24,11.43,23.92,4.41,4.78,4.41,39.0,10.0,4.0,53.0,7.0,6.0,1.0,5.0,0.0,1.0,30.0,32.0,42.0,6.0,14.0,91.0,18.0,14.0,35.0,30.0,12.0,7.0,1.13,1.66,1.99,3.0,2.0,2.0,53.0,49.0,49.0,31.0,0.49,1.23,1.23,4.05,4.05,4.02
