team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
NYI,2025,NYI,NYI,Team Level,other,21,0.52,0.52,0.54,2876.0,44.97,9.46,2.94,8.25,1.56,22.25,15.54,8.97,9.46,8.97,44.0,16.0,18.0,78.0,11.0,4.0,0.0,8.0,1.0,21.0,15.0,33.0,49.0,1.0,2.0,42.0,8.0,7.0,11.0,31.0,13.0,16.0,1.01,1.78,6.67,2.0,4.0,5.0,78.0,60.0,60.0,8.0,0.82,1.27,1.27,9.0,9.0,8.81,38.63,8.59,2.84,6.41,1.27,21.19,11.7,8.26,8.59,8.26,35.0,17.0,20.0,72.0,10.0,4.0,1.0,4.0,1.0,20.0,13.0,25.0,42.0,0.0,0.0,28.0,10.0,8.0,16.0,27.0,13.0,12.0,1.34,1.75,5.5,3.0,2.0,5.0,72.0,52.0,52.0,10.0,0.77,1.25,1.25,8.11,8.11,7.81
NYI,2025,NYI,NYI,Team Level,all,21,0.45,0.49,0.5,76585.0,655.63,66.51,46.5,157.2,22.57,350.87,251.36,63.06,67.1,63.64,597.0,298.0,311.0,1206.0,69.0,81.0,5.0,137.0,2.0,298.0,308.0,528.0,826.0,78.0,171.0,619.0,364.0,86.0,318.0,638.0,176.0,81.0,18.15,22.12,26.23,27.0,23.0,19.0,1214.06,895.0,899.98,158.0,10.5,16.68,16.93,60.08,60.57,58.94,672.21,80.07,50.4,156.25,22.16,347.21,243.91,74.99,79.97,74.91,605.0,295.0,353.0,1253.0,62.0,91.0,7.0,105.0,2.0,317.0,323.0,543.0,838.0,78.0,175.0,572.0,409.0,91.0,347.0,575.0,211.0,114.0,17.52,27.2,35.35,18.0,28.0,16.0,1252.51,900.0,898.84,156.0,11.37,20.84,20.84,70.61,70.65,68.42
NYI,2025,NYI,NYI,Team Level,5on5,21,0.46,0.48,0.49,60231.0,466.08,42.85,29.86,118.72,15.9,248.48,183.18,41.54,43.45,42.13,415.0,224.0,242.0,881.0,44.0,59.0,4.0,99.0,1.0,205.0,231.0,371.0,595.0,70.0,154.0,434.0,348.0,67.0,266.0,467.0,124.0,48.0,13.63,15.47,13.75,21.0,16.0,7.0,889.06,639.0,643.98,133.0,6.2,11.91,12.15,36.89,37.38,36.91,490.84,51.0,33.93,119.63,16.11,256.86,187.47,48.81,50.9,48.73,442.0,223.0,288.0,953.0,40.0,56.0,2.0,83.0,1.0,238.0,247.0,402.0,625.0,69.0,154.0,451.0,374.0,75.0,290.0,442.0,159.0,64.0,13.21,20.77,17.02,13.0,23.0,4.0,952.51,665.0,663.84,127.0,7.08,12.12,12.21,45.87,45.91,44.91
NYI,2025,NYI,NYI,Team Level,4on5,21,0.11,0.14,0.17,6552.0,22.8,2.11,1.25,4.17,0.9,8.03,15.55,2.1,2.11,2.1,25.0,7.0,2.0,34.0,4.0,1.0,0.0,3.0,0.0,7.0,17.0,21.0,28.0,1.0,2.0,65.0,7.0,10.0,18.0,23.0,8.0,1.0,0.71,1.2,0.2,2.0,1.0,1.0,34.0,32.0,32.0,13.0,0.28,0.01,0.01,2.39,2.39,2.37,124.22,17.94,12.68,27.42,4.26,64.15,33.54,15.43,17.94,15.43,111.0,49.0,41.0,201.0,10.0,28.0,3.0,18.0,0.0,51.0,53.0,101.0,150.0,7.0,14.0,41.0,10.0,2.0,24.0,96.0,31.0,33.0,2.76,3.7,11.48,2.0,2.0,6.0,201.0,160.0,160.0,4.0,3.3,6.73,6.64,14.6,14.6,13.68
NYI,2025,NYI,NYI,Team Level,5on4,21,0.83,0.89,0.88,6926.0,121.79,12.08,12.46,26.06,4.21,72.11,37.09,10.45,12.08,10.45,113.0,51.0,49.0,213.0,10.0,17.0,1.0,27.0,0.0,65.0,45.0,103.0,154.0,6.0,13.0,78.0,1.0,2.0,23.0,117.0,31.0,16.0,2.8,3.67,5.61,2.0,2.0,6.0,213.0,164.0,164.0,4.0,3.21,3.49,3.49,11.79,11.79,10.84,18.51,2.53,0.95,2.79,0.51,5.01,11.2,2.49,2.53,2.49,17.0,6.0,4.0,27.0,2.0,3.0,1.0,0.0,0.0,8.0,10.0,15.0,21.0,2.0,7.0,52.0,15.0,6.0,17.0,10.0,8.0,5.0,0.21,0.98,1.35,0.0,1.0,1.0,27.0,23.0,23.0,15.0,0.23,0.73,0.73,2.03,2.03,2.02
NYR,2025,NYR,NYR,Team Level,other,22,0.31,0.44,0.43,2185.0,27.75,5.04,2.01,4.78,0.99,17.86,10.33,4.73,5.04,4.73,23.0,18.0,21.0,62.0,6.0,0.0,0.0,6.0,0.0,16.0,13.0,17.0,35.0,1.0,2.0,27.0,1.0,4.0,7.0,24.0,9.0,8.0,0.97,1.14,2.93,0.0,2.0,4.0,62.0,41.0,41.0,5.0,0.56,0.0,0.0,5.6,5.6,5.25,38.38,11.26,2.78,6.09,1.44,21.16,12.26,11.07,11.26,11.07,35.0,20.0,23.0,78.0,10.0,5.0,0.0,1.0,0.0,23.0,16.0,25.0,45.0,1.0,2.0,23.0,2.0,2.0,5.0,24.0,17.0,14.0,0.83,2.14,8.29,0.0,2.0,8.0,78.0,55.0,55.0,2.0,0.78,1.04,0.38,11.66,11.66,11.45
NYR,2025,NYR,NYR,Team Level,all,22,0.48,0.5,0.5,79987.0,678.42,67.68,47.37,162.11,22.81,374.38,263.65,65.12,68.44,65.85,588.0,350.0,389.0,1327.0,55.0,60.0,6.0,123.0,1.0,366.0,333.0,533.0,883.0,73.0,159.0,640.0,548.0,111.0,306.0,665.0,199.0,74.0,18.2,24.67,24.82,18.0,19.0,18.0,1331.83,938.0,941.83,143.0,10.55,13.27,13.3,64.94,65.63,63.84,690.73,72.98,46.85,165.46,22.98,374.13,264.59,68.99,73.1,69.08,623.0,324.0,363.0,1310.0,58.0,67.0,9.0,128.0,3.0,317.0,374.0,565.0,889.0,60.0,135.0,564.0,426.0,87.0,359.0,691.0,181.0,75.0,20.15,22.53,30.3,19.0,16.0,23.0,1312.35,947.0,949.31,182.0,10.49,15.55,15.55,67.92,67.93,65.73
NYR,2025,NYR,NYR,Team Level,5on5,22,0.54,0.51,0.5,66142.0,526.54,48.31,34.52,132.32,17.81,287.13,208.9,46.89,49.07,47.62,451.0,278.0,319.0,1048.0,36.0,52.0,5.0,103.0,1.0,281.0,256.0,415.0,693.0,69.0,151.0,503.0,514.0,92.0,262.0,522.0,159.0,48.0,14.57,19.78,13.97,17.0,14.0,5.0,1052.83,729.0,732.83,120.0,7.18,11.29,11.33,44.17,44.85,44.16,522.41,41.56,32.95,132.78,17.41,285.01,210.3,40.18,41.68,40.26,464.0,256.0,292.0,1012.0,32.0,41.0,3.0,107.0,3.0,232.0,305.0,432.0,688.0,56.0,127.0,435.0,412.0,81.0,313.0,564.0,119.0,37.0,16.19,14.98,10.38,16.0,11.0,5.0,1014.35,720.0,722.31,166.0,6.81,8.21,8.53,39.83,39.85,39.19
NYR,2025,NYR,NYR,Team Level,4on5,22,0.08,0.1,0.12,6219.0,17.38,1.6,0.84,2.59,0.48,5.22,11.28,1.53,1.6,1.53,19.0,3.0,0.0,22.0,2.0,0.0,0.0,1.0,0.0,2.0,17.0,17.0,20.0,3.0,6.0,51.0,28.0,7.0,15.0,15.0,5.0,2.0,0.35,0.71,0.54,1.0,1.0,0.0,22.0,22.0,22.0,12.0,0.19,0.0,0.0,1.79,1.79,1.71,116.9,18.77,10.42,24.83,3.71,64.2,33.06,16.36,18.77,16.36,110.0,45.0,46.0,201.0,14.0,20.0,6.0,19.0,0.0,61.0,41.0,96.0,141.0,1.0,2.0,65.0,5.0,2.0,24.0,93.0,38.0,24.0,2.63,4.51,11.63,2.0,2.0,10.0,201.0,155.0,155.0,3.0,2.74,6.22,6.56,14.95,14.95,13.62
NYR,2025,NYR,NYR,Team Level,5on4,22,0.9,0.91,0.9,5441.0,106.75,12.73,10.01,22.42,3.52,64.17,33.14,11.97,12.73,11.97,95.0,51.0,49.0,195.0,11.0,8.0,1.0,13.0,0.0,67.0,47.0,84.0,135.0,0.0,0.0,59.0,5.0,8.0,22.0,104.0,26.0,16.0,2.32,3.03,7.38,0.0,2.0,9.0,195.0,146.0,146.0,6.0,2.63,1.97,1.97,13.38,13.38,12.72,13.04,1.4,0.7,1.76,0.42,3.75,8.97,1.38,1.4,1.38,14.0,3.0,2.0,19.0,2.0,1.0,0.0,1.0,0.0,1.0,12.0,12.0,15.0,2.0,4.0,41.0,7.0,2.0,17.0,10.0,7.0,0.0,0.5,0.9,0.0,1.0,1.0,0.0,19.0,17.0,17.0,11.0,0.15,0.08,0.08,1.47,1.47,1.47
