team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
NYI,2025,NYI,NYI,Team Level,other,42,0.51,0.52,0.53,6700.0,107.66,22.52,7.41,20.04,3.74,54.09,37.22,21.47,22.52,21.47,100.0,45.0,49.0,194.0,20.0,14.0,1.0,16.0,1.0,47.0,47.0,80.0,125.0,3.0,6.0,93.0,14.0,16.0,26.0,74.0,38.0,33.0,2.97,4.88,14.67,3.0,7.0,10.0,194.0,145.0,145.0,12.0,2.01,3.63,3.63,20.9,20.9,20.44,96.87,21.59,7.32,16.93,3.4,52.06,29.69,20.33,21.59,20.33,85.0,46.0,49.0,180.0,20.0,11.0,2.0,13.0,1.0,51.0,35.0,65.0,111.0,5.0,10.0,70.0,18.0,13.0,29.0,67.0,32.0,32.0,2.63,4.13,14.83,4.0,4.0,12.0,180.0,131.0,131.0,16.0,2.15,3.83,3.83,19.91,19.91,18.99
NYI,2025,NYI,NYI,Team Level,all,42,0.48,0.49,0.5,154236.0,1312.02,128.02,91.78,317.06,45.28,710.66,504.2,121.87,127.53,121.41,1175.0,622.0,651.0,2448.0,116.0,156.0,15.0,270.0,2.0,622.0,631.0,1059.0,1681.0,132.0,282.0,1191.0,783.0,191.0,636.0,1315.0,351.0,131.0,39.56,43.13,45.33,47.0,40.0,29.0,2440.55,1797.0,1789.71,309.0,20.51,32.63,32.88,115.66,115.1,112.32,1349.62,140.93,98.12,322.39,45.25,706.48,502.84,132.82,141.87,133.74,1175.0,641.0,713.0,2529.0,116.0,172.0,10.0,212.0,4.0,660.0,652.0,1059.0,1700.0,144.0,315.0,1138.0,809.0,182.0,647.0,1276.0,362.0,178.0,38.55,45.41,56.97,39.0,45.0,32.0,2543.92,1816.0,1826.41,293.0,22.25,35.62,35.62,127.56,128.37,124.57
NYI,2025,NYI,NYI,Team Level,5on5,42,0.47,0.48,0.49,124103.0,973.46,80.2,62.7,248.32,33.2,527.08,386.49,77.74,79.71,77.28,864.0,474.0,504.0,1842.0,73.0,112.0,12.0,211.0,1.0,467.0,474.0,791.0,1265.0,116.0,251.0,867.0,757.0,153.0,546.0,1027.0,242.0,69.0,29.75,29.85,20.61,36.0,27.0,10.0,1834.55,1338.0,1330.71,275.0,13.0,21.91,22.15,71.04,70.48,69.51,1019.98,90.92,68.76,256.47,34.2,537.79,396.84,86.89,91.87,87.81,890.0,495.0,584.0,1969.0,73.0,121.0,4.0,173.0,3.0,501.0,514.0,817.0,1312.0,125.0,274.0,899.0,751.0,149.0,561.0,1017.0,269.0,99.0,31.13,33.56,26.23,33.0,33.0,7.0,1983.92,1385.0,1395.41,250.0,14.35,23.52,23.61,81.66,82.47,80.74
NYI,2025,NYI,NYI,Team Level,4on5,42,0.09,0.11,0.13,10920.0,28.28,2.41,1.63,4.92,1.09,10.18,19.77,2.39,2.41,2.39,31.0,9.0,2.0,42.0,4.0,1.0,0.0,3.0,0.0,9.0,23.0,27.0,36.0,2.0,4.0,96.0,10.0,16.0,22.0,30.0,9.0,1.0,1.03,1.17,0.2,2.0,1.0,1.0,42.0,40.0,40.0,17.0,0.37,0.01,0.01,2.77,2.77,2.74,200.84,24.8,20.45,44.24,6.76,107.69,56.05,22.03,24.8,22.03,173.0,87.0,74.0,334.0,19.0,36.0,3.0,26.0,0.0,97.0,82.0,154.0,241.0,11.0,22.0,80.0,15.0,4.0,32.0,171.0,47.0,42.0,4.29,5.85,14.67,2.0,5.0,12.0,334.0,260.0,260.0,5.0,5.39,7.54,7.45,22.73,22.73,21.59
NYI,2025,NYI,NYI,Team Level,5on4,42,0.86,0.89,0.87,12513.0,202.63,22.9,20.05,43.78,7.25,119.31,60.72,20.27,22.9,20.27,180.0,94.0,96.0,370.0,19.0,29.0,2.0,40.0,0.0,99.0,87.0,161.0,255.0,11.0,21.0,135.0,2.0,6.0,42.0,184.0,62.0,28.0,5.82,7.24,9.85,6.0,5.0,8.0,370.0,274.0,274.0,5.0,5.14,7.09,7.09,20.95,20.95,19.64,31.94,3.62,1.59,4.74,0.89,8.92,20.25,3.57,3.62,3.57,27.0,13.0,6.0,46.0,4.0,4.0,1.0,0.0,0.0,11.0,21.0,23.0,36.0,3.0,9.0,89.0,25.0,16.0,25.0,21.0,14.0,5.0,0.49,1.89,1.24,0.0,3.0,1.0,46.0,40.0,40.0,22.0,0.37,0.73,0.73,3.25,3.25,3.24
NYR,2025,NYR,NYR,Team Level,other,44,0.37,0.47,0.46,4611.0,72.61,14.64,5.23,13.07,2.68,44.77,25.61,13.48,14.64,13.48,63.0,43.0,41.0,147.0,17.0,5.0,2.0,13.0,0.0,43.0,28.0,46.0,89.0,4.0,8.0,60.0,6.0,5.0,17.0,60.0,23.0,23.0,2.25,2.78,9.62,2.0,7.0,8.0,147.0,106.0,106.0,11.0,1.43,1.4,1.4,14.68,14.68,13.57,89.29,24.83,6.47,14.66,3.23,48.08,27.73,22.85,24.83,22.85,75.0,50.0,38.0,163.0,23.0,9.0,1.0,3.0,0.0,52.0,38.0,52.0,102.0,2.0,4.0,54.0,9.0,3.0,15.0,60.0,32.0,33.0,2.24,4.02,18.57,3.0,3.0,17.0,163.0,125.0,125.0,4.0,1.84,2.7,2.04,24.63,24.63,23.64
NYR,2025,NYR,NYR,Team Level,all,44,0.46,0.49,0.49,160684.0,1324.86,123.33,93.1,318.74,45.26,727.08,512.48,118.3,124.48,119.39,1131.0,689.0,753.0,2573.0,114.0,124.0,17.0,237.0,2.0,679.0,664.0,1017.0,1706.0,147.0,318.0,1298.0,1135.0,195.0,639.0,1335.0,355.0,130.0,37.16,42.03,44.16,37.0,43.0,34.0,2579.41,1820.0,1826.18,319.0,20.74,25.56,25.64,118.44,119.34,116.13,1407.36,142.14,96.16,336.96,47.35,758.93,542.46,134.17,142.32,134.3,1254.0,670.0,753.0,2677.0,120.0,155.0,19.0,228.0,3.0,681.0,737.0,1134.0,1804.0,123.0,272.0,1117.0,867.0,197.0,672.0,1439.0,334.0,151.0,43.95,41.39,56.8,39.0,37.0,44.0,2681.0,1924.0,1928.45,338.0,21.39,32.7,33.06,130.48,130.47,126.79
NYR,2025,NYR,NYR,Team Level,5on5,44,0.49,0.49,0.49,133177.0,1022.71,82.97,67.39,259.65,34.98,555.11,404.91,80.45,84.12,81.54,867.0,538.0,625.0,2030.0,73.0,101.0,13.0,197.0,2.0,513.0,519.0,794.0,1332.0,139.0,302.0,1016.0,1078.0,161.0,552.0,1060.0,271.0,74.0,29.86,31.81,21.3,34.0,31.0,8.0,2036.41,1405.0,1411.18,277.0,14.02,19.93,20.01,76.97,77.88,76.82,1087.17,86.39,69.9,274.76,36.52,587.96,435.47,83.43,86.56,83.55,964.0,527.0,620.0,2111.0,69.0,114.0,10.0,186.0,3.0,522.0,597.0,895.0,1422.0,113.0,252.0,856.0,835.0,180.0,585.0,1180.0,229.0,82.0,35.35,28.53,22.5,31.0,28.0,10.0,2115.0,1491.0,1495.45,307.0,14.49,21.85,22.17,78.7,78.69,77.57
NYR,2025,NYR,NYR,Team Level,4on5,44,0.11,0.11,0.13,12261.0,32.72,3.24,1.74,4.6,0.97,9.66,20.79,3.09,3.24,3.09,32.0,9.0,3.0,44.0,2.0,1.0,0.0,2.0,0.0,6.0,30.0,30.0,39.0,4.0,8.0,102.0,44.0,15.0,32.0,24.0,13.0,4.0,0.53,1.66,1.06,1.0,1.0,0.0,44.0,41.0,41.0,23.0,0.4,0.25,0.25,3.38,3.38,3.28,198.6,27.04,17.92,42.91,6.53,112.95,58.65,24.36,27.04,24.36,181.0,85.0,92.0,358.0,23.0,27.0,7.0,34.0,0.0,106.0,76.0,158.0,243.0,5.0,8.0,129.0,8.0,4.0,44.0,172.0,63.0,31.0,5.31,7.51,14.21,3.0,5.0,15.0,358.0,266.0,266.0,6.0,4.64,7.16,7.86,23.82,23.82,22.28
NYR,2025,NYR,NYR,Team Level,5on4,44,0.85,0.89,0.86,10635.0,196.82,22.48,18.75,41.41,6.64,117.55,61.18,21.28,22.48,21.28,169.0,99.0,84.0,352.0,22.0,17.0,2.0,25.0,0.0,117.0,87.0,147.0,246.0,0.0,0.0,120.0,7.0,14.0,38.0,191.0,48.0,29.0,4.52,5.79,12.18,0.0,4.0,18.0,352.0,268.0,268.0,8.0,4.91,3.98,3.98,23.4,23.4,22.46,32.3,3.9,1.87,4.62,1.08,9.93,20.61,3.53,3.9,3.53,34.0,8.0,3.0,45.0,5.0,5.0,1.0,5.0,0.0,1.0,26.0,29.0,37.0,3.0,8.0,78.0,15.0,10.0,28.0,27.0,10.0,5.0,1.05,1.33,1.52,2.0,1.0,2.0,45.0,42.0,42.0,21.0,0.42,0.99,0.99,3.33,3.33,3.3
PIT,2025,PIT,PIT,Team Level,other,41,0.48,0.48,0.45,4441.0,69.92,16.7,4.79,11.76,2.27,35.09,25.38,15.58,16.7,15.58,72.0,24.0,39.0,135.0,20.0,6.0,1.0,4.0,0.0,38.0,28.0,52.0,76.0,4.0,8.0,53.0,15.0,8.0,18.0,49.0,25.0,22.0,2.1,3.25,11.35,3.0,5.0,12.0,135.0,96.0,96.0,8.0,1.33,1.92,1.92,16.11,16.11,15.73,84.56,17.92,5.81,14.04,2.8,46.32,29.1,16.28,17.92,16.28,74.0,42.0,31.0,147.0,18.0,7.0,1.0,10.0,1.0,44.0,36.0,56.0,98.0,3.0,6.0,40.0,6.0,7.0,15.0,61.0,33.0,22.0,2.57,4.22,11.13,5.0,5.0,8.0,147.0,116.0,116.0,5.0,1.72,2.27,2.27,17.37,17.37,16.28
PIT,2025,PIT,PIT,Team Level,all,41,0.51,0.5,0.5,150172.0,1310.37,132.41,94.5,310.75,44.51,702.01,511.82,125.25,133.39,126.21,1186.0,610.0,658.0,2454.0,134.0,153.0,15.0,224.0,6.0,625.0,654.0,1052.0,1662.0,126.0,266.0,1107.0,708.0,197.0,661.0,1316.0,334.0,146.0,40.74,41.35,50.32,54.0,34.0,46.0,2472.61,1796.0,1812.07,289.0,20.99,30.47,30.82,122.58,123.53,119.87,1290.88,126.83,91.47,303.67,43.43,700.09,500.51,118.98,126.76,118.92,1138.0,628.0,687.0,2453.0,126.0,130.0,10.0,247.0,3.0,631.0,629.0,1012.0,1640.0,121.0,259.0,1091.0,875.0,185.0,677.0,1289.0,342.0,135.0,38.77,41.9,46.17,55.0,45.0,26.0,2442.59,1766.0,1760.78,311.0,20.51,27.09,27.14,120.19,120.33,115.95
