team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
PIT,2025,PIT,PIT,Team Level,other,75,0.51,0.51,0.5,9390.0,160.77,36.8,11.72,27.29,5.42,81.85,54.91,33.67,36.8,33.67,161.0,57.0,71.0,289.0,35.0,14.0,1.0,23.0,0.0,82.0,64.0,126.0,183.0,6.0,12.0,106.0,33.0,20.0,42.0,109.0,60.0,49.0,4.55,7.64,24.61,6.0,8.0,21.0,289.0,218.0,218.0,14.0,3.35,4.96,4.96,35.2,35.2,33.22,158.67,35.28,11.64,27.31,5.53,85.22,53.02,32.34,35.28,32.34,138.0,80.0,61.0,279.0,32.0,14.0,2.0,20.0,1.0,83.0,68.0,106.0,186.0,9.0,18.0,115.0,23.0,13.0,31.0,109.0,61.0,48.0,4.34,8.04,22.9,7.0,8.0,17.0,279.0,218.0,218.0,12.0,3.38,4.68,4.68,33.97,33.97,32.04
PIT,2025,PIT,PIT,Team Level,all,75,0.52,0.5,0.51,275012.0,2440.39,252.78,179.11,570.45,82.52,1304.7,943.44,238.44,255.05,240.62,2176.0,1157.0,1171.0,4504.0,260.0,272.0,24.0,422.0,6.0,1191.0,1182.0,1916.0,3073.0,248.0,540.0,1983.0,1353.0,370.0,1225.0,2372.0,680.0,281.0,74.84,83.82,94.11,104.0,85.0,71.0,4558.54,3333.0,3371.73,550.0,40.11,57.25,57.59,235.29,237.51,228.96,2371.65,235.79,169.62,561.44,80.07,1285.64,913.44,221.9,234.94,221.16,2047.0,1199.0,1231.0,4477.0,228.0,240.0,25.0,442.0,7.0,1187.0,1142.0,1819.0,3018.0,242.0,527.0,2157.0,1609.0,337.0,1212.0,2378.0,607.0,261.0,71.74,74.45,89.62,91.0,76.0,61.0,4444.78,3246.0,3232.02,561.0,38.1,49.45,49.5,224.4,224.07,216.2
PIT,2025,PIT,PIT,Team Level,5on5,75,0.51,0.5,0.51,224551.0,1895.3,167.44,132.63,463.04,63.76,1014.7,748.44,160.34,169.71,162.52,1665.0,925.0,977.0,3567.0,177.0,197.0,16.0,343.0,6.0,936.0,931.0,1488.0,2413.0,228.0,502.0,1498.0,1226.0,311.0,1069.0,1923.0,501.0,166.0,59.79,62.53,45.13,88.0,64.0,25.0,3621.54,2590.0,2628.73,496.0,27.76,40.55,40.89,154.31,156.51,152.6,1834.26,158.26,124.52,458.06,61.97,987.52,722.69,151.21,157.41,150.47,1587.0,926.0,1006.0,3519.0,152.0,196.0,20.0,358.0,4.0,894.0,909.0,1435.0,2361.0,211.0,465.0,1683.0,1531.0,288.0,1070.0,1898.0,459.0,156.0,58.36,56.27,43.62,77.0,55.0,20.0,3486.78,2513.0,2499.02,509.0,25.99,39.0,39.05,145.2,144.88,142.11
PIT,2025,PIT,PIT,Team Level,4on5,75,0.13,0.13,0.16,21014.0,58.92,5.05,3.1,8.8,2.01,19.88,42.16,4.97,5.05,4.97,55.0,26.0,8.0,89.0,4.0,8.0,1.0,2.0,0.0,12.0,55.0,51.0,77.0,9.0,18.0,165.0,78.0,25.0,43.0,58.0,19.0,4.0,1.71,2.29,1.05,1.0,2.0,1.0,89.0,81.0,81.0,39.0,0.72,0.66,0.66,5.11,5.11,5.06,315.9,35.08,30.05,66.97,10.62,193.92,96.35,31.47,35.08,31.47,255.0,178.0,154.0,587.0,36.0,24.0,3.0,57.0,2.0,192.0,122.0,219.0,397.0,14.0,28.0,206.0,18.0,18.0,64.0,321.0,66.0,46.0,7.39,7.54,20.15,5.0,10.0,21.0,587.0,433.0,433.0,4.0,7.94,4.46,4.46,38.57,38.57,35.47
PIT,2025,PIT,PIT,Team Level,5on4,75,0.86,0.86,0.84,20057.0,325.4,43.5,31.67,71.32,11.33,188.26,97.93,39.47,43.5,39.47,295.0,149.0,115.0,559.0,44.0,53.0,6.0,54.0,0.0,161.0,132.0,251.0,400.0,5.0,8.0,214.0,16.0,14.0,71.0,282.0,100.0,62.0,8.8,11.37,23.33,9.0,11.0,24.0,559.0,444.0,444.0,1.0,8.27,11.08,11.08,40.68,40.68,38.08,62.82,7.18,3.41,9.1,1.94,18.99,41.39,6.88,7.18,6.88,67.0,15.0,10.0,92.0,8.0,6.0,0.0,7.0,0.0,18.0,43.0,59.0,74.0,8.0,16.0,153.0,37.0,18.0,47.0,50.0,21.0,11.0,1.63,2.6,2.95,2.0,3.0,3.0,92.0,82.0,82.0,36.0,0.78,1.3,1.3,6.66,6.66,6.58
LAK,2025,LAK,LAK,Team Level,other,73,0.54,0.47,0.43,9400.0,126.86,36.13,9.3,20.71,4.37,65.35,39.15,32.52,36.13,32.52,100.0,75.0,90.0,265.0,27.0,11.0,4.0,9.0,2.0,77.0,49.0,73.0,148.0,5.0,10.0,124.0,29.0,16.0,41.0,80.0,40.0,55.0,3.11,4.74,28.28,6.0,2.0,19.0,265.0,175.0,175.0,12.0,2.65,4.02,4.02,34.76,34.76,31.49,170.96,31.4,13.37,32.87,5.85,93.9,57.63,28.57,31.4,28.57,160.0,75.0,60.0,295.0,34.0,9.0,1.0,34.0,0.0,92.0,66.0,126.0,201.0,6.0,12.0,139.0,23.0,18.0,32.0,119.0,75.0,41.0,4.96,9.24,17.2,6.0,11.0,17.0,295.0,235.0,235.0,4.0,3.96,2.25,2.25,33.11,33.11,30.32
LAK,2025,LAK,LAK,Team Level,all,73,0.51,0.52,0.51,268226.0,2339.61,219.8,163.09,567.0,79.52,1262.75,920.85,207.52,219.62,207.38,2032.0,1181.0,1332.0,4545.0,191.0,257.0,19.0,442.0,7.0,1168.0,1148.0,1841.0,3022.0,243.0,534.0,2039.0,1461.0,333.0,1148.0,2429.0,556.0,228.0,69.87,67.0,82.92,77.0,62.0,52.0,4534.5,3213.0,3208.91,508.0,36.37,49.33,49.33,206.83,206.96,199.8,2218.97,215.14,154.4,532.29,75.38,1185.5,866.29,203.42,216.11,204.35,1990.0,1039.0,1146.0,4175.0,214.0,231.0,17.0,449.0,1.0,1054.0,1080.0,1776.0,2815.0,231.0,511.0,2102.0,1431.0,343.0,1066.0,2212.0,612.0,205.0,67.3,74.86,72.99,83.0,74.0,57.0,4197.8,3029.0,3045.58,444.0,35.04,44.34,44.34,205.85,206.87,199.82
LAK,2025,LAK,LAK,Team Level,5on5,73,0.52,0.52,0.52,219599.0,1858.03,144.83,122.63,470.91,62.77,999.08,746.77,139.61,144.65,139.48,1589.0,958.0,1106.0,3653.0,127.0,198.0,12.0,377.0,4.0,917.0,924.0,1462.0,2420.0,213.0,472.0,1580.0,1370.0,278.0,1003.0,1984.0,438.0,125.0,57.49,52.98,34.37,60.0,51.0,16.0,3642.5,2547.0,2542.91,460.0,25.54,36.49,36.49,133.87,134.0,131.91,1704.5,134.67,112.59,427.86,57.59,919.13,688.16,130.55,135.63,131.48,1507.0,833.0,994.0,3334.0,126.0,172.0,12.0,347.0,1.0,842.0,852.0,1381.0,2214.0,208.0,461.0,1606.0,1352.0,277.0,914.0,1809.0,428.0,103.0,53.89,52.92,27.86,68.0,46.0,12.0,3356.8,2340.0,2356.58,396.0,23.41,32.03,32.06,126.02,127.05,125.2
LAK,2025,LAK,LAK,Team Level,4on5,73,0.11,0.16,0.18,19819.0,57.01,5.56,3.24,8.61,2.0,20.25,40.35,5.42,5.56,5.42,65.0,15.0,7.0,87.0,6.0,4.0,1.0,8.0,0.0,9.0,53.0,59.0,74.0,8.0,18.0,162.0,40.0,26.0,32.0,58.0,13.0,9.0,1.6,1.65,2.31,2.0,2.0,2.0,87.0,80.0,80.0,30.0,0.74,0.81,0.81,5.5,5.5,5.42,285.75,43.52,25.58,62.57,10.11,154.11,81.1,38.86,43.52,38.86,269.0,108.0,84.0,461.0,49.0,43.0,3.0,61.0,0.0,110.0,114.0,220.0,328.0,10.0,22.0,198.0,14.0,16.0,72.0,231.0,90.0,56.0,6.72,10.4,26.41,7.0,14.0,28.0,461.0,377.0,377.0,4.0,7.01,9.37,9.34,41.2,41.2,38.83
LAK,2025,LAK,LAK,Team Level,5on4,73,0.86,0.86,0.84,19408.0,297.72,33.27,27.93,66.77,10.39,178.07,94.57,29.97,33.27,29.97,278.0,133.0,129.0,540.0,31.0,44.0,2.0,48.0,1.0,165.0,122.0,247.0,380.0,17.0,34.0,173.0,22.0,13.0,72.0,307.0,65.0,39.0,7.69,7.63,17.96,9.0,7.0,15.0,540.0,411.0,411.0,6.0,7.44,8.02,8.02,32.7,32.7,30.98,57.76,5.55,2.87,8.98,1.84,18.37,39.4,5.45,5.55,5.45,54.0,23.0,8.0,85.0,5.0,7.0,1.0,7.0,0.0,10.0,48.0,49.0,72.0,7.0,16.0,159.0,42.0,32.0,48.0,53.0,19.0,5.0,1.74,2.3,1.51,2.0,3.0,0.0,85.0,77.0,77.0,40.0,0.66,0.69,0.69,5.52,5.52,5.47
