team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
NYI,2025,NYI,NYI,Team Level,other,48,0.53,0.55,0.56,7978.0,133.14,27.24,9.25,24.91,4.63,68.05,45.91,25.21,27.24,25.21,123.0,57.0,55.0,235.0,23.0,19.0,1.0,18.0,1.0,59.0,60.0,100.0,157.0,3.0,6.0,106.0,17.0,19.0,28.0,96.0,44.0,40.0,3.86,5.53,17.85,6.0,7.0,10.0,235.0,180.0,180.0,12.0,2.57,5.31,5.31,24.5,24.5,23.48,106.05,24.37,7.86,18.28,3.67,56.21,33.6,22.7,24.37,22.7,90.0,54.0,50.0,194.0,21.0,11.0,2.0,14.0,2.0,55.0,41.0,69.0,123.0,5.0,10.0,78.0,21.0,15.0,31.0,72.0,37.0,35.0,2.75,4.68,16.94,4.0,5.0,12.0,194.0,144.0,144.0,18.0,2.29,3.83,3.83,22.83,22.83,21.48
NYI,2025,NYI,NYI,Team Level,all,48,0.47,0.49,0.49,176230.0,1493.72,146.04,104.39,361.44,51.46,807.64,574.03,138.37,145.86,138.2,1333.0,712.0,726.0,2771.0,137.0,176.0,16.0,297.0,2.0,711.0,722.0,1196.0,1908.0,150.0,318.0,1360.0,887.0,216.0,720.0,1501.0,392.0,152.0,44.92,48.43,52.69,60.0,44.0,33.0,2767.29,2045.0,2039.08,348.0,23.35,37.03,37.32,132.08,131.82,128.21,1566.95,162.73,113.79,372.4,52.44,821.46,588.19,153.35,163.2,153.82,1358.0,753.0,811.0,2922.0,129.0,198.0,11.0,246.0,6.0,766.0,766.0,1229.0,1982.0,157.0,339.0,1288.0,907.0,212.0,748.0,1482.0,429.0,200.0,44.78,53.37,64.58,44.0,52.0,33.0,2930.11,2111.0,2117.72,329.0,25.68,40.46,40.46,147.95,148.33,143.63
NYI,2025,NYI,NYI,Team Level,5on5,48,0.47,0.48,0.49,142327.0,1115.5,92.28,72.25,285.31,38.07,602.38,441.71,89.28,92.1,89.12,987.0,545.0,568.0,2100.0,89.0,127.0,13.0,235.0,1.0,537.0,543.0,898.0,1443.0,133.0,285.0,999.0,856.0,175.0,622.0,1175.0,276.0,81.0,34.02,34.36,23.9,46.0,31.0,12.0,2096.3,1532.0,1526.08,313.0,14.98,24.63,24.91,82.34,82.08,80.84,1193.94,105.86,80.81,298.42,40.05,630.87,466.0,101.09,106.33,101.57,1037.0,585.0,671.0,2293.0,83.0,141.0,5.0,202.0,3.0,586.0,607.0,954.0,1539.0,137.0,296.0,1016.0,844.0,175.0,648.0,1190.0,319.0,113.0,36.34,39.63,29.88,38.0,38.0,7.0,2301.11,1622.0,1628.72,282.0,16.85,26.99,27.08,95.63,96.01,93.88
NYI,2025,NYI,NYI,Team Level,4on5,48,0.09,0.11,0.13,12555.0,32.21,2.97,1.82,5.36,1.21,11.34,22.3,2.96,2.97,2.96,36.0,9.0,2.0,47.0,5.0,1.0,0.0,3.0,0.0,10.0,26.0,31.0,40.0,3.0,6.0,115.0,11.0,16.0,22.0,33.0,10.0,2.0,1.1,1.3,0.57,2.0,1.0,2.0,47.0,45.0,45.0,17.0,0.41,0.01,0.01,3.38,3.38,3.36,229.54,28.58,23.37,50.35,7.68,123.92,64.12,25.66,28.58,25.66,198.0,100.0,84.0,382.0,20.0,42.0,3.0,30.0,1.0,112.0,93.0,178.0,278.0,12.0,24.0,95.0,16.0,6.0,42.0,194.0,57.0,47.0,5.06,7.0,16.52,2.0,5.0,13.0,382.0,298.0,298.0,5.0,6.13,8.91,8.82,25.88,25.88,24.67
NYI,2025,NYI,NYI,Team Level,5on4,48,0.86,0.88,0.86,13370.0,212.87,23.55,21.07,45.86,7.55,125.87,64.11,20.92,23.55,20.92,187.0,101.0,101.0,389.0,20.0,29.0,2.0,41.0,0.0,105.0,93.0,167.0,268.0,11.0,21.0,140.0,3.0,6.0,48.0,197.0,62.0,29.0,5.94,7.24,10.38,6.0,5.0,9.0,389.0,288.0,288.0,6.0,5.39,7.09,7.09,21.86,21.86,20.54,37.43,3.93,1.76,5.34,1.04,10.46,24.46,3.88,3.93,3.88,33.0,14.0,6.0,53.0,5.0,4.0,1.0,0.0,0.0,13.0,25.0,28.0,42.0,3.0,9.0,99.0,26.0,16.0,27.0,26.0,16.0,5.0,0.63,2.07,1.24,0.0,4.0,1.0,53.0,47.0,47.0,24.0,0.41,0.73,0.73,3.61,3.61,3.6
NYR,2025,NYR,NYR,Team Level,other,49,0.36,0.48,0.46,5022.0,80.1,15.56,5.88,14.55,2.99,49.51,27.51,14.35,15.56,14.35,69.0,47.0,44.0,160.0,17.0,5.0,2.0,14.0,0.0,50.0,30.0,52.0,99.0,4.0,8.0,64.0,6.0,5.0,20.0,66.0,26.0,24.0,2.48,3.16,9.91,2.0,7.0,8.0,160.0,116.0,116.0,11.0,1.62,1.4,1.4,15.78,15.78,14.61,95.79,28.03,6.82,15.44,3.42,50.92,29.36,25.87,28.03,25.87,83.0,51.0,38.0,172.0,27.0,9.0,1.0,4.0,0.0,54.0,40.0,56.0,107.0,2.0,4.0,55.0,10.0,4.0,16.0,62.0,34.0,38.0,2.36,4.22,21.45,3.0,3.0,21.0,172.0,134.0,134.0,5.0,1.94,2.7,2.04,27.93,27.93,26.75
NYR,2025,NYR,NYR,Team Level,all,49,0.46,0.49,0.49,178684.0,1475.55,137.85,103.42,355.36,50.7,810.07,570.6,132.0,138.89,132.98,1264.0,764.0,837.0,2865.0,130.0,140.0,17.0,261.0,4.0,766.0,727.0,1134.0,1898.0,162.0,354.0,1462.0,1289.0,220.0,727.0,1494.0,392.0,142.0,42.04,46.81,49.0,46.0,47.0,37.0,2865.73,2028.0,2032.14,358.0,23.05,28.02,28.1,132.81,133.63,129.68,1565.94,159.16,107.36,373.73,52.5,842.84,604.41,150.52,159.61,150.9,1398.0,742.0,820.0,2960.0,150.0,171.0,23.0,243.0,3.0,752.0,821.0,1248.0,1990.0,138.0,308.0,1231.0,972.0,224.0,743.0,1599.0,375.0,166.0,48.94,46.56,63.66,53.0,44.0,53.0,2974.25,2140.0,2149.42,371.0,23.85,36.51,36.88,146.13,146.38,142.28
NYR,2025,NYR,NYR,Team Level,5on5,49,0.49,0.49,0.49,148703.0,1143.45,92.35,75.2,290.48,39.41,621.5,454.07,89.61,93.39,90.6,977.0,596.0,702.0,2275.0,86.0,114.0,13.0,217.0,4.0,581.0,571.0,891.0,1487.0,152.0,331.0,1149.0,1231.0,183.0,629.0,1193.0,301.0,79.0,33.83,35.63,22.89,43.0,34.0,9.0,2275.73,1573.0,1577.14,315.0,15.63,22.32,22.39,85.59,86.41,85.26,1217.03,97.61,78.54,306.24,40.82,657.83,487.96,94.26,98.05,94.65,1079.0,590.0,685.0,2354.0,91.0,125.0,12.0,198.0,3.0,583.0,669.0,988.0,1578.0,127.0,283.0,958.0,936.0,200.0,648.0,1314.0,266.0,89.0,39.79,33.21,24.6,44.0,34.0,13.0,2368.25,1669.0,1678.42,336.0,16.28,23.92,24.25,89.64,89.88,88.53
NYR,2025,NYR,NYR,Team Level,4on5,49,0.1,0.11,0.13,13308.0,34.16,3.41,1.8,4.8,1.01,10.13,21.86,3.26,3.41,3.26,34.0,9.0,4.0,47.0,2.0,1.0,0.0,2.0,0.0,8.0,30.0,32.0,41.0,6.0,15.0,115.0,44.0,16.0,34.0,25.0,14.0,4.0,0.6,1.75,1.06,1.0,1.0,0.0,47.0,43.0,43.0,23.0,0.41,0.25,0.25,3.57,3.57,3.46,217.63,29.21,19.98,46.94,7.1,123.28,64.49,26.42,29.21,26.42,198.0,93.0,94.0,385.0,25.0,32.0,9.0,36.0,0.0,114.0,84.0,173.0,266.0,6.0,13.0,135.0,11.0,6.0,48.0,194.0,64.0,33.0,5.68,7.66,15.86,3.0,5.0,17.0,385.0,291.0,291.0,6.0,5.18,8.9,9.6,24.79,24.79,23.24
NYR,2025,NYR,NYR,Team Level,5on4,49,0.86,0.89,0.87,11651.0,217.84,26.53,20.53,45.54,7.29,128.94,67.17,24.78,26.53,24.78,184.0,112.0,87.0,383.0,25.0,20.0,2.0,28.0,0.0,127.0,96.0,159.0,271.0,0.0,0.0,134.0,8.0,16.0,44.0,210.0,51.0,35.0,5.12,6.27,15.14,0.0,5.0,20.0,383.0,296.0,296.0,9.0,5.4,4.05,4.05,27.88,27.88,26.34,35.49,4.32,2.02,5.11,1.17,10.8,22.58,3.96,4.32,3.96,38.0,8.0,3.0,49.0,7.0,5.0,1.0,5.0,0.0,1.0,28.0,31.0,39.0,3.0,8.0,83.0,15.0,14.0,31.0,29.0,11.0,6.0,1.11,1.46,1.76,3.0,2.0,2.0,49.0,46.0,46.0,24.0,0.45,0.99,0.99,3.79,3.79,3.76
