team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
NYI,2025,NYI,NYI,Team Level,other,73,0.5,0.55,0.56,12280.0,186.26,35.71,13.54,34.72,6.53,101.18,62.33,33.42,35.71,33.42,172.0,82.0,77.0,331.0,34.0,20.0,1.0,27.0,1.0,93.0,79.0,138.0,220.0,4.0,8.0,144.0,26.0,23.0,44.0,139.0,64.0,51.0,5.68,7.83,22.2,8.0,12.0,14.0,331.0,254.0,254.0,19.0,3.91,5.7,5.7,33.92,33.92,32.61,140.8,35.62,10.26,24.47,5.06,75.09,45.5,33.07,35.62,33.07,118.0,78.0,80.0,276.0,30.0,13.0,2.0,17.0,3.0,80.0,53.0,88.0,166.0,7.0,14.0,113.0,29.0,23.0,38.0,98.0,46.0,52.0,3.65,5.68,26.3,9.0,6.0,15.0,276.0,196.0,196.0,19.0,2.93,4.67,4.67,33.89,33.89,31.91
NYI,2025,NYI,NYI,Team Level,all,73,0.48,0.49,0.5,266886.0,2292.93,222.28,159.29,558.91,80.2,1235.34,880.97,210.74,222.4,210.87,2054.0,1083.0,1118.0,4255.0,207.0,272.0,25.0,450.0,4.0,1098.0,1106.0,1847.0,2930.0,219.0,468.0,2084.0,1419.0,330.0,1061.0,2319.0,584.0,234.0,69.74,71.59,80.95,88.0,62.0,57.0,4254.85,3137.0,3135.31,516.0,35.71,56.61,56.89,201.11,201.17,195.26,2339.51,242.45,168.22,556.25,78.6,1230.81,883.67,228.27,242.9,228.7,2049.0,1111.0,1187.0,4347.0,202.0,298.0,17.0,376.0,7.0,1168.0,1109.0,1847.0,2958.0,239.0,519.0,1906.0,1478.0,332.0,1117.0,2223.0,647.0,290.0,68.01,79.68,94.76,79.0,76.0,47.0,4363.7,3160.0,3170.02,500.0,37.62,59.44,59.44,220.63,221.04,213.92
NYI,2025,NYI,NYI,Team Level,5on5,73,0.47,0.49,0.49,216199.0,1751.43,145.21,113.98,451.77,61.28,941.96,688.8,139.8,145.34,139.94,1551.0,852.0,894.0,3297.0,133.0,208.0,19.0,359.0,3.0,845.0,855.0,1418.0,2270.0,196.0,423.0,1565.0,1366.0,271.0,915.0,1846.0,425.0,132.0,54.55,52.45,38.21,71.0,40.0,22.0,3296.85,2403.0,2401.31,463.0,23.68,40.27,40.56,128.33,128.39,126.16,1821.42,161.58,123.04,453.94,61.09,961.81,710.52,154.58,162.03,155.01,1587.0,885.0,984.0,3456.0,135.0,225.0,10.0,314.0,3.0,911.0,884.0,1452.0,2337.0,211.0,460.0,1498.0,1390.0,279.0,981.0,1808.0,494.0,170.0,55.73,60.79,45.06,63.0,58.0,14.0,3472.7,2472.0,2482.02,441.0,25.67,41.72,41.81,145.44,145.86,142.75
NYI,2025,NYI,NYI,Team Level,4on5,73,0.13,0.13,0.16,18356.0,58.54,5.82,3.08,9.15,2.04,18.91,40.0,5.78,5.82,5.78,61.0,18.0,4.0,83.0,8.0,3.0,0.0,7.0,0.0,13.0,48.0,53.0,71.0,5.0,10.0,177.0,22.0,26.0,36.0,56.0,18.0,5.0,2.06,2.35,1.41,2.0,3.0,3.0,83.0,79.0,79.0,30.0,0.7,0.45,0.45,6.08,6.08,6.05,323.99,39.95,32.32,69.97,10.82,178.31,92.65,35.42,39.95,35.42,293.0,131.0,115.0,539.0,31.0,55.0,4.0,44.0,1.0,162.0,131.0,262.0,393.0,15.0,30.0,145.0,19.0,7.0,61.0,276.0,87.0,61.0,7.66,10.59,21.7,6.0,8.0,17.0,539.0,424.0,424.0,7.0,8.42,12.05,11.96,36.4,36.4,34.37
NYI,2025,NYI,NYI,Team Level,5on4,73,0.87,0.88,0.85,20051.0,296.71,35.54,28.68,63.28,10.35,173.3,89.85,31.74,35.54,31.74,270.0,131.0,143.0,544.0,32.0,41.0,5.0,57.0,0.0,147.0,124.0,238.0,369.0,14.0,27.0,198.0,5.0,10.0,66.0,278.0,77.0,46.0,7.45,8.96,19.14,7.0,7.0,18.0,544.0,401.0,401.0,4.0,7.43,10.19,10.19,32.78,32.78,30.44,53.31,5.3,2.6,7.87,1.63,15.6,35.0,5.2,5.3,5.2,51.0,17.0,8.0,76.0,6.0,5.0,1.0,1.0,0.0,15.0,41.0,45.0,62.0,6.0,15.0,150.0,40.0,23.0,37.0,41.0,20.0,7.0,0.97,2.63,1.71,1.0,4.0,1.0,76.0,68.0,68.0,33.0,0.6,1.0,1.0,4.91,4.91,4.89
NYR,2025,NYR,NYR,Team Level,other,73,0.38,0.51,0.5,7976.0,133.52,25.77,10.79,24.82,4.84,79.38,41.4,23.68,25.77,23.68,109.0,78.0,72.0,259.0,25.0,13.0,4.0,22.0,0.0,79.0,48.0,84.0,162.0,9.0,18.0,110.0,11.0,11.0,27.0,103.0,46.0,38.0,3.84,5.46,16.47,4.0,8.0,13.0,259.0,187.0,187.0,15.0,3.29,3.12,3.12,25.95,25.95,23.95,136.35,41.26,9.73,22.58,5.16,69.2,42.07,37.6,41.26,37.6,119.0,71.0,58.0,248.0,36.0,18.0,2.0,6.0,0.0,72.0,58.0,83.0,154.0,7.0,14.0,83.0,12.0,7.0,24.0,85.0,45.0,60.0,3.24,5.51,32.51,3.0,5.0,28.0,248.0,190.0,190.0,11.0,2.81,5.55,4.89,39.17,39.17,37.12
NYR,2025,NYR,NYR,Team Level,all,73,0.47,0.49,0.48,266111.0,2151.44,210.73,152.62,518.8,74.03,1181.14,822.68,200.3,211.05,200.63,1855.0,1105.0,1187.0,4147.0,205.0,232.0,24.0,383.0,4.0,1098.0,1038.0,1650.0,2755.0,249.0,540.0,2188.0,1881.0,325.0,1105.0,2176.0,555.0,229.0,62.74,67.21,80.78,74.0,73.0,58.0,4126.72,2960.0,2950.78,542.0,34.59,48.55,48.62,196.7,197.0,190.93,2365.56,240.35,164.09,569.6,79.96,1270.96,907.05,226.79,241.89,228.25,2143.0,1089.0,1155.0,4387.0,230.0,270.0,38.0,382.0,3.0,1156.0,1191.0,1913.0,3002.0,215.0,468.0,1839.0,1432.0,327.0,1097.0,2392.0,577.0,263.0,71.68,71.06,97.61,79.0,73.0,78.0,4430.46,3232.0,3262.95,552.0,36.63,58.57,58.93,218.05,219.3,212.73
NYR,2025,NYR,NYR,Team Level,5on5,73,0.48,0.49,0.48,219651.0,1667.55,137.39,111.4,423.71,57.45,913.17,659.88,132.21,137.7,132.55,1442.0,861.0,998.0,3301.0,134.0,183.0,16.0,317.0,4.0,846.0,819.0,1308.0,2169.0,228.0,495.0,1695.0,1795.0,265.0,968.0,1760.0,417.0,126.0,50.91,50.31,36.16,66.0,56.0,12.0,3280.72,2303.0,2293.78,489.0,23.2,36.62,36.7,123.88,124.19,122.17,1819.17,146.31,118.12,461.61,61.12,981.03,723.81,141.04,147.85,142.51,1639.0,853.0,953.0,3445.0,141.0,191.0,21.0,319.0,3.0,888.0,950.0,1498.0,2351.0,191.0,417.0,1429.0,1373.0,293.0,966.0,1941.0,414.0,137.0,57.87,51.39,37.05,65.0,55.0,21.0,3488.46,2492.0,2522.95,499.0,24.51,37.06,37.38,133.44,134.68,132.6
NYR,2025,NYR,NYR,Team Level,4on5,73,0.08,0.1,0.11,20784.0,47.11,4.21,2.41,7.09,1.47,14.57,31.25,4.05,4.21,4.05,48.0,13.0,6.0,67.0,4.0,1.0,0.0,3.0,0.0,13.0,40.0,44.0,57.0,7.0,17.0,189.0,64.0,27.0,47.0,40.0,16.0,5.0,0.96,1.96,1.29,1.0,2.0,1.0,67.0,61.0,61.0,34.0,0.55,0.25,0.25,4.51,4.51,4.39,355.65,46.11,33.12,77.76,11.99,204.53,106.5,41.87,46.11,41.87,329.0,151.0,136.0,616.0,45.0,55.0,14.0,51.0,0.0,192.0,137.0,284.0,435.0,10.0,21.0,196.0,19.0,6.0,63.0,326.0,97.0,57.0,9.15,11.4,25.55,8.0,10.0,27.0,616.0,480.0,480.0,4.0,8.61,14.73,15.42,39.29,39.29,36.93
NYR,2025,NYR,NYR,Team Level,5on4,73,0.87,0.87,0.85,17700.0,303.27,43.36,28.01,63.18,10.28,174.02,90.15,40.36,43.36,40.36,256.0,153.0,111.0,520.0,42.0,35.0,4.0,41.0,0.0,160.0,131.0,214.0,367.0,5.0,10.0,194.0,11.0,22.0,63.0,273.0,76.0,60.0,7.02,9.49,26.86,3.0,7.0,32.0,520.0,409.0,409.0,4.0,7.55,8.55,8.55,42.37,42.37,40.42,54.38,6.67,3.11,7.65,1.7,16.19,34.68,6.28,6.67,6.28,56.0,14.0,8.0,78.0,8.0,6.0,1.0,6.0,0.0,4.0,46.0,48.0,62.0,7.0,16.0,131.0,28.0,21.0,44.0,40.0,21.0,9.0,1.42,2.75,2.5,3.0,3.0,2.0,78.0,70.0,70.0,38.0,0.7,1.23,1.23,6.15,6.15,6.09
