team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
BOS,2025,BOS,BOS,Team Level,other,27,0.36,0.36,0.35,4131.0,44.11,10.33,2.63,8.32,1.69,20.9,16.14,10.12,10.33,10.12,36.0,24.0,22.0,82.0,11.0,2.0,2.0,1.0,1.0,26.0,19.0,25.0,49.0,3.0,6.0,53.0,16.0,10.0,15.0,31.0,16.0,13.0,1.21,1.88,7.23,2.0,3.0,6.0,82.0,60.0,60.0,5.0,0.7,0.79,0.79,10.23,10.23,10.11,82.8,18.25,6.29,15.3,2.84,45.56,21.76,15.79,18.25,15.79,74.0,36.0,35.0,145.0,11.0,9.0,1.0,12.0,0.0,49.0,29.0,63.0,99.0,3.0,6.0,52.0,10.0,4.0,15.0,47.0,41.0,22.0,2.02,5.44,10.79,1.0,2.0,8.0,145.0,110.0,110.0,5.0,1.83,3.2,3.2,16.88,16.88,15.21
BOS,2025,BOS,BOS,Team Level,all,27,0.45,0.47,0.47,98500.0,835.26,83.06,54.35,204.09,28.16,438.0,324.33,78.48,82.74,78.21,720.0,412.0,442.0,1574.0,81.0,83.0,11.0,143.0,2.0,412.0,411.0,639.0,1051.0,133.0,305.0,828.0,683.0,122.0,432.0,837.0,210.0,85.0,23.52,26.57,32.96,32.0,27.0,22.0,1563.11,1132.0,1124.72,195.0,12.1,17.02,17.72,77.44,77.24,74.6,941.09,100.77,66.74,229.5,31.73,495.37,345.89,94.55,101.33,95.12,826.0,444.0,480.0,1750.0,86.0,106.0,8.0,190.0,1.0,451.0,436.0,740.0,1184.0,115.0,263.0,765.0,593.0,123.0,413.0,857.0,299.0,114.0,24.44,38.3,38.02,25.0,34.0,27.0,1761.62,1270.0,1279.6,175.0,15.29,21.07,21.07,94.98,95.59,91.89
BOS,2025,BOS,BOS,Team Level,5on5,27,0.45,0.48,0.48,76742.0,635.88,51.6,39.04,163.65,21.34,330.92,253.46,49.03,51.28,48.76,545.0,315.0,361.0,1221.0,49.0,67.0,6.0,122.0,0.0,308.0,314.0,496.0,811.0,115.0,265.0,613.0,634.0,89.0,372.0,666.0,148.0,46.0,18.82,19.05,13.74,24.0,18.0,7.0,1210.11,860.0,852.72,171.0,8.1,12.52,12.96,46.74,46.55,45.73,675.42,61.96,44.0,175.48,22.92,354.07,260.58,59.48,62.52,60.05,583.0,336.0,395.0,1314.0,53.0,78.0,4.0,140.0,1.0,326.0,321.0,530.0,866.0,107.0,247.0,558.0,561.0,104.0,346.0,644.0,211.0,64.0,17.68,27.09,17.18,22.0,25.0,6.0,1325.62,919.0,928.6,155.0,9.16,14.91,14.91,56.22,56.83,55.73
BOS,2025,BOS,BOS,Team Level,4on5,27,0.09,0.1,0.12,9935.0,19.59,1.71,0.95,3.06,0.67,6.57,14.02,1.68,1.71,1.68,23.0,4.0,3.0,30.0,1.0,1.0,0.0,2.0,0.0,6.0,17.0,22.0,26.0,10.0,24.0,79.0,22.0,16.0,20.0,20.0,4.0,3.0,0.54,0.51,0.66,0.0,1.0,0.0,30.0,27.0,27.0,15.0,0.22,0.2,0.2,1.73,1.73,1.73,156.88,17.51,15.03,34.61,5.11,87.7,47.04,16.44,17.51,16.44,142.0,65.0,49.0,256.0,18.0,15.0,1.0,36.0,0.0,70.0,68.0,124.0,189.0,3.0,6.0,99.0,3.0,4.0,37.0,145.0,40.0,22.0,3.98,5.03,8.5,2.0,5.0,11.0,256.0,207.0,207.0,8.0,3.97,1.86,1.86,19.61,19.61,18.7
BOS,2025,BOS,BOS,Team Level,5on4,27,0.86,0.87,0.84,7692.0,135.68,19.42,11.73,29.06,4.46,79.62,40.71,17.65,19.42,17.65,116.0,69.0,56.0,241.0,20.0,13.0,3.0,18.0,1.0,72.0,61.0,96.0,165.0,5.0,10.0,83.0,11.0,7.0,25.0,120.0,42.0,23.0,2.96,5.13,11.33,6.0,5.0,9.0,241.0,185.0,185.0,4.0,3.08,3.5,3.77,18.73,18.73,17.02,25.99,3.05,1.42,4.11,0.87,8.04,16.51,2.84,3.05,2.84,27.0,7.0,1.0,35.0,4.0,4.0,2.0,2.0,0.0,6.0,18.0,23.0,30.0,2.0,4.0,56.0,19.0,11.0,15.0,21.0,7.0,6.0,0.76,0.74,1.55,0.0,2.0,2.0,35.0,34.0,34.0,7.0,0.33,1.11,1.11,2.27,2.27,2.26
NYI,2025,NYI,NYI,Team Level,other,25,0.61,0.61,0.63,3403.0,73.15,13.8,5.16,13.9,2.55,38.33,23.26,12.77,13.8,12.77,70.0,27.0,25.0,122.0,12.0,10.0,1.0,12.0,1.0,37.0,25.0,58.0,85.0,1.0,2.0,49.0,9.0,9.0,13.0,51.0,23.0,23.0,2.0,2.9,8.89,2.0,4.0,6.0,122.0,97.0,97.0,9.0,1.4,3.29,3.29,11.89,11.89,11.54,41.5,8.81,3.02,6.98,1.36,22.6,13.24,8.48,8.81,8.48,37.0,19.0,22.0,78.0,10.0,4.0,1.0,4.0,1.0,20.0,17.0,27.0,46.0,1.0,2.0,35.0,10.0,8.0,19.0,30.0,14.0,12.0,1.46,1.85,5.5,3.0,2.0,5.0,78.0,56.0,56.0,12.0,0.82,1.25,1.25,8.37,8.37,8.08
NYI,2025,NYI,NYI,Team Level,all,25,0.49,0.51,0.52,91585.0,814.32,83.94,57.52,194.41,27.89,438.45,308.79,79.27,83.83,79.19,737.0,374.0,390.0,1501.0,74.0,96.0,6.0,164.0,2.0,383.0,392.0,663.0,1037.0,83.0,181.0,719.0,436.0,104.0,378.0,781.0,230.0,100.0,23.17,28.34,32.43,29.0,24.0,21.0,1495.79,1111.0,1106.77,182.0,12.96,21.64,21.89,75.0,74.85,72.78,764.24,87.42,56.66,178.23,25.11,396.82,281.77,82.15,87.85,82.59,682.0,344.0,415.0,1441.0,70.0,97.0,8.0,116.0,2.0,367.0,374.0,612.0,956.0,90.0,203.0,662.0,489.0,107.0,405.0,668.0,238.0,120.0,20.23,30.27,36.91,19.0,32.0,19.0,1452.91,1026.0,1033.0,180.0,12.75,21.84,21.84,78.32,78.89,76.51
NYI,2025,NYI,NYI,Team Level,5on5,25,0.48,0.5,0.51,72947.0,579.61,53.72,37.21,146.72,19.63,309.51,226.21,51.79,53.61,51.71,515.0,278.0,302.0,1095.0,47.0,67.0,4.0,121.0,1.0,268.0,289.0,468.0,746.0,75.0,164.0,508.0,418.0,82.0,318.0,579.0,156.0,58.0,17.07,19.4,17.25,23.0,17.0,7.0,1089.79,793.0,788.77,155.0,7.72,14.59,14.84,46.6,46.45,45.77,567.85,57.42,38.96,138.42,18.61,298.43,219.16,55.06,57.86,55.5,505.0,266.0,340.0,1111.0,46.0,61.0,3.0,93.0,1.0,279.0,291.0,459.0,725.0,78.0,176.0,525.0,452.0,89.0,345.0,519.0,183.0,69.0,15.63,23.52,18.27,14.0,26.0,6.0,1122.91,771.0,778.0,149.0,8.12,13.1,13.19,52.35,52.92,51.78
NYI,2025,NYI,NYI,Team Level,4on5,25,0.11,0.14,0.16,7090.0,24.28,2.22,1.32,4.4,0.94,8.49,16.62,2.21,2.22,2.21,27.0,7.0,2.0,36.0,4.0,1.0,0.0,3.0,0.0,8.0,18.0,23.0,30.0,1.0,2.0,67.0,8.0,11.0,19.0,25.0,8.0,1.0,0.82,1.2,0.2,2.0,1.0,1.0,36.0,34.0,34.0,14.0,0.3,0.01,0.01,2.52,2.52,2.5,134.07,18.4,13.6,29.79,4.57,70.09,36.55,15.88,18.4,15.88,120.0,53.0,48.0,221.0,11.0,29.0,3.0,19.0,0.0,59.0,55.0,109.0,162.0,9.0,18.0,48.0,10.0,2.0,24.0,108.0,31.0,34.0,2.91,3.7,11.79,2.0,2.0,7.0,221.0,173.0,173.0,4.0,3.56,6.75,6.66,15.29,15.29,14.35
NYI,2025,NYI,NYI,Team Level,5on4,25,0.84,0.89,0.88,8145.0,137.29,14.2,13.83,29.4,4.77,82.11,42.69,12.51,14.2,12.51,125.0,62.0,61.0,248.0,11.0,18.0,1.0,28.0,0.0,70.0,60.0,114.0,176.0,6.0,13.0,95.0,1.0,2.0,28.0,126.0,43.0,18.0,3.27,4.84,6.08,2.0,2.0,7.0,248.0,187.0,187.0,4.0,3.54,3.75,3.75,13.99,13.99,12.97,20.8,2.78,1.08,3.04,0.57,5.71,12.81,2.73,2.78,2.73,20.0,6.0,5.0,31.0,3.0,3.0,1.0,0.0,0.0,9.0,11.0,17.0,23.0,2.0,7.0,54.0,17.0,8.0,17.0,11.0,10.0,5.0,0.23,1.2,1.35,0.0,2.0,1.0,31.0,26.0,26.0,15.0,0.26,0.73,0.73,2.3,2.3,2.3
