team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
NYR,2025,NYR,NYR,Team Level,other,34,0.36,0.49,0.47,3621.0,55.62,11.55,3.89,9.63,2.02,34.44,20.46,10.57,11.55,10.57,48.0,34.0,33.0,115.0,13.0,4.0,2.0,11.0,0.0,33.0,21.0,35.0,69.0,1.0,2.0,50.0,5.0,5.0,11.0,43.0,21.0,18.0,1.69,2.43,7.43,1.0,5.0,7.0,115.0,82.0,82.0,7.0,1.06,1.1,1.1,11.51,11.51,10.5,64.8,20.67,4.56,10.1,2.32,33.48,19.86,18.48,20.67,18.48,50.0,41.0,30.0,121.0,16.0,8.0,1.0,1.0,0.0,37.0,29.0,34.0,75.0,2.0,4.0,39.0,8.0,2.0,11.0,38.0,25.0,28.0,1.41,3.11,16.15,1.0,2.0,13.0,121.0,91.0,91.0,3.0,1.29,2.8,2.14,19.82,19.82,19.01
NYR,2025,NYR,NYR,Team Level,all,34,0.48,0.5,0.49,123890.0,1043.08,106.12,72.8,249.55,35.32,571.48,402.74,101.64,107.04,102.51,895.0,543.0,585.0,2023.0,88.0,97.0,14.0,193.0,1.0,539.0,520.0,807.0,1350.0,107.0,232.0,1010.0,901.0,151.0,490.0,1005.0,312.0,121.0,27.8,38.14,40.18,29.0,32.0,27.0,2029.08,1438.0,1444.4,238.0,16.13,21.4,21.47,100.77,101.55,98.57,1072.71,116.59,72.27,256.73,35.75,574.83,411.83,108.92,116.98,109.26,963.0,505.0,570.0,2038.0,92.0,122.0,15.0,178.0,3.0,504.0,569.0,871.0,1376.0,88.0,196.0,847.0,668.0,148.0,537.0,1056.0,285.0,127.0,30.68,35.88,50.02,31.0,28.0,33.0,2046.66,1468.0,1473.81,272.0,16.07,28.11,28.11,104.56,104.82,101.59
NYR,2025,NYR,NYR,Team Level,5on5,34,0.51,0.5,0.5,103393.0,812.66,74.01,53.31,204.84,27.67,440.85,319.32,71.62,74.93,72.49,685.0,435.0,487.0,1607.0,59.0,80.0,10.0,161.0,1.0,416.0,403.0,626.0,1061.0,103.0,224.0,801.0,854.0,125.0,425.0,799.0,248.0,73.0,22.12,30.71,21.17,27.0,24.0,8.0,1613.08,1120.0,1126.4,206.0,11.08,17.21,17.29,67.8,68.57,67.52,826.91,69.97,52.46,209.77,27.58,445.8,330.43,67.32,70.35,67.66,740.0,396.0,472.0,1608.0,54.0,87.0,7.0,149.0,3.0,383.0,460.0,686.0,1082.0,81.0,180.0,661.0,640.0,134.0,466.0,866.0,202.0,68.0,24.96,25.49,19.52,25.0,21.0,8.0,1616.66,1136.0,1141.81,247.0,10.85,17.62,17.95,62.87,63.13,62.11
NYR,2025,NYR,NYR,Team Level,4on5,34,0.1,0.11,0.13,8885.0,24.98,2.51,1.39,3.5,0.72,7.67,16.21,2.42,2.51,2.42,26.0,6.0,2.0,34.0,2.0,0.0,0.0,1.0,0.0,4.0,25.0,24.0,30.0,3.0,6.0,73.0,36.0,9.0,25.0,19.0,9.0,4.0,0.44,1.08,0.98,1.0,1.0,0.0,34.0,32.0,32.0,18.0,0.32,0.0,0.0,2.82,2.82,2.72,155.94,22.5,13.79,33.43,5.04,88.26,45.99,20.03,22.5,20.03,148.0,61.0,66.0,275.0,18.0,23.0,6.0,27.0,0.0,83.0,58.0,130.0,191.0,2.0,4.0,90.0,7.0,3.0,36.0,135.0,47.0,27.0,3.66,5.78,13.05,3.0,4.0,11.0,275.0,209.0,209.0,5.0,3.6,6.72,7.05,19.04,19.04,17.66
NYR,2025,NYR,NYR,Team Level,5on4,34,0.84,0.89,0.86,7991.0,149.82,18.05,14.2,31.57,4.91,88.52,46.74,17.03,18.05,17.03,136.0,68.0,63.0,267.0,14.0,13.0,2.0,20.0,0.0,86.0,71.0,122.0,190.0,0.0,0.0,86.0,6.0,12.0,29.0,144.0,34.0,26.0,3.54,3.91,10.6,0.0,2.0,12.0,267.0,204.0,204.0,7.0,3.68,3.09,3.09,18.65,18.65,17.82,25.07,3.46,1.48,3.42,0.81,7.28,15.55,3.08,3.46,3.08,25.0,7.0,2.0,34.0,4.0,4.0,1.0,1.0,0.0,1.0,22.0,21.0,28.0,3.0,8.0,57.0,13.0,9.0,24.0,17.0,11.0,4.0,0.65,1.5,1.31,2.0,1.0,1.0,34.0,32.0,32.0,17.0,0.33,0.97,0.97,2.82,2.82,2.8
PHI,2025,PHI,PHI,Team Level,other,31,0.59,0.52,0.51,3040.0,53.13,13.3,3.41,9.0,1.73,26.22,18.34,12.04,13.3,12.04,51.0,21.0,26.0,98.0,14.0,2.0,1.0,10.0,0.0,24.0,22.0,37.0,58.0,2.0,4.0,41.0,4.0,7.0,13.0,31.0,20.0,21.0,1.33,2.4,9.56,2.0,5.0,7.0,98.0,72.0,72.0,10.0,1.05,1.03,1.03,13.31,13.31,12.35,52.46,9.25,3.33,9.49,1.61,24.64,21.68,9.07,9.25,9.07,48.0,22.0,22.0,92.0,8.0,3.0,0.0,10.0,0.0,18.0,31.0,40.0,62.0,7.0,12.0,57.0,10.0,11.0,10.0,35.0,26.0,9.0,1.75,3.38,4.12,0.0,5.0,3.0,92.0,70.0,70.0,6.0,0.94,0.59,0.59,9.61,9.61,9.49
PHI,2025,PHI,PHI,Team Level,all,31,0.48,0.47,0.48,114816.0,853.99,92.97,59.91,200.56,28.55,454.81,327.21,87.93,92.67,87.63,775.0,389.0,429.0,1593.0,87.0,82.0,8.0,165.0,2.0,415.0,413.0,688.0,1077.0,117.0,257.0,823.0,678.0,137.0,465.0,780.0,286.0,98.0,24.87,35.58,32.52,30.0,36.0,21.0,1582.86,1164.0,1153.76,223.0,13.33,18.23,18.35,87.96,87.56,84.97,939.32,99.2,63.11,223.9,31.15,500.36,363.33,94.14,100.17,95.09,801.0,481.0,500.0,1782.0,86.0,91.0,8.0,162.0,0.0,449.0,494.0,715.0,1196.0,109.0,238.0,866.0,650.0,125.0,495.0,916.0,254.0,112.0,28.03,31.91,39.27,39.0,25.0,22.0,1802.94,1282.0,1301.21,233.0,14.2,20.04,20.04,93.3,94.3,90.79
PHI,2025,PHI,PHI,Team Level,5on5,31,0.49,0.48,0.48,94082.0,661.02,60.99,44.53,162.44,22.2,356.66,260.17,58.86,60.7,58.54,603.0,304.0,346.0,1253.0,62.0,60.0,4.0,133.0,2.0,327.0,323.0,541.0,845.0,101.0,225.0,629.0,653.0,119.0,415.0,642.0,215.0,50.0,20.07,27.24,13.68,25.0,28.0,9.0,1242.86,907.0,896.76,196.0,9.25,11.56,11.99,58.25,57.85,56.95,706.9,64.2,45.01,177.63,23.56,377.1,279.57,61.92,65.17,62.88,598.0,370.0,403.0,1371.0,58.0,68.0,4.0,127.0,0.0,344.0,371.0,540.0,910.0,91.0,204.0,662.0,616.0,101.0,426.0,717.0,181.0,70.0,21.53,22.96,19.7,36.0,16.0,6.0,1391.94,968.0,987.21,199.0,9.35,14.31,14.31,59.17,60.17,59.07
PHI,2025,PHI,PHI,Team Level,4on5,31,0.11,0.1,0.12,9830.0,22.06,2.91,1.27,3.31,0.65,6.77,14.1,2.86,2.91,2.86,23.0,6.0,2.0,31.0,0.0,1.0,0.0,2.0,0.0,3.0,23.0,23.0,29.0,4.0,8.0,81.0,13.0,9.0,17.0,15.0,10.0,4.0,0.44,1.24,1.23,0.0,0.0,0.0,31.0,29.0,29.0,15.0,0.29,0.38,0.38,2.81,2.81,2.8,158.09,23.01,13.74,33.66,5.3,92.55,47.74,20.53,23.01,20.53,135.0,81.0,70.0,286.0,18.0,16.0,4.0,23.0,0.0,85.0,74.0,117.0,198.0,7.0,14.0,78.0,9.0,5.0,37.0,146.0,41.0,29.0,3.89,4.77,14.36,2.0,3.0,13.0,286.0,216.0,216.0,9.0,3.68,4.23,4.23,22.47,22.47,20.23
PHI,2025,PHI,PHI,Team Level,5on4,31,0.85,0.86,0.85,7864.0,117.77,15.78,10.7,25.81,3.96,65.15,34.61,14.17,15.78,14.17,98.0,58.0,55.0,211.0,11.0,19.0,3.0,20.0,0.0,61.0,45.0,87.0,145.0,10.0,20.0,72.0,8.0,2.0,20.0,92.0,41.0,23.0,3.04,4.7,8.04,3.0,3.0,5.0,211.0,156.0,156.0,2.0,2.75,5.25,4.95,13.58,13.58,12.88,21.88,2.73,1.04,3.13,0.68,6.07,14.35,2.62,2.73,2.62,20.0,8.0,5.0,33.0,2.0,4.0,0.0,2.0,0.0,2.0,18.0,18.0,26.0,4.0,8.0,69.0,15.0,8.0,22.0,18.0,6.0,4.0,0.85,0.8,1.08,1.0,1.0,0.0,33.0,28.0,28.0,19.0,0.23,0.92,0.92,2.05,2.05,2.0
