team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
NYI,2025,NYI,NYI,Team Level,other,81,0.48,0.54,0.56,14278.0,211.96,41.6,15.32,39.46,7.32,116.22,69.09,38.35,41.6,38.35,198.0,91.0,90.0,379.0,38.0,23.0,2.0,31.0,1.0,108.0,88.0,160.0,251.0,4.0,8.0,169.0,33.0,24.0,50.0,159.0,70.0,60.0,6.41,8.64,26.54,8.0,14.0,16.0,379.0,289.0,289.0,21.0,4.44,6.77,6.77,39.27,39.27,37.23,163.66,45.52,11.7,28.08,5.88,85.77,51.04,42.57,45.52,42.57,132.0,96.0,92.0,320.0,33.0,17.0,3.0,18.0,3.0,95.0,62.0,99.0,195.0,7.0,14.0,130.0,32.0,25.0,51.0,108.0,53.0,67.0,3.88,6.56,35.08,10.0,6.0,17.0,320.0,228.0,228.0,25.0,3.38,6.53,6.53,42.38,42.38,40.33
NYI,2025,NYI,NYI,Team Level,all,81,0.48,0.5,0.5,295686.0,2555.04,253.46,177.6,622.15,89.06,1371.77,973.96,239.39,252.77,238.75,2282.0,1206.0,1243.0,4731.0,228.0,309.0,29.0,502.0,6.0,1224.0,1219.0,2054.0,3260.0,245.0,529.0,2341.0,1589.0,365.0,1168.0,2560.0,652.0,276.0,77.77,79.81,95.87,93.0,73.0,62.0,4715.02,3488.0,3475.94,563.0,39.87,65.72,66.0,227.34,226.76,219.3,2597.52,272.9,185.89,616.44,87.22,1365.72,982.9,257.51,274.0,258.56,2250.0,1262.0,1299.0,4811.0,234.0,331.0,22.0,397.0,8.0,1306.0,1236.0,2016.0,3278.0,271.0,590.0,2103.0,1657.0,364.0,1224.0,2477.0,707.0,328.0,75.34,87.15,110.41,90.0,88.0,56.0,4837.98,3512.0,3530.35,552.0,41.58,66.67,66.67,247.75,248.69,241.09
NYI,2025,NYI,NYI,Team Level,5on5,81,0.48,0.49,0.49,239042.0,1954.34,164.41,127.63,503.92,68.17,1046.52,763.35,157.95,163.73,157.32,1725.0,949.0,997.0,3671.0,146.0,240.0,22.0,399.0,5.0,942.0,942.0,1579.0,2528.0,219.0,478.0,1756.0,1526.0,299.0,1005.0,2041.0,479.0,154.0,60.71,58.92,44.78,75.0,47.0,24.0,3655.02,2674.0,2661.94,504.0,26.54,47.46,47.75,143.2,142.63,139.99,2024.25,178.49,136.41,504.23,67.84,1069.67,792.41,170.83,179.6,171.89,1741.0,1009.0,1074.0,3824.0,157.0,248.0,14.0,333.0,4.0,1017.0,991.0,1584.0,2593.0,239.0,523.0,1644.0,1563.0,306.0,1071.0,2023.0,540.0,187.0,62.18,66.53,49.79,71.0,67.0,19.0,3850.98,2750.0,2768.35,486.0,28.45,46.07,46.16,160.71,161.65,158.26
NYI,2025,NYI,NYI,Team Level,4on5,81,0.13,0.13,0.16,19998.0,63.37,6.16,3.4,9.88,2.23,20.77,43.57,6.11,6.16,6.11,66.0,20.0,4.0,90.0,8.0,3.0,0.0,7.0,0.0,15.0,53.0,58.0,78.0,7.0,14.0,194.0,24.0,29.0,40.0,62.0,19.0,5.0,2.25,2.5,1.41,2.0,3.0,3.0,90.0,86.0,86.0,34.0,0.77,0.45,0.45,6.48,6.48,6.46,350.35,43.08,34.91,75.57,11.7,192.87,99.89,38.4,43.08,38.4,318.0,140.0,125.0,583.0,35.0,61.0,4.0,45.0,1.0,179.0,137.0,283.0,423.0,18.0,36.0,158.0,20.0,9.0,64.0,300.0,92.0,66.0,8.23,11.24,23.61,7.0,9.0,19.0,583.0,458.0,458.0,7.0,9.1,13.06,12.98,39.19,39.19,37.05
NYI,2025,NYI,NYI,Team Level,5on4,81,0.88,0.88,0.85,22368.0,325.37,41.3,31.25,68.89,11.34,188.26,97.96,36.98,41.3,36.98,293.0,146.0,152.0,591.0,36.0,43.0,5.0,65.0,0.0,159.0,136.0,257.0,403.0,15.0,29.0,222.0,6.0,13.0,73.0,298.0,84.0,57.0,8.4,9.74,23.16,8.0,9.0,19.0,591.0,439.0,439.0,4.0,8.13,11.04,11.04,38.39,38.39,35.63,59.26,5.8,2.86,8.56,1.81,17.41,39.56,5.7,5.8,5.7,59.0,17.0,8.0,84.0,9.0,5.0,1.0,1.0,0.0,15.0,46.0,50.0,67.0,7.0,17.0,171.0,42.0,24.0,38.0,46.0,22.0,8.0,1.05,2.83,1.93,2.0,6.0,1.0,84.0,76.0,76.0,34.0,0.66,1.0,1.0,5.47,5.47,5.45
NYR,2025,NYR,NYR,Team Level,other,80,0.38,0.5,0.49,8843.0,145.64,28.48,11.72,27.56,5.29,85.97,44.99,26.36,28.48,26.36,119.0,85.0,77.0,281.0,27.0,14.0,4.0,24.0,0.0,81.0,58.0,92.0,177.0,10.0,22.0,116.0,11.0,12.0,30.0,113.0,50.0,41.0,4.29,5.95,18.23,5.0,8.0,14.0,281.0,204.0,204.0,16.0,3.54,3.2,3.2,28.82,28.82,26.81,153.99,46.82,11.12,25.69,5.88,78.46,46.03,42.31,46.82,42.31,132.0,82.0,63.0,277.0,38.0,24.0,3.0,9.0,0.0,79.0,64.0,94.0,176.0,7.0,14.0,94.0,13.0,7.0,24.0,100.0,46.0,68.0,3.8,5.6,37.43,3.0,5.0,30.0,277.0,214.0,214.0,11.0,3.26,7.77,7.12,42.97,42.97,40.76
NYR,2025,NYR,NYR,Team Level,all,80,0.47,0.49,0.48,291311.0,2342.83,231.61,166.55,565.31,80.73,1288.39,895.41,220.66,231.83,220.9,2018.0,1210.0,1306.0,4534.0,229.0,253.0,27.0,416.0,4.0,1178.0,1148.0,1789.0,2999.0,280.0,625.0,2395.0,2061.0,359.0,1208.0,2369.0,606.0,253.0,69.42,73.7,88.5,87.0,78.0,64.0,4516.74,3228.0,3219.08,585.0,37.68,53.05,53.13,216.16,216.35,210.0,2579.21,261.29,179.5,621.45,87.48,1386.85,990.43,246.08,263.15,247.83,2317.0,1210.0,1259.0,4786.0,244.0,297.0,41.0,419.0,3.0,1269.0,1295.0,2073.0,3283.0,243.0,547.0,2004.0,1562.0,357.0,1194.0,2621.0,620.0,286.0,77.78,76.36,107.15,84.0,78.0,82.0,4828.49,3527.0,3559.73,605.0,40.24,64.74,65.1,236.44,237.97,230.99
NYR,2025,NYR,NYR,Team Level,5on5,80,0.49,0.49,0.48,239927.0,1810.67,149.94,120.97,460.69,62.48,993.67,716.26,144.43,150.16,144.67,1568.0,936.0,1099.0,3603.0,149.0,199.0,18.0,341.0,4.0,915.0,896.0,1419.0,2355.0,256.0,572.0,1863.0,1963.0,296.0,1055.0,1916.0,448.0,140.0,55.77,54.23,39.94,74.0,61.0,14.0,3585.74,2504.0,2495.08,526.0,25.19,39.91,39.99,135.14,135.33,133.14,1978.57,158.56,128.62,502.1,66.72,1067.53,790.47,152.64,160.41,154.39,1768.0,946.0,1043.0,3757.0,151.0,205.0,21.0,344.0,3.0,980.0,1031.0,1617.0,2563.0,217.0,492.0,1547.0,1495.0,323.0,1052.0,2117.0,450.0,147.0,62.76,55.98,39.82,70.0,59.0,22.0,3799.49,2714.0,2746.73,549.0,26.7,39.64,39.97,145.29,146.82,144.5
NYR,2025,NYR,NYR,Team Level,4on5,80,0.09,0.1,0.12,22921.0,52.04,4.86,2.74,7.82,1.65,16.35,34.59,4.7,4.86,4.7,54.0,14.0,8.0,76.0,5.0,1.0,0.0,4.0,0.0,13.0,45.0,49.0,63.0,9.0,21.0,204.0,70.0,28.0,54.0,45.0,17.0,6.0,1.22,2.1,1.54,2.0,2.0,1.0,76.0,68.0,68.0,39.0,0.63,0.25,0.25,5.23,5.23,5.12,387.51,48.68,36.39,85.37,13.05,223.33,116.17,44.28,48.68,44.28,359.0,164.0,145.0,668.0,47.0,62.0,16.0,59.0,0.0,205.0,150.0,312.0,476.0,11.0,23.0,217.0,21.0,6.0,70.0,360.0,103.0,60.0,9.68,12.04,26.95,8.0,11.0,28.0,668.0,523.0,523.0,4.0,9.53,16.09,16.79,41.41,41.41,39.03
NYR,2025,NYR,NYR,Team Level,5on4,80,0.87,0.87,0.86,19620.0,334.48,48.34,31.11,69.24,11.32,192.39,99.59,45.18,48.34,45.18,277.0,175.0,122.0,574.0,48.0,39.0,5.0,47.0,0.0,169.0,149.0,229.0,404.0,5.0,10.0,212.0,17.0,23.0,69.0,295.0,91.0,66.0,8.13,11.42,28.79,6.0,7.0,35.0,574.0,452.0,452.0,4.0,8.33,9.69,9.69,46.98,46.98,44.93,59.13,7.24,3.36,8.29,1.83,17.52,37.77,6.84,7.24,6.84,58.0,18.0,8.0,84.0,8.0,6.0,1.0,7.0,0.0,5.0,50.0,50.0,68.0,8.0,18.0,146.0,33.0,21.0,48.0,44.0,21.0,11.0,1.54,2.75,2.95,3.0,3.0,2.0,84.0,76.0,76.0,41.0,0.76,1.23,1.23,6.77,6.77,6.71
