FRIDAY OCT. 3,Edmonton at Vancouver, 10 p.m.
FRIDAY OCT. 3,San Jose at Vegas, 10 p.m.
SATURDAY OCT. 4,NY Rangers at Boston, 2 p.m.
SATURDAY OCT. 4,New Jersey at Philadelphia, 3 p.m.
SATURDAY OCT. 4,Anaheim at Los Angeles, 4 p.m.
SATURDAY OCT. 4,Carolina at Nashville, 4 p.m.
SATURDAY OCT. 4,Colorado at Dallas, 6 p.m.
SATURDAY OCT. 4,Columbus at Washington, 7 p.m.
SATURDAY OCT. 4,Ottawa at Montreal, 7 p.m.
SATURDAY OCT. 4,St. Louis at Chicago, 7 p.m.
SATURDAY OCT. 4,Tampa Bay at Florida, 7 p.m.
SATURDAY OCT. 4,Toronto at Detroit, 7 p.m.
SATURDAY OCT. 4,San Jose at Utah, 9 p.m.
