name,team,pos,gp,Gvar,eG25,aG24,aG25,24-25,a24-25,G22,G23,G24,G25,pastG,Pvar,aP,P,pastP,SOGvar,eSOG,aSOG,SOG,pastSOG,Gpick,Ppick,Spick
Brock Faber,MIN,D,41,0.12,4.46,0.12,0.2,2.0,0.05,0,8,10,8.0,0-1-0-1-0-0-0-0-0-0-0-0-0-0,0.39,0.51,21,0-1-0-1-0-0-1-1-2-0-0-0-0-0,1.37,89,2.07,85.0,0-1-0-2-1-1-4-3-3-1-1-1-2-3, , , 
Evander Kane,VAN,L,38,0.08,10.1,0.0,0.16,-6.0,-0.14,16,24,,6.0,0-0-0-0-0-0-1-0-0-0-0,0.25,0.5,19,0-1-0-0-1-1-1-0-0-0-1,2.98,115,2.58,98.0,4-2-1-6-1-4-2-0-4-2-1, , , 
Mika Zibanejad,NYR,C,41,0.18,15.62,0.25,0.29,8.0,0.2,39,26,20,12.0,0-0-0-0-0-1-0-0-0-0-1-0-1,0.64,0.73,30,1-0-0-2-0-2-0-0-1-0-2-1-1,2.59,128,2.63,108.0,0-1-0-0-0-3-3-2-2-3-4-1-5, , , 
Jordan Eberle,SEA,R,38,0.39,17.93,0.11,0.37,-5.0,-0.11,20,17,9,14.0,0-0-1-1-2-0-0-1-0-0-0-1-0-0,0.27,0.68,26,1-1-1-1-2-0-0-1-1-0-1-1-1-1,2.94,111,2.47,94.0,1-4-2-4-2-2-0-7-2-1-1-3-1-3, , , 
Leo Carlsson,ANA,C,39,0.33,12.13,0.25,0.44,3.0,0.07,,12,20,17.0,0-0-0-0-0-0-0-0-1-0-2-0-0,0.4,1.08,42,0-1-0-0-0-0-1-1-1-0-2-0-0,3.47,112,2.51,98.0,3-4-2-4-0-0-3-2-3-1-4-7-1, , , 
Jack Eichel,VGK,C,31,0.16,10.97,0.35,0.39,16.0,0.31,27,31,28,12.0,0-0-0-1-0,0.16,1.32,41,1-2-2-2-2,1.04,114,3.77,117.0,1-2-4-2-3, , , 
Pavel Dorofeyev,VGK,R,38,0.23,16.54,0.44,0.39,20.0,0.45,7,13,35,15.0,0-0-0-0-1-1-1-0-1-0-0,0.36,0.74,28,2-1-0-2-1-1-1-1-1-0-1,3.34,124,2.82,107.0,3-3-2-5-7-4-3-1-4-6-1, , , 
Mason McTavish,ANA,C,40,0.2,15.61,0.28,0.25,12.0,0.29,17,19,22,10.0,1-0-1-0-1-0-0-0-0-0-0-1-0-0,0.24,0.62,25,1-1-1-0-1-1-0-0-0-0-0-1-0-0,2.94,112,2.05,82.0,3-5-2-5-6-1-3-0-1-3-1-3-1-3, , , 
Troy Terry,ANA,R,40,0.37,14.04,0.26,0.3,9.0,0.21,23,20,21,12.0,0-2-0-0-0-0-0-0-1-1-1-0-0-0,0.8,0.95,38,0-3-0-0-0-1-0-0-1-2-1-1-0-0,3.1,117,2.42,97.0,1-3-0-5-1-2-4-0-6-2-2-3-4-1, , , 
Jordan Kyrou,STL,R,31,0.0,7.72,0.45,0.26,28.0,0.55,37,31,36,8.0,0,0.24,0.55,17,0-1-0-0-1,2.56,84,2.42,75.0,2-0-4-0-3, , , 
Kiefer Sherwood,VAN,L,39,0.72,13.06,0.24,0.41,3.0,0.07,7,10,19,16.0,0-0-0-0-0-3-0-0-1-0-0-0,0.72,0.51,20,0-0-0-0-0-3-0-0-1-0-0-0,2.31,114,2.41,94.0,5-4-5-3-1-3-3-1-2-6-2-3, , , 
