name,team,GP,SOG,SOG_per_game,SOG_list,SOG_differential,SOG_variance
Dylan Holloway,STL,"['3', '2', '1']",9.0,3.0,"[9.0, 7.0, 3.0]","[4.0, 2.0]",1.0
Mathieu Joseph,STL,"['3', '2', '1']",6.0,2.0,"[6.0, 5.0, 2.0, 1.0]","[1.0, 3.0, 1.0]",0.89
Jordan Kyrou,STL,"['3', '2', '1']",4.0,1.33,"[4.0, 2.0]",[2.0],0.0
Jake Neighbours,STL,"['3', '2', '1']",5.0,1.67,"[5.0, 3.0, 0.0]","[3.0, 2.0]",0.25
Brayden Schenn,STL,"['3', '2', '1']",3.0,1.0,"[3.0, 1.0]",[2.0],0.0
Jimmy Snuggerud,STL,"['3', '2', '1']",9.0,3.0,"[9.0, 3.0, 1.0]","[2.0, 6.0]",4.0
Pius Suter,STL,"['3', '2', '1']",7.0,2.33,"[7.0, 6.0, 1.0]","[5.0, 1.0]",4.0
Alexandre Texier,STL,"['2', '1']",0.0,0.0,[0.0],[],
Robert Thomas,STL,"['3', '2', '1']",2.0,0.67,"[2.0, 1.0, 0.0]","[1.0, 1.0]",0.0
Alexey Toropchenko,STL,['1'],1.0,1.0,[1.0],[],
Nathan Walker,STL,"['3', '2', '1']",5.0,1.67,"[5.0, 3.0, 1.0]","[2.0, 2.0]",0.0
Philip Broberg,STL,"['3', '2', '1']",3.0,1.0,"[3.0, 2.0]",[1.0],0.0
Justin Faulk,STL,"['3', '2', '1']",5.0,1.67,"[5.0, 4.0, 3.0]","[1.0, 1.0]",0.0
Cam Fowler,STL,"['3', '2', '1']",6.0,2.0,"[6.0, 3.0, 1.0]","[2.0, 3.0]",0.25
Logan Mailloux,STL,"['3', '2', '1']",1.0,0.33,"[1.0, 0.0]",[1.0],0.0
Colton Parayko,STL,"['3', '2', '1']",6.0,2.0,"[6.0, 1.0, 0.0]","[1.0, 5.0]",4.0
Tyler Tucker,STL,"['3', '2', '1']",7.0,2.33,"[7.0, 4.0]",[3.0],0.0
Connor Bedard,CHI,"['4', '3', '2', '1']",5.0,1.25,"[5.0, 4.0, 2.0]","[2.0, 1.0]",0.25
Tyler Bertuzzi,CHI,"['4', '3', '2', '1']",5.0,1.25,"[5.0, 3.0, 1.0]","[2.0, 2.0]",0.0
Andre Burakovsky,CHI,"['4', '3', '2', '1']",6.0,1.5,"[6.0, 4.0, 2.0, 0.0]","[2.0, 2.0, 2.0]",0.0
Colton Dach,CHI,"['4', '3', '2', '1']",3.0,0.75,"[3.0, 1.0]",[2.0],0.0
Jason Dickinson,CHI,"['3', '2', '1']",4.0,1.33,"[4.0, 1.0]",[3.0],0.0
Ryan Donato,CHI,"['4', '3', '2', '1']",8.0,2.0,"[8.0, 2.0, 1.0]","[1.0, 6.0]",6.25
Nick Foligno,CHI,"['4', '3', '2', '1']",4.0,1.0,"[4.0, 3.0, 2.0, 0.0]","[2.0, 1.0, 1.0]",0.22
Ryan Greene,CHI,"['4', '3', '2', '1']",0.0,0.0,[0.0],[],
Sam Lafferty,CHI,"['2', '1']",0.0,0.0,[0.0],[],
Ilya Mikheyev,CHI,"['4', '3', '2', '1']",6.0,1.5,"[6.0, 3.0, 1.0]","[2.0, 3.0]",0.25
Frank Nazar,CHI,"['4', '3', '2', '1']",7.0,1.75,"[7.0, 5.0, 1.0]","[4.0, 2.0]",1.0
Lukas Reichel,CHI,['1'],0.0,0.0,[0.0],[],
Teuvo Teravainen,CHI,"['4', '3', '2', '1']",2.0,0.5,"[2.0, 1.0]",[1.0],0.0
Louis Crevier,CHI,"['3', '2', '1']",3.0,1.0,"[3.0, 2.0]",[1.0],0.0
Matt Grzelcyk,CHI,"['4', '3', '2', '1']",5.0,1.25,"[5.0, 4.0, 2.0]","[2.0, 1.0]",0.25
Wyatt Kaiser,CHI,"['4', '3', '2', '1']",4.0,1.0,"[4.0, 3.0, 2.0]","[1.0, 1.0]",0.0
Artyom Levshunov,CHI,"['3', '2', '1']",4.0,1.33,"[4.0, 3.0, 2.0]","[1.0, 1.0]",0.0
Connor Murphy,CHI,"['4', '3', '2', '1']",7.0,1.75,"[7.0, 5.0, 4.0, 2.0]","[2.0, 1.0, 2.0]",0.22
Sam Rinzel,CHI,"['4', '3', '2', '1']",5.0,1.25,"[5.0, 3.0, 1.0]","[2.0, 2.0]",0.0
Alex Vlasic,CHI,"['3', '2', '1']",0.0,0.0,[0.0],[],
Andrew Agozzino,UTA,"['2', '1']",0.0,0.0,[0.0],[],
Michael Carcone,UTA,['1'],1.0,1.0,"[1.0, 0.0]",[1.0],0.0
Logan Cooley,UTA,"['3', '2', '1']",4.0,1.33,"[4.0, 1.0]",[3.0],0.0
Lawson Crouse,UTA,"['3', '2', '1']",2.0,0.67,[2.0],[],
Dylan Guenther,UTA,"['3', '2', '1']",13.0,4.33,"[13.0, 11.0, 7.0]","[4.0, 2.0]",1.0
Barrett Hayton,UTA,['1'],2.0,2.0,[2.0],[],
Clayton Keller,UTA,"['3', '2', '1']",4.0,1.33,"[4.0, 3.0, 2.0]","[1.0, 1.0]",0.0
Jack McBain,UTA,"['3', '2', '1']",8.0,2.67,"[8.0, 7.0, 3.0]","[4.0, 1.0]",2.25
JJ Peterka,UTA,"['3', '2', '1']",4.0,1.33,"[4.0, 3.0, 2.0]","[1.0, 1.0]",0.0
Nick Schmaltz,UTA,"['3', '2', '1']",10.0,3.33,"[10.0, 7.0, 3.0]","[4.0, 3.0]",0.25
Kevin Stenlund,UTA,"['3', '2', '1']",2.0,0.67,"[2.0, 1.0]",[1.0],0.0
Brandon Tanev,UTA,"['3', '2', '1']",4.0,1.33,"[4.0, 3.0, 1.0]","[2.0, 1.0]",0.25
Kailer Yamamoto,UTA,"['3', '2', '1']",2.0,0.67,"[2.0, 1.0]",[1.0],0.0
Ian Cole,UTA,"['3', '2', '1']",1.0,0.33,"[1.0, 0.0]",[1.0],0.0
Sean Durzi,UTA,"['2', '1']",2.0,1.0,[2.0],[],
John Marino,UTA,"['3', '2', '1']",2.0,0.67,"[2.0, 0.0]",[2.0],0.0
Olli Mtt,UTA,"['3', '2', '1']",1.0,0.33,"[1.0, 0.0]",[1.0],0.0
Nate Schmidt,UTA,"['3', '2', '1']",5.0,1.67,"[5.0, 2.0, 1.0]","[1.0, 3.0]",1.0
Mikhail Sergachev,UTA,"['3', '2', '1']",7.0,2.33,"[7.0, 5.0]",[2.0],0.0
Dmitri Simashev,UTA,"['3', '2', '1']",5.0,1.67,"[5.0, 2.0]",[3.0],0.0
Mikael Backlund,CGY,"['4', '3', '2', '1']",5.0,1.25,"[5.0, 2.0, 1.0]","[1.0, 3.0]",1.0
Blake Coleman,CGY,"['4', '3', '2', '1']",11.0,2.75,"[11.0, 8.0, 5.0, 2.0]","[3.0, 3.0, 3.0]",0.0
Matt Coronato,CGY,"['4', '3', '2', '1']",7.0,1.75,"[7.0, 6.0, 2.0, 1.0]","[1.0, 4.0, 1.0]",2.0
Joel Farabee,CGY,"['4', '3', '2', '1']",4.0,1.0,"[4.0, 3.0, 1.0]","[2.0, 1.0]",0.25
Morgan Frost,CGY,"['4', '3', '2', '1']",6.0,1.5,"[6.0, 4.0, 2.0]","[2.0, 2.0]",0.0
Matvei Gridin,CGY,"['4', '3', '2', '1']",9.0,2.25,"[9.0, 8.0, 7.0, 5.0]","[2.0, 1.0, 1.0]",0.22
Samuel Honzek,CGY,"['2', '1']",4.0,2.0,[4.0],[],
