Name,Team,Hrs,Hits,RBI,HRpg,fHRpg,Hpg,fHpg,RBIpg,fRBIpg,HR24,HR24pg,fHR24pg
Tommy Edman,Los Angeles Dodgers,10,56,38,0.159,1/6,0.889,6/7,0.603,3/5,6,0.16,1/6
Mookie Betts,Los Angeles Dodgers,9,75,40,0.12,1/7,1.0,1,0.533,1/2,19,0.16,1/6
Freddie Freeman,Los Angeles Dodgers,9,81,42,0.129,1/7,1.157,7/6,0.6,3/5,22,0.15,1/7
Will Smith,Los Angeles Dodgers,9,69,42,0.141,1/7,1.078,8/7,0.656,2/3,20,0.16,1/6
Enrique Hernández,Los Angeles Dodgers,7,31,18,0.106,1/7,0.47,1/2,0.273,2/7,12,0.1,1/7
Michael Conforto,Los Angeles Dodgers,6,39,17,0.086,1/7,0.557,4/7,0.243,1/4,20,0.15,1/7
Vinnie Pasquantino,Kansas City Royals,11,83,42,0.138,1/7,1.038,1,0.525,1/2,19,0.15,1/7
Bobby Witt Jr.,Kansas City Royals,10,88,40,0.123,1/7,1.086,8/7,0.494,1/2,32,0.2,1/5
Salvador Perez,Kansas City Royals,9,69,41,0.118,1/7,0.908,6/7,0.539,4/7,27,0.17,1/6
Maikel Garcia,Kansas City Royals,8,90,36,0.101,1/7,1.139,8/7,0.456,3/7,7,0.04,0
Jonathan India,Kansas City Royals,4,67,22,0.055,0,0.918,6/7,0.301,2/7,15,0.1,1/7
Kyle Isbel,Kansas City Royals,3,45,15,0.043,0,0.643,2/3,0.214,1/5,8,0.06,0
Jac Caglianone,Kansas City Royals,2,13,4,0.1,1/7,0.65,2/3,0.2,1/5,0,0,0
Freddy Fermin,Kansas City Royals,2,34,8,0.043,0,0.739,3/4,0.174,1/6,6,0.05,0
Michael Massey,Kansas City Royals,2,40,14,0.036,0,0.714,5/7,0.25,1/4,14,0.14,1/7
Cavan Biggio,Kansas City Royals,1,12,4,0.027,0,0.324,1/3,0.108,1/7,5,0.06,0,3,0.1,1/7,2,0.05,0,0,0.0,0
Nick Loftin,Kansas City Royals,1,11,5,0.05,0,0.55,4/7,0.25,1/4,1,0.02,0
Luke Maile,Kansas City Royals,1,3,1,0.333,1/3,1.0,1,0.333,1/3,2,0.04,0
MJ Melendez,Kansas City Royals,1,4,1,0.062,0,0.25,1/4,0.062,0,17,0.13,1/7
Drew Waters,Kansas City Royals,1,49,14,0.016,0,0.766,3/4,0.219,1/5,0,0.0,0
Hunter Goodman,Colorado Rockies,14,83,48,0.184,1/6,1.092,8/7,0.632,3/5,13,0.19,1/5
Ryan McMahon,Colorado Rockies,12,61,25,0.152,1/7,0.772,3/4,0.316,1/3,20,0.13,1/7
Mickey Moniak,Colorado Rockies,11,47,27,0.162,1/6,0.691,2/3,0.397,2/5,14,0.11,1/7
Jordan Beck,Colorado Rockies,10,68,28,0.143,1/7,0.971,1,0.4,2/5,3,0.05,0
Michael Toglia,Colorado Rockies,9,46,28,0.141,1/7,0.719,5/7,0.438,3/7,25,0.22,1/5
Brenton Doyle,Colorado Rockies,6,51,26,0.088,1/7,0.75,3/4,0.382,2/5,23,0.15,1/7
Kyle Farmer,Colorado Rockies,3,40,17,0.052,0,0.69,2/3,0.293,2/7,5,0.05,0
Ezequiel Tovar,Colorado Rockies,3,33,10,0.094,1/7,1.031,1,0.312,1/3,26,0.17,1/6
Sam Hilliard,Colorado Rockies,2,10,3,0.111,1/7,0.556,4/7,0.167,1/6,10,0.17,1/6
Adael Amador,Colorado Rockies,1,13,5,0.03,0,0.394,2/5,0.152,1/7,0,0.0,0
Orlando Arcia,Colorado Rockies,1,18,5,0.03,0,0.545,4/7,0.152,1/7,12,4,0.053,0,0.632,3/5,0.211,1/5,6,1,0.0,0,0.429,3/7,0.071,0,17,0.11,1/7
Sean Bouchard,Colorado Rockies,1,11,7,0.031,0,0.344,1/3,0.219,1/5,1,0.03,0
Thairo Estrada,Colorado Rockies,1,20,10,0.053,0,1.053,1,0.526,1/2,9,0.09,1/7
Tyler Freeman,Colorado Rockies,1,36,11,0.024,0,0.878,6/7,0.268,2/7,7,0.06,0
Braxton Fulford,Colorado Rockies,1,6,8,0.091,1/7,0.545,4/7,0.727,5/7,0,0,0
Nick Martini,Colorado Rockies,1,23,4,0.023,0,0.535,1/2,0.093,1/7,5,0.1,1/7
Zac Veen,Colorado Rockies,1,4,2,0.083,1/7,0.333,1/3,0.167,1/6,0,0,0
Christian Yelich,Milwaukee Brewers,15,76,57,0.197,1/5,1.0,1,0.75,3/4,11,0.15,1/7
Jackson Chourio,Milwaukee Brewers,12,87,46,0.15,1/7,1.087,8/7,0.575,4/7,21,0.14,1/7
Rhys Hoskins,Milwaukee Brewers,12,61,40,0.158,1/6,0.803,4/5,0.526,1/2,26,0.2,1/5
William Contreras,Milwaukee Brewers,6,65,34,0.08,1/7,0.867,6/7,0.453,3/7,23,0.15,1/7
Jake Bauers,Milwaukee Brewers,5,23,18,0.104,1/7,0.479,1/2,0.375,2/5,12,0.1,1/7
Brice Turang,Milwaukee Brewers,5,82,31,0.064,0,1.051,1,0.397,2/5,7,0.05,0
Isaac Collins,Milwaukee Brewers,4,39,19,0.065,0,0.629,3/5,0.306,1/3,0,0.0,0
Caleb Durbin,Milwaukee Brewers,4,46,29,0.067,0,0.767,3/4,0.483,1/2,0,0,0
Sal Frelick,Milwaukee Brewers,4,84,32,0.051,0,1.077,8/7,0.41,2/5,2,0.01,0
Joey Ortiz,Milwaukee Brewers,4,54,19,0.051,0,0.684,2/3,0.241,1/4,11,0.08,1/7
James Wood,Washington Nationals,22,85,63,0.272,2/7,1.049,1,0.778,4/5,9,0.11,1/7
Nathaniel Lowe,Washington Nationals,13,69,52,0.16,1/6,0.852,6/7,0.642,2/3,16,0.11,1/7
CJ Abrams,Washington Nationals,11,76,26,0.162,1/6,1.118,8/7,0.382,2/5,20,0.14,1/7
Josh Bell,Washington Nationals,10,46,28,0.145,1/7,0.667,2/3,0.406,2/5,19,0.13,1/7,5,0.12,1/7,14,0.13,1/7
Dylan Crews,Washington Nationals,7,31,15,0.156,1/6,0.689,2/3,0.333,1/3,3,0.1,1/7
Luis García Jr.,Washington Nationals,7,69,36,0.097,1/7,0.958,1,0.5,1/2,18,0.13,1/7
Amed Rosario,Washington Nationals,4,33,16,0.103,1/7,0.846,6/7,0.41,2/5,3,0.03,0,1,0.05,0,0,0.0,0,2,0.03,0
Riley Adams,Washington Nationals,3,7,8,0.125,1/7,0.292,2/7,0.333,1/3,2,0.05,0
Alex Call,Washington Nationals,2,42,17,0.036,0,0.764,3/4,0.309,1/3,3,0.1,1/7
Keibert Ruiz,Washington Nationals,2,61,24,0.03,0,0.924,6/7,0.364,1/3,13,0.1,1/7
Taylor Ward,Los Angeles Angels,19,62,53,0.244,1/4,0.795,4/5,0.679,2/3,25,0.16,1/6
Jo Adell,Los Angeles Angels,17,53,41,0.233,1/4,0.726,5/7,0.562,4/7,20,0.15,1/7
Logan O'Hoppe,Los Angeles Angels,17,54,37,0.262,1/4,0.831,5/6,0.569,4/7,20,0.15,1/7
Zach Neto,Los Angeles Angels,12,68,29,0.197,1/5,1.115,8/7,0.475,1/2,23,0.15,1/7
Mike Trout,Los Angeles Angels,12,44,29,0.222,1/5,0.815,4/5,0.537,4/7,10,0.34,1/3
Jorge Soler,Los Angeles Angels,8,49,26,0.119,1/7,0.731,5/7,0.388,2/5,21,0.15,1/7,12,0.13,1/7,9,0.18,1/6
Yoán Moncada,Los Angeles Angels,6,23,19,0.2,1/5,0.767,3/4,0.633,3/5,0,0.0,0
Kyren Paris,Los Angeles Angels,6,24,11,0.136,1/7,0.545,4/7,0.25,1/4,1,0.05,0
Nolan Schanuel,Los Angeles Angels,6,77,30,0.078,1/7,1.0,1,0.39,2/5,13,0.09,1/7
Luis Rengifo,Los Angeles Angels,4,55,18,0.055,0,0.753,3/4,0.247,1/4,6,0.08,1/7
Travis d'Arnaud,Los Angeles Angels,4,27,12,0.105,1/7,0.711,5/7,0.316,1/3,15,0.15,1/7
Agustín Ramírez,Miami Marlins,12,54,30,0.218,1/5,0.982,1,0.545,4/7,0,0,0
Kyle Stowers,Miami Marlins,12,70,38,0.16,1/6,0.933,1,0.507,1/2,3,0.04,0,1,0.05,0,2,0.04,0
Matt Mervis,Miami Marlins,7,21,14,0.167,1/6,0.5,1/2,0.333,1/3,0,0.0,0
Jesús Sánchez,Miami Marlins,7,52,28,0.119,1/7,0.881,6/7,0.475,1/2,18,0.12,1/7
Otto Lopez,Miami Marlins,6,60,32,0.094,1/7,0.938,1,0.5,1/2,6,0.05,0
Eric Wagaman,Miami Marlins,5,70,31,0.068,0,0.959,1,0.425,3/7,2,0.11,1/7
Liam Hicks,Miami Marlins,4,38,26,0.08,1/7,0.76,3/4,0.52,1/2,0,0,0
Dane Myers,Miami Marlins,4,48,20,0.075,1/7,0.906,6/7,0.377,2/5,3,0.07,0
Connor Norby,Miami Marlins,4,51,23,0.069,0,0.879,6/7,0.397,2/5,9,0.2,1/5,2,0.22,1/5,7,0.19,1/5
Nick Fortes,Miami Marlins,2,24,9,0.049,0,0.585,3/5,0.22,1/5,4,0.04,0
Derek Hill,Miami Marlins,2,17,5,0.087,1/7,0.739,3/4,0.217,1/5,7,0.13,1/7,0,0.0,0,3,0.19,1/5,4,0.12,1/7
Eugenio Suárez,Arizona Diamondbacks,25,71,67,0.321,1/3,0.91,6/7,0.859,6/7,30,0.19,1/5
Corbin Carroll,Arizona Diamondbacks,20,73,44,0.278,2/7,1.014,1,0.611,3/5,22,0.14,1/7
Ketel Marte,Arizona Diamondbacks,15,62,32,0.278,2/7,1.148,8/7,0.593,3/5,36,0.26,1/4
Lourdes Gurriel Jr.,Arizona Diamondbacks,10,74,41,0.135,1/7,1.0,1,0.554,4/7,18,0.14,1/7
Josh Naylor,Arizona Diamondbacks,10,89,53,0.132,1/7,1.171,7/6,0.697,5/7,31,0.2,1/5
Geraldo Perdomo,Arizona Diamondbacks,8,75,53,0.101,1/7,0.949,1,0.671,2/3,3,0.03,0
Pavin Smith,Arizona Diamondbacks,8,53,25,0.111,1/7,0.736,3/4,0.347,1/3,9,0.15,1/7
Tim Tawa,Arizona Diamondbacks,6,30,14,0.111,1/7,0.556,4/7,0.259,1/4,0,0,0
Gabriel Moreno,Arizona Diamondbacks,5,47,20,0.094,1/7,0.887,6/7,0.377,2/5,5,0.05,0
Randal Grichuk,Arizona Diamondbacks,3,29,15,0.059,0,0.569,4/7,0.294,2/7,12,0.11,1/7
Alek Thomas,Arizona Diamondbacks,3,51,20,0.043,0,0.729,5/7,0.286,2/7,3,0.08,1/7
