Name,Team,Hrs,Hits,RBI,HRpg,fHRpg,Hpg,fHpg,RBIpg,fRBIpg,HR24,HR24pg,fHR24pg
Aaron Judge,New York Yankees,28,108,63,0.35,1/3,1.35,4/3,0.787,4/5,58,0.37,2/5
Trent Grisham,New York Yankees,15,59,32,0.217,1/5,0.855,6/7,0.464,3/7,9,0.12,1/7
Ben Rice,New York Yankees,14,55,29,0.206,1/5,0.809,4/5,0.426,3/7,7,0.14,1/7
Jazz Chisholm Jr.,New York Yankees,11,43,30,0.22,1/5,0.86,6/7,0.6,3/5,24,0.16,1/6,13,0.13,1/7,11,0.24,1/4
Austin Wells,New York Yankees,11,49,45,0.162,1/6,0.721,5/7,0.662,2/3,13,0.11,1/7
Cody Bellinger,New York Yankees,10,71,38,0.139,1/7,0.986,1,0.528,1/2,18,0.14,1/7
Anthony Volpe,New York Yankees,9,65,44,0.114,1/7,0.823,5/6,0.557,4/7,12,0.07,0
Paul Goldschmidt,New York Yankees,8,82,32,0.103,1/7,1.051,1,0.41,2/5,22,0.14,1/7
Jasson Domínguez,New York Yankees,6,55,27,0.09,1/7,0.821,5/6,0.403,2/5,2,0.11,1/7
Oswald Peraza,New York Yankees,3,19,13,0.059,0,0.373,2/5,0.255,1/4,1,0.25,1/4
Fernando Tatis Jr.,San Diego Padres,15,78,37,0.192,1/5,1.0,1,0.474,1/2,21,0.21,1/5
Manny Machado,San Diego Padres,13,91,47,0.163,1/6,1.137,8/7,0.588,3/5,29,0.19,1/5
Gavin Sheets,San Diego Padres,12,68,46,0.156,1/6,0.883,6/7,0.597,3/5,10,0.07,0
Jake Cronenworth,San Diego Padres,6,43,22,0.109,1/7,0.782,4/5,0.4,2/5,17,0.11,1/7
Jackson Merrill,San Diego Padres,5,56,26,0.104,1/7,1.167,7/6,0.542,4/7,24,0.15,1/7
Xander Bogaerts,San Diego Padres,4,68,29,0.051,0,0.872,6/7,0.372,2/5,11,0.1,1/7
Elias Díaz,San Diego Padres,4,35,11,0.065,0,0.565,4/7,0.177,1/6,6,0.06,0,5,0.06,0,1,0.08,1/7
Martín Maldonado,San Diego Padres,4,20,8,0.089,1/7,0.444,3/7,0.178,1/6,4,0.08,1/7
Luis Arraez,San Diego Padres,3,87,30,0.041,0,1.176,7/6,0.405,2/5,4,0.03,0,4,0.03,0,0,0.0,0
Jason Heyward,San Diego Padres,2,15,12,0.059,0,0.441,3/7,0.353,1/3,10,0.11,1/7,4,0.17,1/6,6,0.1,1/7
Elly De La Cruz,Cincinnati Reds,18,86,55,0.222,1/5,1.062,1,0.679,2/3,25,0.16,1/6
Matt McLain,Cincinnati Reds,9,50,27,0.127,1/7,0.704,5/7,0.38,2/5,0,0,0
TJ Friedl,Cincinnati Reds,8,85,30,0.104,1/7,1.104,8/7,0.39,2/5,13,0.15,1/7
Will Benson,Cincinnati Reds,6,23,21,0.158,1/6,0.605,3/5,0.553,4/7,14,0.11,1/7
Austin Hays,Cincinnati Reds,6,36,25,0.194,1/5,1.161,7/6,0.806,4/5,5,0.06,0,3,0.05,0,2,0.09,1/7
Spencer Steer,Cincinnati Reds,6,66,27,0.081,1/7,0.892,6/7,0.365,1/3,20,0.13,1/7
Tyler Stephenson,Cincinnati Reds,6,36,24,0.143,1/7,0.857,6/7,0.571,4/7,19,0.14,1/7
Christian Encarnacion-Strand,Cincinnati Reds,5,22,15,0.172,1/6,0.759,3/4,0.517,1/2,2,0.07,0
Jake Fraley,Cincinnati Reds,5,28,17,0.106,1/7,0.596,3/5,0.362,1/3,5,0.04,0
Gavin Lux,Cincinnati Reds,4,63,35,0.056,0,0.875,6/7,0.486,1/2,10,0.07,0
Jose Trevino,Cincinnati Reds,4,45,15,0.078,1/7,0.882,6/7,0.294,2/7,8,0.11,1/7
Lars Nootbaar,St. Louis Cardinals,11,67,35,0.145,1/7,0.882,6/7,0.461,3/7,12,0.11,1/7
Nolan Arenado,St. Louis Cardinals,10,70,39,0.132,1/7,0.921,6/7,0.513,1/2,16,0.11,1/7
Willson Contreras,St. Louis Cardinals,10,70,50,0.13,1/7,0.909,6/7,0.649,2/3,15,0.18,1/6
Alec Burleson,St. Louis Cardinals,9,71,33,0.127,1/7,1.0,1,0.465,3/7,21,0.14,1/7
