lineId,season,name,team,position,situation,games_played,icetime,iceTimeRank,xGoalsPercentage,corsiPercentage,fenwickPercentage,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
84717248476891,2024,Grzelcyk-Letang,PIT,pairing,5on5,12,8587.0,35.0,0.44,0.52,0.47,78.42,6.27,5.07,19.63,2.84,41.68,30.5,6.15,6.19,6.08,73.0,33.0,58.0,164.0,3.0,8.0,0.0,17.0,0.0,32.0,46.0,70.0,103.0,5.0,10.0,87.0,50.0,12.0,34.0,77.0,23.0,6.0,1.83,2.78,1.65,0.0,3.0,0.0,159.68,106.0,103.61,17.0,1.06,1.45,1.15,6.18,6.15,6.08,89.62,7.96,5.71,23.56,3.01,45.82,34.94,7.61,8.29,7.91,89.0,32.0,32.0,153.0,6.0,13.0,2.0,14.0,1.0,41.0,46.0,83.0,115.0,11.0,22.0,66.0,48.0,18.0,49.0,88.0,24.0,9.0,2.43,3.02,2.51,0.0,5.0,1.0,157.53,121.0,124.3,27.0,1.19,2.35,2.35,6.8,7.06,6.86
847578484757868478402,2024,Skinner-Mcdavid-Hyman,EDM,line,5on5,4,667.0,42.0,0.53,0.59,0.54,10.5,1.01,0.52,2.72,0.39,5.11,4.24,1.01,1.01,1.0,11.0,3.0,6.0,20.0,1.0,1.0,1.0,3.0,0.0,5.0,4.0,10.0,13.0,1.0,2.0,6.0,4.0,2.0,1.0,9.0,4.0,1.0,0.26,0.39,0.37,0.0,0.0,1.0,19.86,14.0,14.02,1.0,0.11,0.37,0.37,0.75,0.74,0.74,8.61,0.9,0.6,2.12,0.42,4.5,3.46,0.87,0.92,0.89,7.0,5.0,2.0,14.0,2.0,3.0,1.0,2.0,0.0,1.0,4.0,5.0,10.0,0.0,0.0,6.0,3.0,1.0,5.0,8.0,3.0,1.0,0.26,0.34,0.29,1.0,1.0,0.0,14.01,12.0,11.91,2.0,0.13,0.54,0.54,0.49,0.49,0.49
847639384808018482116,2024,Cousins-Tkachuk-Sttzle,OTT,line,5on5,6,635.0,41.0,0.58,0.63,0.72,9.57,1.17,0.66,2.28,0.33,4.97,3.59,1.1,1.22,1.14,9.0,4.0,2.0,15.0,3.0,3.0,2.0,0.0,0.0,5.0,2.0,6.0,10.0,1.0,2.0,3.0,7.0,0.0,2.0,9.0,3.0,1.0,0.3,0.54,0.33,1.0,1.0,1.0,15.26,13.0,13.46,1.0,0.14,0.69,0.69,0.63,0.65,0.64,4.18,0.83,0.31,0.97,0.1,1.66,1.13,0.77,0.85,0.78,4.0,1.0,4.0,9.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,3.0,2.0,4.0,7.0,4.0,0.0,4.0,2.0,1.0,2.0,0.03,0.16,0.65,0.0,0.0,2.0,9.03,5.0,5.07,1.0,0.07,0.0,0.0,0.9,0.92,0.85
848152884820978483468,2024,Kulich-Cozens-Quinn,BUF,line,5on5,7,2874.0,23.0,0.36,0.46,0.41,22.38,1.52,1.43,5.5,0.71,12.63,9.22,1.5,1.52,1.5,20.0,11.0,18.0,49.0,2.0,0.0,0.0,3.0,0.0,12.0,14.0,18.0,29.0,2.0,4.0,18.0,25.0,4.0,13.0,26.0,5.0,0.0,0.83,0.69,0.0,2.0,0.0,0.0,50.45,31.0,31.34,7.0,0.29,0.0,0.0,1.81,1.81,1.79,31.66,2.65,2.1,8.3,1.1,17.13,12.72,2.58,2.64,2.56,35.0,9.0,14.0,58.0,1.0,6.0,1.0,6.0,0.0,9.0,22.0,34.0,43.0,1.0,2.0,27.0,17.0,9.0,17.0,33.0,8.0,3.0,0.79,0.94,0.91,0.0,0.0,1.0,57.1,44.0,43.61,8.0,0.43,1.16,1.16,1.93,1.91,1.9
847645484780428481617,2024,Arvidsson-Nugent-Hopkins-Podkolzin,EDM,line,5on5,6,688.0,81.0,0.41,0.5,0.56,6.27,0.14,0.28,1.62,0.22,3.65,3.1,0.14,0.14,0.13,6.0,3.0,2.0,11.0,0.0,0.0,0.0,2.0,0.0,3.0,4.0,6.0,9.0,3.0,8.0,7.0,4.0,1.0,5.0,9.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,10.88,9.0,8.94,2.0,0.06,0.0,0.0,0.19,0.19,0.19,5.22,0.2,0.18,1.36,0.18,2.5,2.58,0.2,0.21,0.21,5.0,2.0,4.0,11.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,5.0,7.0,0.0,0.0,6.0,7.0,1.0,3.0,6.0,1.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,11.83,7.0,7.42,3.0,0.04,0.0,0.0,0.23,0.25,0.25
847528784762928476474,2024,Palat-Haula-Noesen,NJD,line,5on5,5,1039.0,53.0,0.39,0.47,0.44,7.74,0.56,0.47,1.64,0.25,4.68,3.4,0.55,0.61,0.59,7.0,4.0,5.0,16.0,2.0,1.0,0.0,3.0,0.0,2.0,3.0,5.0,9.0,1.0,2.0,9.0,16.0,1.0,5.0,8.0,3.0,0.0,0.21,0.35,0.0,1.0,1.0,0.0,15.93,11.0,11.33,2.0,0.1,0.02,0.02,0.64,0.69,0.68,10.21,0.87,0.72,2.94,0.36,5.08,4.04,0.82,0.8,0.76,9.0,5.0,4.0,18.0,2.0,2.0,0.0,1.0,0.0,5.0,4.0,7.0,12.0,1.0,2.0,10.0,5.0,1.0,7.0,11.0,2.0,1.0,0.29,0.35,0.23,2.0,0.0,0.0,16.91,14.0,13.37,4.0,0.15,0.35,0.35,0.67,0.64,0.63
847688284774508481624,2024,Teravainen-Dickinson-Mikheyev,CHI,line,5on5,6,771.0,63.0,0.32,0.4,0.5,4.43,0.07,0.15,1.12,0.13,2.32,2.21,0.07,0.07,0.07,4.0,2.0,2.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,4.0,6.0,0.0,0.0,4.0,2.0,0.0,1.0,6.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,8.12,6.0,6.04,0.0,0.03,0.0,0.0,0.1,0.1,0.1,4.44,0.15,0.22,1.13,0.13,2.44,1.93,0.15,0.15,0.15,2.0,4.0,6.0,12.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,6.0,0.0,0.0,8.0,9.0,1.0,2.0,6.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,12.06,6.0,6.08,0.0,0.04,0.0,0.0,0.19,0.19,0.19
847745084793158481624,2024,Mikheyev-Dickinson-Anderson,CHI,line,5on5,5,2425.0,17.0,0.66,0.54,0.49,18.46,1.38,1.0,4.92,0.59,9.8,7.3,1.37,1.42,1.41,16.0,9.0,20.0,45.0,1.0,3.0,0.0,1.0,0.0,7.0,13.0,15.0,24.0,1.0,2.0,11.0,8.0,4.0,6.0,20.0,3.0,2.0,0.43,0.37,0.58,0.0,1.0,0.0,46.64,25.0,25.86,3.0,0.2,0.68,0.68,0.9,0.95,0.94,18.3,0.72,1.0,4.87,0.58,10.7,8.13,0.72,0.68,0.68,19.0,7.0,12.0,38.0,0.0,0.0,0.0,5.0,0.0,11.0,10.0,19.0,26.0,3.0,6.0,20.0,13.0,4.0,5.0,25.0,1.0,0.0,0.57,0.15,0.0,0.0,0.0,0.0,35.28,26.0,24.46,2.0,0.2,0.0,0.0,0.92,0.87,0.86
84764228476429,2024,Reilly-Mayfield,NYI,pairing,5on5,11,5125.0,43.0,0.54,0.54,0.52,51.66,4.74,3.6,12.19,1.73,27.8,19.95,4.45,4.82,4.52,40.0,30.0,24.0,94.0,4.0,5.0,1.0,11.0,0.0,25.0,25.0,36.0,66.0,3.0,6.0,41.0,31.0,9.0,23.0,50.0,14.0,6.0,1.49,1.63,1.62,1.0,2.0,1.0,94.16,70.0,70.08,10.0,0.76,1.4,1.4,4.09,4.1,4.0,47.16,4.02,2.98,11.61,1.58,25.68,18.15,3.92,3.99,3.9,40.0,24.0,17.0,81.0,3.0,4.0,1.0,10.0,0.0,17.0,30.0,37.0,61.0,3.0,6.0,38.0,32.0,14.0,26.0,46.0,14.0,4.0,1.28,1.64,1.09,1.0,1.0,1.0,80.66,64.0,63.64,16.0,0.62,1.05,1.05,3.58,3.56,3.52
84746738481568,2024,Brodie-Vlasic,CHI,pairing,5on5,9,3479.0,46.0,0.44,0.42,0.47,25.84,1.71,1.51,6.28,0.88,14.22,11.4,1.68,1.78,1.75,20.0,16.0,7.0,43.0,1.0,2.0,0.0,4.0,0.0,8.0,21.0,19.0,35.0,1.0,2.0,20.0,17.0,4.0,8.0,28.0,8.0,0.0,0.82,0.89,0.0,1.0,0.0,0.0,43.81,36.0,36.51,7.0,0.31,0.06,0.06,1.96,2.03,2.0,28.7,2.13,1.95,6.99,0.94,16.1,11.88,2.08,2.09,2.04,28.0,12.0,19.0,59.0,2.0,1.0,0.0,9.0,0.0,8.0,20.0,26.0,38.0,0.0,0.0,36.0,17.0,7.0,13.0,29.0,10.0,1.0,0.81,1.03,0.29,1.0,1.0,0.0,57.83,40.0,39.61,5.0,0.4,0.29,0.29,2.25,2.19,2.17
